,P,cost,value
0,0.01,0.01,1.5254383809506518
1,0.01,0.1,1.7159303642940311
2,0.01,0.2,1.4945215515645676
3,0.01,0.3,1.3748336522942306
4,0.01,0.4,1.6312975558976541
5,0.01,0.5,1.4939999974818117
6,0.01,0.6,1.6083708000533932
7,0.01,0.7,1.4550590671894217
8,0.01,0.8,1.5576669002149512
9,0.01,0.9,1.4195176679646133
10,0.01,0.99,1.0732207322148322
11,0.1,0.01,1.4181089572038175
12,0.1,0.1,1.5882062554641347
13,0.1,0.2,1.4724136210176333
14,0.1,0.3,1.4853986664795227
15,0.1,0.4,1.2903937185223933
16,0.1,0.5,1.3524278735218211
17,0.1,0.6,1.558495414776126
18,0.1,0.7,1.6133205913784625
19,0.1,0.8,1.787172033391196
20,0.1,0.9,0.35843716539379483
21,0.1,0.99,
22,0.2,0.01,1.3892463043832466
23,0.2,0.1,1.4355042396544553
24,0.2,0.2,1.5388651509463487
25,0.2,0.3,1.5818407276699502
26,0.2,0.4,1.5483858829848387
27,0.2,0.5,1.7087419169529219
28,0.2,0.6,1.6157990408004066
29,0.2,0.7,2.0745126585741422
30,0.2,0.8,0.3534050374488326
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,1.3729658294488447
34,0.3,0.1,1.3897464623070617
35,0.3,0.2,1.4977786169744682
36,0.3,0.3,1.378054603128525
37,0.3,0.4,1.7752992809040393
38,0.3,0.5,1.8251942919155928
39,0.3,0.6,1.9017201841530635
40,0.3,0.7,0.2744650617764339
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,1.5884977192014502
45,0.4,0.1,1.5897552345747337
46,0.4,0.2,1.6856453616276608
47,0.4,0.3,1.6597791212247657
48,0.4,0.4,1.7448291752653784
49,0.4,0.5,1.5583852131478495
50,0.4,0.6,0.2947649541533912
51,0.4,0.7,1.248956559603068
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.4013802485014937
56,0.5,0.1,1.5206412331437071
57,0.5,0.2,1.6657663846172945
58,0.5,0.3,1.8370498570518137
59,0.5,0.4,1.583735915821205
60,0.5,0.5,0.2100338717966106
61,0.5,0.6,1.5610768039586191
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.356924509672401
67,0.6,0.1,1.4872308038670283
68,0.6,0.2,1.8558346777420982
69,0.6,0.3,1.4727202671715318
70,0.6,0.4,0.2524661209071533
71,0.6,0.5,1.4719932499455821
72,0.6,0.6,1.6328694383256617
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.477303855504999
78,0.7,0.1,1.5988622917588544
79,0.7,0.2,1.4094259341358049
80,0.7,0.3,0.26129545231950274
81,0.7,0.4,1.5096689877235163
82,0.7,0.5,1.8844609201375517
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.536947578704224
89,0.8,0.1,1.5832137863846232
90,0.8,0.2,0.2837634327778819
91,0.8,0.3,1.6790592719846895
92,0.8,0.4,1.5589913352001958
93,0.8,0.5,1.3999910268610647
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,1.4331310485857605
100,0.9,0.1,0.36456782462870807
101,0.9,0.2,1.9109608782025553
102,0.9,0.3,1.896019900315574
103,0.9,0.4,1.539494770177896
104,0.9,0.5,1.513611932106339
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.0332248697943414
111,0.99,0.1,2.2368634642364995
112,0.99,0.2,1.6660551860916042
113,0.99,0.3,1.3267752584375592
114,0.99,0.4,1.5867379804974437
115,0.99,0.5,1.5417098035012844
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
