,P,cost,value
0,0.01,0.01,0.873641543269911
1,0.01,0.1,0.9954722329448505
2,0.01,0.2,1.0499657653740977
3,0.01,0.3,0.8849762014575678
4,0.01,0.4,0.9639759266383587
5,0.01,0.5,0.9523563944174086
6,0.01,0.6,0.8281818832415172
7,0.01,0.7,0.8708229008051728
8,0.01,0.8,1.0819743622655023
9,0.01,0.9,0.9420422943473183
10,0.01,0.99,1.9348058762713973
11,0.1,0.01,0.3359345800469513
12,0.1,0.1,0.44196779553755455
13,0.1,0.2,0.4123333195172456
14,0.1,0.3,0.3807153806104634
15,0.1,0.4,0.4005466378460535
16,0.1,0.5,0.3461908033663514
17,0.1,0.6,0.560844308678034
18,0.1,0.7,0.5861628553261863
19,0.1,0.8,0.9758433346705097
20,0.1,0.9,2.569267535148766
21,0.1,0.99,
22,0.2,0.01,0.1357057606848153
23,0.2,0.1,0.1709968645025941
24,0.2,0.2,0.1684549214197516
25,0.2,0.3,0.13511937025818532
26,0.2,0.4,0.2298249036582352
27,0.2,0.5,0.33376452395504635
28,0.2,0.6,0.4950914052266704
29,0.2,0.7,1.0429799969499847
30,0.2,0.8,3.3025048690626404
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.09990587658164501
34,0.3,0.1,0.11054407657124446
35,0.3,0.2,0.09949852572254746
36,0.3,0.3,0.14265923478151646
37,0.3,0.4,0.23767503014767588
38,0.3,0.5,0.5335125389762662
39,0.3,0.6,0.8934512184941356
40,0.3,0.7,3.012051039625971
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.05120830238868276
45,0.4,0.1,0.08374228524324503
46,0.4,0.2,0.0889547351641741
47,0.4,0.3,0.15590461553336252
48,0.4,0.4,0.45689646115242966
49,0.4,0.5,0.9105085666566971
50,0.4,0.6,2.787634867674763
51,0.4,0.7,0.30736496792413326
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.038983818914774794
56,0.5,0.1,0.08279875377254356
57,0.5,0.2,0.12427678929402916
58,0.5,0.3,0.2246170201494152
59,0.5,0.4,0.7955483457839239
60,0.5,0.5,2.856982521610668
61,0.5,0.6,0.5780585682002927
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.03669114244463819
67,0.6,0.1,0.07066011812172276
68,0.6,0.2,0.20028377234430375
69,0.6,0.3,0.8743546277925406
70,0.6,0.4,3.038829958225608
71,0.6,0.5,0.6001513035838595
72,0.6,0.6,0.018000403453490514
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.05593870441588665
78,0.7,0.1,0.1377649171174285
79,0.7,0.2,0.5925892807834512
80,0.7,0.3,3.1222344570470018
81,0.7,0.4,0.5663406338905065
82,0.7,0.5,0.02133748875296137
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.05901996518438407
89,0.8,0.1,0.4765479282429066
90,0.8,0.2,2.8347933074587077
91,0.8,0.3,0.500360653231432
92,0.8,0.4,0.013210071618746388
93,0.8,0.5,0.0013609546973093844
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.2820148243985821
100,0.9,0.1,3.369794517039441
101,0.9,0.2,0.22187474346573755
102,0.9,0.3,0.008666103893529318
103,0.9,0.4,0.0003151961091530775
104,0.9,0.5,0.00016394320358718994
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.3179221663225933
111,0.99,0.1,0.009781967044851493
112,0.99,0.2,0.00017447675900312702
113,0.99,0.3,4.621994518878282e-05
114,0.99,0.4,1.1437088891298845e-05
115,0.99,0.5,1.3004187360494825e-05
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
