,P,cost,value
0,0.01,0.01,1.4552891543279256
1,0.01,0.1,1.5809898628219534
2,0.01,0.2,1.4618148340779882
3,0.01,0.3,1.3759095052321904
4,0.01,0.4,1.4474023992084952
5,0.01,0.5,1.461058980437811
6,0.01,0.6,1.5800724408296078
7,0.01,0.7,1.4370324036039317
8,0.01,0.8,1.4633735932176206
9,0.01,0.9,1.3687014326151494
10,0.01,0.99,1.429277013549946
11,0.1,0.01,0.8264143344213317
12,0.1,0.1,0.7756015058876866
13,0.1,0.2,0.9677242641691515
14,0.1,0.3,0.9313835824851886
15,0.1,0.4,0.8682558215224994
16,0.1,0.5,0.7984186297701646
17,0.1,0.6,0.9945305447565722
18,0.1,0.7,1.122830926543938
19,0.1,0.8,1.6137601453919967
20,0.1,0.9,1.4013077461703307
21,0.1,0.99,
22,0.2,0.01,1.1637377065900256
23,0.2,0.1,1.2254672692076034
24,0.2,0.2,1.2587228987399068
25,0.2,0.3,1.2778448987256052
26,0.2,0.4,1.432805105331705
27,0.2,0.5,1.4445455061226895
28,0.2,0.6,1.5835636128301156
29,0.2,0.7,2.2137771942254942
30,0.2,0.8,0.9310977614570625
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,1.3576771198043078
34,0.3,0.1,1.300396819021766
35,0.3,0.2,1.4239720671956642
36,0.3,0.3,1.3843556926033853
37,0.3,0.4,1.5947965850149344
38,0.3,0.5,1.8428921335740256
39,0.3,0.6,2.156143143122397
40,0.3,0.7,0.46492403672328964
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,1.524713248406922
45,0.4,0.1,1.5605110616886764
46,0.4,0.2,1.6347324243515917
47,0.4,0.3,1.5501133063547066
48,0.4,0.4,1.866295383331008
49,0.4,0.5,1.673528612200594
50,0.4,0.6,0.32606224587791915
51,0.4,0.7,1.0547794297701145
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.3880054629697944
56,0.5,0.1,1.5479444783915826
57,0.5,0.2,1.6907657307115582
58,0.5,0.3,1.8582130647083142
59,0.5,0.4,1.5938139786108674
60,0.5,0.5,0.2020082552919392
61,0.5,0.6,1.5370598684931045
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.3624441070155482
67,0.6,0.1,1.5073831056939264
68,0.6,0.2,1.831823546231479
69,0.6,0.3,1.2281214288680908
70,0.6,0.4,0.26830027970966835
71,0.6,0.5,1.675052814608633
72,0.6,0.6,1.616530994976571
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.4225555744848468
78,0.7,0.1,1.5745277481849251
79,0.7,0.2,0.98594674785497
80,0.7,0.3,0.5161557160286957
81,0.7,0.4,1.9020975718949693
82,0.7,0.5,1.9606939850754632
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.3141896503655528
89,0.8,0.1,0.8714728751692722
90,0.8,0.2,0.6768210130939316
91,0.8,0.3,1.9978545519528517
92,0.8,0.4,1.5612016721250392
93,0.8,0.5,1.4620006324346355
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.6958225024471825
100,0.9,0.1,1.76111681778037
101,0.9,0.2,1.857342152793904
102,0.9,0.3,1.5342413412690894
103,0.9,0.4,1.2651647553251988
104,0.9,0.5,1.1064103882157108
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.7346838673737028
111,0.99,0.1,1.8286803797862734
112,0.99,0.2,1.4069582024323912
113,0.99,0.3,1.2195359011924303
114,0.99,0.4,1.5522259635459048
115,0.99,0.5,1.5804177089854705
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
