,P,cost,value
0,0.01,0.01,1.4495922760245992
1,0.01,0.1,1.4975925174827787
2,0.01,0.2,1.2662385258968123
3,0.01,0.3,1.1438914928967954
4,0.01,0.4,1.3885301271791892
5,0.01,0.5,1.37289297659337
6,0.01,0.6,1.2927561593020944
7,0.01,0.7,1.2524098309162623
8,0.01,0.8,1.511951902956069
9,0.01,0.9,1.180927044518618
10,0.01,0.99,1.0433616905447392
11,0.1,0.01,1.7586626751085765
12,0.1,0.1,1.7290674333111204
13,0.1,0.2,2.0275625045066086
14,0.1,0.3,1.8470033037645863
15,0.1,0.4,1.8323967968866626
16,0.1,0.5,1.718407700511977
17,0.1,0.6,1.7571841837917095
18,0.1,0.7,2.2059324749703633
19,0.1,0.8,1.5514083035972972
20,0.1,0.9,1.2768260190127294
21,0.1,0.99,
22,0.2,0.01,2.3992108725298262
23,0.2,0.1,2.551048320543124
24,0.2,0.2,2.791400925419125
25,0.2,0.3,2.180309164898235
26,0.2,0.4,2.178282243563199
27,0.2,0.5,2.0041642729876985
28,0.2,0.6,1.9887499768401806
29,0.2,0.7,1.7314734435369383
30,0.2,0.8,1.1519513307955012
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,2.3766448675407026
34,0.3,0.1,2.4586268691660247
35,0.3,0.2,2.499335308067873
36,0.3,0.3,2.5891176445444186
37,0.3,0.4,2.3769657395525323
38,0.3,0.5,1.8300790061682206
39,0.3,0.6,1.1348324052017973
40,0.3,0.7,1.1625233312511676
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,2.404117073507837
45,0.4,0.1,2.4167922630053282
46,0.4,0.2,2.1249946459933904
47,0.4,0.3,2.294711223717659
48,0.4,0.4,1.624456715652233
49,0.4,0.5,0.9802739471139177
50,0.4,0.6,1.1325258189086824
51,0.4,0.7,1.1386815311854945
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,2.1036160037893725
56,0.5,0.1,2.1469406051141835
57,0.5,0.2,1.8330417685504528
58,0.5,0.3,1.3509744147922356
59,0.5,0.4,1.0456644059721252
60,0.5,0.5,1.1791964898478902
61,0.5,0.6,1.1075309361682932
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.4750255391621836
67,0.6,0.1,1.437282661145522
68,0.6,0.2,1.4383623404579338
69,0.6,0.3,0.7893055193972043
70,0.6,0.4,1.0290741200562483
71,0.6,0.5,0.8737620859577356
72,0.6,0.6,0.8689722665902018
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.3140499909802137
78,0.7,0.1,1.1025357100097968
79,0.7,0.2,0.7494672546728367
80,0.7,0.3,1.0232484119857768
81,0.7,0.4,0.8376759034545367
82,0.7,0.5,0.8952224048022737
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.9824363131822349
89,0.8,0.1,0.6675723910671028
90,0.8,0.2,1.1124987075345294
91,0.8,0.3,0.7883630526801567
92,0.8,0.4,0.8221584692972866
93,0.8,0.5,0.9889928131335879
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.6452717171687011
100,0.9,0.1,1.1462121980438633
101,0.9,0.2,0.8330588080215146
102,0.9,0.3,0.8853639831608872
103,0.9,0.4,1.0183660438158348
104,0.9,0.5,0.9513120717014127
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.8818134941122047
111,0.99,0.1,0.8739466330608524
112,0.99,0.2,0.6447427118146876
113,0.99,0.3,0.6055706459567944
114,0.99,0.4,0.6276539317050798
115,0.99,0.5,0.5409923540097958
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
