,P,cost,value
0,0.01,0.01,0.9966881128572231
1,0.01,0.1,1.159811881057616
2,0.01,0.2,1.0547066555070672
3,0.01,0.3,0.9478852464787111
4,0.01,0.4,1.0700947823656106
5,0.01,0.5,1.0798914358039235
6,0.01,0.6,0.8666187272303103
7,0.01,0.7,0.9005479526613169
8,0.01,0.8,1.0024925277024535
9,0.01,0.9,0.9117330335242791
10,0.01,0.99,1.9195872658715396
11,0.1,0.01,0.58264859782086
12,0.1,0.1,0.5526866860327447
13,0.1,0.2,0.8381746732608109
14,0.1,0.3,0.6916702401058348
15,0.1,0.4,0.6918040526978042
16,0.1,0.5,0.5495529997835673
17,0.1,0.6,0.8049590152202268
18,0.1,0.7,0.9637719383234227
19,0.1,0.8,1.29499437160578
20,0.1,0.9,2.242158374224301
21,0.1,0.99,
22,0.2,0.01,0.563329834949811
23,0.2,0.1,0.7280087290442707
24,0.2,0.2,0.5874200285735085
25,0.2,0.3,0.719401526207609
26,0.2,0.4,0.7345301701027253
27,0.2,0.5,0.9552075555601165
28,0.2,0.6,1.1310258552826336
29,0.2,0.7,1.7018117314345664
30,0.2,0.8,2.465039501151049
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.654369484767122
34,0.3,0.1,0.6840486283719643
35,0.3,0.2,0.7194788131223158
36,0.3,0.3,0.7982185546263508
37,0.3,0.4,1.0679779059680699
38,0.3,0.5,1.2960664618610345
39,0.3,0.6,1.7900909647886065
40,0.3,0.7,2.398228885639491
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.6965136620810425
45,0.4,0.1,0.5931181652224431
46,0.4,0.2,0.9016639048718513
47,0.4,0.3,1.0091428585295117
48,0.4,0.4,1.435162105874971
49,0.4,0.5,1.72515949745188
50,0.4,0.6,2.4031256547112005
51,0.4,0.7,0.2988169717436572
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.6138975594014717
56,0.5,0.1,1.0377904446262582
57,0.5,0.2,1.1002844027447625
58,0.5,0.3,1.4758975442869415
59,0.5,0.4,1.7141145434624085
60,0.5,0.5,2.2922257043741427
61,0.5,0.6,0.2677186839751584
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.5723940741767276
67,0.6,0.1,1.15039240365542
68,0.6,0.2,1.4197099689743895
69,0.6,0.3,1.5016679887725242
70,0.6,0.4,2.389658748259707
71,0.6,0.5,0.2357016619449366
72,0.6,0.6,0.5364389674129109
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.7894366607997078
78,0.7,0.1,1.024164743911137
79,0.7,0.2,1.5335318907319053
80,0.7,0.3,2.2279230348198524
81,0.7,0.4,0.41058291365781385
82,0.7,0.5,0.5182290140997826
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.986812816755136
89,0.8,0.1,1.6384689573070454
90,0.8,0.2,2.0434532480107164
91,0.8,0.3,0.4152480887714049
92,0.8,0.4,0.550117173869475
93,0.8,0.5,0.6833147622244446
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,1.5873779846513638
100,0.9,0.1,1.8766434559510654
101,0.9,0.2,0.5121175266733246
102,0.9,0.3,0.6964369494420299
103,0.9,0.4,0.7427190224455703
104,0.9,0.5,0.7534345241768305
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.007834132159842
111,0.99,0.1,0.8312084319591185
112,0.99,0.2,0.6212521254209662
113,0.99,0.3,0.5578606454229719
114,0.99,0.4,0.5850136693701865
115,0.99,0.5,0.505688363797919
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
