,P,cost,value
0,0.01,0.01,1.228502815500622
1,0.01,0.1,1.363155421847537
2,0.01,0.2,1.4261274862667548
3,0.01,0.3,1.2579689161663266
4,0.01,0.4,1.3267906408115553
5,0.01,0.5,1.2566944538858036
6,0.01,0.6,1.0742526146762623
7,0.01,0.7,1.153891808426423
8,0.01,0.8,1.5070332518601093
9,0.01,0.9,1.406362556142041
10,0.01,0.99,2.667108513112421
11,0.1,0.01,0.062042613857656165
12,0.1,0.1,0.07114264044605714
13,0.1,0.2,0.06575998582397863
14,0.1,0.3,0.06512054463320749
15,0.1,0.4,0.06711156900691462
16,0.1,0.5,0.06952865843872578
17,0.1,0.6,0.09671497811498339
18,0.1,0.7,0.09586288658372093
19,0.1,0.8,0.2566569866832392
20,0.1,0.9,2.881275416743778
21,0.1,0.99,
22,0.2,0.01,0.032573897326098354
23,0.2,0.1,0.028763360373619474
24,0.2,0.2,0.03856251286388941
25,0.2,0.3,0.03007512862318811
26,0.2,0.4,0.06087798859367077
27,0.2,0.5,0.08229775553355312
28,0.2,0.6,0.12836497809790637
29,0.2,0.7,0.4965385312182571
30,0.2,0.8,3.3406537576312734
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.023164397948274934
34,0.3,0.1,0.02424306424477679
35,0.3,0.2,0.03346020711696655
36,0.3,0.3,0.0403061869907201
37,0.3,0.4,0.07820506250639882
38,0.3,0.5,0.21857193760962756
39,0.3,0.6,0.6307371409210788
40,0.3,0.7,3.0705711929964967
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.01833961574699646
45,0.4,0.1,0.026328391112905702
46,0.4,0.2,0.03738816894931097
47,0.4,0.3,0.06436122334861424
48,0.4,0.4,0.276745737746039
49,0.4,0.5,0.7337041705431401
50,0.4,0.6,2.844625853218647
51,0.4,0.7,0.4495369428510333
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.01743423637582045
56,0.5,0.1,0.03309735281711127
57,0.5,0.2,0.06095765620724763
58,0.5,0.3,0.11796069728464748
59,0.5,0.4,0.6995748302989566
60,0.5,0.5,2.861944327380436
61,0.5,0.6,0.7141221467354196
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.021674860855418126
67,0.6,0.1,0.04146320640994983
68,0.6,0.2,0.13155772265076465
69,0.6,0.3,0.7933974561171802
70,0.6,0.4,3.0389175643793376
71,0.6,0.5,0.7059509686626813
72,0.6,0.6,0.02507755317804145
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.0303332778009931
78,0.7,0.1,0.09496331275296604
79,0.7,0.2,0.5263919935530027
80,0.7,0.3,3.132706683650981
81,0.7,0.4,0.624846840276276
82,0.7,0.5,0.02633941857616798
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.0431842575715349
89,0.8,0.1,0.414722308444579
90,0.8,0.2,2.8392094526993144
91,0.8,0.3,0.545455930036702
92,0.8,0.4,0.015322183388188835
93,0.8,0.5,0.0015798437035471628
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.25881736279774864
100,0.9,0.1,3.380232339517068
101,0.9,0.2,0.23649914765158003
102,0.9,0.3,0.009457666595836472
103,0.9,0.4,0.00041338242729276205
104,0.9,0.5,0.00020197050892230728
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.3273721871841517
111,0.99,0.1,0.010627504162733918
112,0.99,0.2,0.0002113593447621703
113,0.99,0.3,5.91069230004209e-05
114,0.99,0.4,1.2551045806136762e-05
115,0.99,0.5,1.4515506784822689e-05
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
