,P,cost,value
0,0.01,0.01,0.00042840899114480823
1,0.01,0.1,0.0003582522557872677
2,0.01,0.2,0.00040469569182885825
3,0.01,0.3,0.0007069475945657666
4,0.01,0.4,0.0003770875333722255
5,0.01,0.5,0.00034201323862925547
6,0.01,0.6,0.00033115570883880815
7,0.01,0.7,0.00036675085602332264
8,0.01,0.8,0.0003465006038555558
9,0.01,0.9,0.0005028489635998546
10,0.01,0.99,3.520408036841769
11,0.1,0.01,0.00031977517938241984
12,0.1,0.1,0.0004109961320232521
13,0.1,0.2,0.0005308919649706445
14,0.1,0.3,0.00048041080458512803
15,0.1,0.4,0.00048273520242783543
16,0.1,0.5,0.0006156581544101064
17,0.1,0.6,0.001304022869078764
18,0.1,0.7,0.0016735866808343363
19,0.1,0.8,0.028254467942744776
20,0.1,0.9,3.0850816490958852
21,0.1,0.99,
22,0.2,0.01,0.0002472817044293604
23,0.2,0.1,0.0003605887552725583
24,0.2,0.2,0.0005452181153243618
25,0.2,0.3,0.0010701137348214343
26,0.2,0.4,0.0017160910259744883
27,0.2,0.5,0.0017115990509439913
28,0.2,0.6,0.013467013154031246
29,0.2,0.7,0.278685839223209
30,0.2,0.8,3.5839717664690918
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.00039236154464157623
34,0.3,0.1,0.0006219936909871548
35,0.3,0.2,0.0009733528581750351
36,0.3,0.3,0.00103578743952295
37,0.3,0.4,0.010696729080821494
38,0.3,0.5,0.04286963556716102
39,0.3,0.6,0.732864663317514
40,0.3,0.7,3.421522659304083
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.0004533346449416358
45,0.4,0.1,0.0006251007083113149
46,0.4,0.2,0.001986591619737521
47,0.4,0.3,0.008737573725821039
48,0.4,0.4,0.07818586644861855
49,0.4,0.5,0.8914032707988644
50,0.4,0.6,3.09402313400837
51,0.4,0.7,0.5794224253055268
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.0003588524026443701
56,0.5,0.1,0.0025607511393814196
57,0.5,0.2,0.0020717055754967467
58,0.5,0.3,0.07670698802258188
59,0.5,0.4,0.9826031507720613
60,0.5,0.5,2.972346972193234
61,0.5,0.6,0.744751945200493
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.000610941895558409
67,0.6,0.1,0.0022239352720914733
68,0.6,0.2,0.03569656829882052
69,0.6,0.3,0.7087343937276186
70,0.6,0.4,3.286575880930962
71,0.6,0.5,0.574982528978671
72,0.6,0.6,0.17182545572843955
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.000832151595289232
78,0.7,0.1,0.008729365370357865
79,0.7,0.2,0.5456174094773266
80,0.7,0.3,2.9728677674124593
81,0.7,0.4,1.0025927547106284
82,0.7,0.5,0.19206274947995672
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.0017861737262692295
89,0.8,0.1,0.20040990304984407
90,0.8,0.2,3.0441030040766974
91,0.8,0.3,0.7295172014772591
92,0.8,0.4,0.14638537597206203
93,0.8,0.5,0.05857122506594637
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.011487041122278708
100,0.9,0.1,3.062023528230281
101,0.9,0.2,1.0082720333523816
102,0.9,0.3,0.31048344197888256
103,0.9,0.4,0.1692914157490941
104,0.9,0.5,0.07962319997739614
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,2.6851911844197707
111,0.99,0.1,2.6023084812234254
112,0.99,0.2,1.726933558657554
113,0.99,0.3,1.2557568015409315
114,0.99,0.4,1.134031369307679
115,0.99,0.5,1.24125740863262
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
