,P,cost,value
0,0.01,0.01,9.999361460026599
1,0.01,0.1,9.999555785429289
2,0.01,0.2,9.999465494310625
3,0.01,0.3,9.999490616225803
4,0.01,0.4,9.999363676666176
5,0.01,0.5,9.999142774029218
6,0.01,0.6,9.998671050687157
7,0.01,0.7,9.997922122062953
8,0.01,0.8,9.99440786168169
9,0.01,0.9,9.971427515885921
10,0.01,0.99,4.495455149992611
11,0.1,0.01,9.995543224471703
12,0.1,0.1,9.994951972809222
13,0.1,0.2,9.995190483227427
14,0.1,0.3,9.994736072114675
15,0.1,0.4,9.993884143638246
16,0.1,0.5,9.9917672657743
17,0.1,0.6,9.985057632628935
18,0.1,0.7,9.962160484705185
19,0.1,0.8,9.807624501256097
20,0.1,0.9,2.9201167080898105
21,0.1,0.99,2.5706680951677257
22,0.2,0.01,9.988485148514853
23,0.2,0.1,9.988518250332493
24,0.2,0.2,9.987360573370772
25,0.2,0.3,9.98580390128565
26,0.2,0.4,9.982649918723215
27,0.2,0.5,9.973321562692332
28,0.2,0.6,9.938492685089406
29,0.2,0.7,9.674350890920671
30,0.2,0.8,3.7620451271161515
31,0.2,0.9,-3.129149003129515
32,0.2,0.99,6.3252923008718795
33,0.3,0.01,9.975295847495198
34,0.3,0.1,9.974715383478646
35,0.3,0.2,9.971429436973548
36,0.3,0.3,9.96675587409487
37,0.3,0.4,9.95493187527708
38,0.3,0.5,9.921202130642962
39,0.3,0.6,9.67354466463021
40,0.3,0.7,4.706110321922845
41,0.3,0.8,-1.5874511826825923
42,0.3,0.9,7.017171183541201
43,0.3,0.99,8.597992906753362
44,0.4,0.01,9.946322890498006
45,0.4,0.1,9.94241761489582
46,0.4,0.2,9.931509272723263
47,0.4,0.3,9.909414954928328
48,0.4,0.4,9.856939005006954
49,0.4,0.5,9.676623675800913
50,0.4,0.6,6.597570846223989
51,0.4,0.7,5.034797334846256
52,0.4,0.8,8.78297599503226
53,0.4,0.9,9.452177023323765
54,0.4,0.99,9.56830619181321
55,0.5,0.01,9.85715353923452
56,0.5,0.1,9.8443053624512
57,0.5,0.2,9.778539358260844
58,0.5,0.3,9.59987539893085
59,0.5,0.4,9.058413252811073
60,0.5,0.5,7.72666380361756
61,0.5,0.6,9.139375754595333
62,0.5,0.7,9.630789187487759
63,0.5,0.8,9.786197706383128
64,0.5,0.9,9.84962138013363
65,0.5,0.99,9.857320821634403
66,0.6,0.01,9.543853997340033
67,0.6,0.1,9.412806251781255
68,0.6,0.2,8.66571038315038
69,0.6,0.3,4.5125254674866095
70,0.6,0.4,3.677420588301459
71,0.6,0.5,9.411541482866246
72,0.6,0.6,9.80875011083198
73,0.6,0.7,9.887082015664252
74,0.6,0.8,9.91816857507472
75,0.6,0.9,9.933682577212945
76,0.6,0.99,9.940470223141716
77,0.7,0.01,8.496941480715236
78,0.7,0.1,6.921016806927394
79,0.7,0.2,-2.2803917104465885
80,0.7,0.3,1.13946476416139
81,0.7,0.4,9.15413037174787
82,0.7,0.5,9.797442149072936
83,0.7,0.6,9.902691332634593
84,0.7,0.7,9.93959139943845
85,0.7,0.8,9.954431210285207
86,0.7,0.9,9.962810107876459
87,0.7,0.99,9.96613181616669
88,0.8,0.01,6.187740505393823
89,0.8,0.1,-3.5326593787164984
90,0.8,0.2,-0.3771522244377845
91,0.8,0.3,8.95583041801954
92,0.8,0.4,9.75749327619329
93,0.8,0.5,9.89566438785944
94,0.8,0.6,9.940030737402099
95,0.8,0.7,9.95924338702527
96,0.8,0.8,9.969171863455003
97,0.8,0.9,9.975212797399141
98,0.8,0.99,9.978186345500221
99,0.9,0.01,2.1758182355548987
100,0.9,0.1,-1.7578748224679344
101,0.9,0.2,8.84968036057337
102,0.9,0.3,9.719272055563767
103,0.9,0.4,9.879466528742428
104,0.9,0.5,9.933471180860646
105,0.9,0.6,9.957182059997045
106,0.9,0.7,9.969204669720703
107,0.9,0.8,9.976615486921826
108,0.9,0.9,9.981523274715533
109,0.9,0.99,9.984502438303531
110,0.99,0.01,-2.4680981232451606
111,0.99,0.1,8.509890202453082
112,0.99,0.2,9.671808482340772
113,0.99,0.3,9.861557558740952
114,0.99,0.4,9.925268213388506
115,0.99,0.5,9.952996854841182
116,0.99,0.6,9.967190778779369
117,0.99,0.7,9.976261120141865
118,0.99,0.8,9.98219683759421
119,0.99,0.9,9.985968228166103
120,0.99,0.99,9.988521501403874
