,P,cost,value
0,0.01,0.01,-5.210262646751608
1,0.01,0.1,-5.194674102036584
2,0.01,0.2,-5.1523394000625355
3,0.01,0.3,-5.125252953454096
4,0.01,0.4,-5.069109925512673
5,0.01,0.5,-5.132033854404026
6,0.01,0.6,-5.086097948454045
7,0.01,0.7,-4.988301717273634
8,0.01,0.8,-4.826208913266369
9,0.01,0.9,-4.347714217724913
10,0.01,0.99,6.789508922754774
11,0.1,0.01,-9.153314161096162
12,0.1,0.1,-9.136626645284096
13,0.1,0.2,-9.116693817992548
14,0.1,0.3,-9.104905015788407
15,0.1,0.4,-9.043503877365266
16,0.1,0.5,-8.993508055374903
17,0.1,0.6,-8.872885487270754
18,0.1,0.7,-8.65270116146463
19,0.1,0.8,-7.894916264174263
20,0.1,0.9,2.4447223525371347
21,0.1,0.99,9.801774209324845
22,0.2,0.01,-9.339218791302056
23,0.2,0.1,-9.292258276488926
24,0.2,0.2,-9.270635148353911
25,0.2,0.3,-9.199021176163779
26,0.2,0.4,-9.104143798786984
27,0.2,0.5,-8.965470904251285
28,0.2,0.6,-8.723632375397024
29,0.2,0.7,-7.629084415738628
30,0.2,0.8,1.246313738864295
31,0.2,0.9,9.677947094361446
32,0.2,0.99,9.797422034421624
33,0.3,0.01,-9.336161492969982
34,0.3,0.1,-9.29009460070924
35,0.3,0.2,-9.23650895869859
36,0.3,0.3,-9.154357788630946
37,0.3,0.4,-8.996088783183364
38,0.3,0.5,-8.730305873303028
39,0.3,0.6,-7.48674278095632
40,0.3,0.7,0.8202487140915862
41,0.3,0.8,9.436360243205323
42,0.3,0.9,9.793326845121257
43,0.3,0.99,9.78087573326484
44,0.4,0.01,-9.33253735235185
45,0.4,0.1,-9.288016937487907
46,0.4,0.2,-9.192995711276698
47,0.4,0.3,-9.044416628765477
48,0.4,0.4,-8.715569040575687
49,0.4,0.5,-7.556490972468773
50,0.4,0.6,0.33339536656266683
51,0.4,0.7,9.250589654824397
52,0.4,0.8,9.763441481931508
53,0.4,0.9,9.792856699291315
54,0.4,0.99,9.755190831248234
55,0.5,0.01,-9.333900681836445
56,0.5,0.1,-9.258535733312431
57,0.5,0.2,-9.115964815752237
58,0.5,0.3,-8.756926770066684
59,0.5,0.4,-7.512650013625693
60,0.5,0.5,0.6603260315375328
61,0.5,0.6,9.040550275005511
62,0.5,0.7,9.727918891400439
63,0.5,0.8,9.7914933252107
64,0.5,0.9,9.782073705700585
65,0.5,0.99,9.767271453388828
66,0.6,0.01,-9.337863860337542
67,0.6,0.1,-9.19472504573563
68,0.6,0.2,-8.866313493952727
69,0.6,0.3,-7.718065819405792
70,0.6,0.4,-0.20465425755757138
71,0.6,0.5,8.980209676126764
72,0.6,0.6,9.731362208333895
73,0.6,0.7,9.806222456438663
74,0.6,0.8,9.81282622888181
75,0.6,0.9,9.797138592928935
76,0.6,0.99,9.785822152485169
77,0.7,0.01,-9.313764969585025
78,0.7,0.1,-9.026339098478612
79,0.7,0.2,-8.045730615397707
80,0.7,0.3,-0.8120190207370661
81,0.7,0.4,8.862543407162178
82,0.7,0.5,9.703612925550708
83,0.7,0.6,9.824469223897358
84,0.7,0.7,9.835611139408995
85,0.7,0.8,9.83590576070805
86,0.7,0.9,9.828780336434308
87,0.7,0.99,9.823053498459169
88,0.8,0.01,-9.184379672619565
89,0.8,0.1,-8.3616914823908
90,0.8,0.2,-1.5183714965953865
91,0.8,0.3,8.794148015665964
92,0.8,0.4,9.704718379702765
93,0.8,0.5,9.836006637349033
94,0.8,0.6,9.871223611783293
95,0.8,0.7,9.876398283312614
96,0.8,0.8,9.877845969259994
97,0.8,0.9,9.874252649471483
98,0.8,0.99,9.867131578371605
99,0.9,0.01,-8.570497523123509
100,0.9,0.1,-2.7544935609840957
101,0.9,0.2,8.766220989618658
102,0.9,0.3,9.699253565518083
103,0.9,0.4,9.855600780218817
104,0.9,0.5,9.900558774116238
105,0.9,0.6,9.918763186056921
106,0.9,0.7,9.923011118152619
107,0.9,0.8,9.927441108021727
108,0.9,0.9,9.92679584365485
109,0.9,0.99,9.926354769741604
110,0.99,0.01,-3.810657496934551
111,0.99,0.1,8.49212073296882
112,0.99,0.2,9.670177440801051
113,0.99,0.3,9.859698684793853
114,0.99,0.4,9.923029222406413
115,0.99,0.5,9.949720666301857
116,0.99,0.6,9.963249408773214
117,0.99,0.7,9.971539234520467
118,0.99,0.8,9.977204632702838
119,0.99,0.9,9.980218375856188
120,0.99,0.99,9.982855475099747
