,P,cost,value
0,0.01,0.01,9.992725467251557
1,0.01,0.1,9.99334675481945
2,0.01,0.2,9.993467708999118
3,0.01,0.3,9.994009345197158
4,0.01,0.4,9.994396740135299
5,0.01,0.5,9.994509271371971
6,0.01,0.6,9.995516623337213
7,0.01,0.7,9.995510491010272
8,0.01,0.8,9.992269873401753
9,0.01,0.9,9.954104131931643
10,0.01,0.99,0.9241669183192119
11,0.1,0.01,9.870005737601822
12,0.1,0.1,9.87127795444667
13,0.1,0.2,9.878197189984165
14,0.1,0.3,9.880825907926665
15,0.1,0.4,9.890028041604628
16,0.1,0.5,9.893604438692687
17,0.1,0.6,9.897867282458275
18,0.1,0.7,9.881432792445953
19,0.1,0.8,9.688507872485108
20,0.1,0.9,1.5449778532788234
21,0.1,0.99,-8.866106257806068
22,0.2,0.01,9.307793134244681
23,0.2,0.1,9.322661335807789
24,0.2,0.2,9.326683535155066
25,0.2,0.3,9.345082413390923
26,0.2,0.4,9.366420008866145
27,0.2,0.5,9.376747335642657
28,0.2,0.6,9.372850739826129
29,0.2,0.7,9.100969843235374
30,0.2,0.8,2.5672168068688417
31,0.2,0.9,-7.764170049578521
32,0.2,0.99,-8.628269050333007
33,0.3,0.01,7.820033767148981
34,0.3,0.1,7.854080783136953
35,0.3,0.2,7.832564280004992
36,0.3,0.3,7.886269211104654
37,0.3,0.4,7.949018185510149
38,0.3,0.5,7.974896434977557
39,0.3,0.6,7.832223267350704
40,0.3,0.7,2.8818477326525453
41,0.3,0.8,-5.7633235811780645
42,0.3,0.9,-6.91941487238882
43,0.3,0.99,-7.209848302116711
44,0.4,0.01,4.981601902229508
45,0.4,0.1,5.013246978748177
46,0.4,0.2,5.049859514878936
47,0.4,0.3,5.141689972774184
48,0.4,0.4,5.237650739265818
49,0.4,0.5,5.317918630502788
50,0.4,0.6,2.9824756706325513
51,0.4,0.7,-2.8652795674144818
52,0.4,0.8,-3.9299723956373582
53,0.4,0.9,-4.235733113340839
54,0.4,0.99,-4.372461935768504
55,0.5,0.01,0.3042470929095823
56,0.5,0.1,0.3258152683773285
57,0.5,0.2,0.4382375185655176
58,0.5,0.3,0.6724582242587696
59,0.5,0.4,1.156031772129384
60,0.5,0.5,2.352164824077834
61,0.5,0.6,1.343970364711633
62,0.5,0.7,0.744923799777311
63,0.5,0.8,0.4863838100117002
64,0.5,0.9,0.35947455782577453
65,0.5,0.99,0.31699465563067375
66,0.6,0.01,-4.373256755960132
67,0.6,0.1,-4.279949936006636
68,0.6,0.2,-3.9782702694045398
69,0.6,0.3,-3.121033552417141
70,0.6,0.4,1.1849784182409349
71,0.6,0.5,5.15199962821859
72,0.6,0.6,5.236212226305722
73,0.6,0.7,5.113392017391099
74,0.6,0.8,5.045347721662861
75,0.6,0.9,4.9978315897402235
76,0.6,0.99,4.9790707789973805
77,0.7,0.01,-7.202914888228693
78,0.7,0.1,-6.937930712296106
79,0.7,0.2,-6.049822550476259
80,0.7,0.3,0.07384419260835351
81,0.7,0.4,7.386028948353731
82,0.7,0.5,7.885574974088564
83,0.7,0.6,7.894507082139861
84,0.7,0.7,7.889680105506034
85,0.7,0.8,7.868744652842831
86,0.7,0.9,7.8506099214330405
87,0.7,0.99,7.820847760469932
88,0.8,0.01,-8.561717218924748
89,0.8,0.1,-7.757154876266357
90,0.8,0.2,-1.1823497004936891
91,0.8,0.3,8.41624884318901
92,0.8,0.4,9.201659756212342
93,0.8,0.5,9.299557335832834
94,0.8,0.6,9.320923221348112
95,0.8,0.7,9.324147037156523
96,0.8,0.8,9.317522811621672
97,0.8,0.9,9.304483248829452
98,0.8,0.99,9.302294505047405
99,0.9,0.01,-8.486356540996145
100,0.9,0.1,-2.664921572853011
101,0.9,0.2,8.726579893713712
102,0.9,0.3,9.647468476243928
103,0.9,0.4,9.800425637926832
104,0.9,0.5,9.843702638070535
105,0.9,0.6,9.855119196658498
106,0.9,0.7,9.860003797272492
107,0.9,0.8,9.862185988549951
108,0.9,0.9,9.862431485763118
109,0.9,0.99,9.861392655757813
110,0.99,0.01,-3.807404341949219
111,0.99,0.1,8.493388159105868
112,0.99,0.2,9.670613628724405
113,0.99,0.3,9.860047218819265
114,0.99,0.4,9.922042720850095
115,0.99,0.5,9.949367357369873
116,0.99,0.6,9.963001580146196
117,0.99,0.7,9.971521235590451
118,0.99,0.8,9.977010338112722
119,0.99,0.9,9.980382069009323
120,0.99,0.99,9.982352846459683
