,P,cost,value
0,0.01,0.01,9.999551499926113
1,0.01,0.1,9.999671937342987
2,0.01,0.2,9.999537756760752
3,0.01,0.3,9.999490616225803
4,0.01,0.4,9.999363676666176
5,0.01,0.5,9.99887483375203
6,0.01,0.6,9.998690704891382
7,0.01,0.7,9.998069011378751
8,0.01,0.8,9.99520526082459
9,0.01,0.9,9.969526525786904
10,0.01,0.99,8.187091029998525
11,0.1,0.01,9.997654056450422
12,0.1,0.1,9.997299985222401
13,0.1,0.2,9.996770799468006
14,0.1,0.3,9.995498448352299
15,0.1,0.4,9.994041820599971
16,0.1,0.5,9.991109649770946
17,0.1,0.6,9.984859021723068
18,0.1,0.7,9.966648884291414
19,0.1,0.8,9.856935274124428
20,0.1,0.9,7.201413033840697
21,0.1,0.99,9.871243091473328
22,0.2,0.01,9.994744790897002
23,0.2,0.1,9.993836116447468
24,0.2,0.2,9.9923843653022
25,0.2,0.3,9.989388798581352
26,0.2,0.4,9.983774198315356
27,0.2,0.5,9.971994532289049
28,0.2,0.6,9.940114083050096
29,0.2,0.7,9.77856479976356
30,0.2,0.8,7.361527560218708
31,0.2,0.9,9.797136840549728
32,0.2,0.99,9.936251219151767
33,0.3,0.01,9.990723511157087
34,0.3,0.1,9.988589182798878
35,0.3,0.2,9.985102260972367
36,0.3,0.3,9.977372099896558
37,0.3,0.4,9.960777597162702
38,0.3,0.5,9.91715531254618
39,0.3,0.6,9.716987882370328
40,0.3,0.7,7.43396911482193
41,0.3,0.8,9.676691739323186
42,0.3,0.9,9.911511452637802
43,0.3,0.99,9.957618146889315
44,0.4,0.01,9.984522831387618
45,0.4,0.1,9.97979917245456
46,0.4,0.2,9.97096911482193
47,0.4,0.3,9.949858135067236
48,0.4,0.4,9.897434461356584
49,0.4,0.5,9.662315649475396
50,0.4,0.6,7.5992427959213815
51,0.4,0.7,9.592686714940152
52,0.4,0.8,9.886782178217821
53,0.4,0.9,9.946637948869515
54,0.4,0.99,9.967063839219744
55,0.5,0.01,9.973190926555343
56,0.5,0.1,9.963074922417615
57,0.5,0.2,9.939928180877791
58,0.5,0.3,9.873893010196543
59,0.5,0.4,9.593414659376387
60,0.5,0.5,7.7199286464794135
61,0.5,0.6,9.476279818590578
62,0.5,0.7,9.854621693512636
63,0.5,0.8,9.932441702379194
64,0.5,0.9,9.962599083788975
65,0.5,0.99,9.974255800206885
66,0.6,0.01,9.951994975616964
67,0.6,0.1,9.929387616373578
68,0.6,0.2,9.859601004876609
69,0.6,0.3,9.548838480863013
70,0.6,0.4,7.578034284025418
71,0.6,0.5,9.414834195359834
72,0.6,0.6,9.832890793556967
73,0.6,0.7,9.920506428254765
74,0.6,0.8,9.954416432688046
75,0.6,0.9,9.970819269986698
76,0.6,0.99,9.978316388355255
77,0.7,0.01,9.903806117925226
78,0.7,0.1,9.835557263189004
79,0.7,0.2,9.511332200384219
80,0.7,0.3,7.208323333825919
81,0.7,0.4,9.26952770799468
82,0.7,0.5,9.797677405053937
83,0.7,0.6,9.90693734298803
84,0.7,0.7,9.948343874685976
85,0.7,0.8,9.966389833013151
86,0.7,0.9,9.976511009309888
87,0.7,0.99,9.98169572927442
88,0.8,0.01,9.766014334269247
89,0.8,0.1,9.454231860499483
90,0.8,0.2,6.14616255356879
91,0.8,0.3,9.075078616816906
92,0.8,0.4,9.766158120289642
93,0.8,0.5,9.895220333973695
94,0.8,0.6,9.940757351854588
95,0.8,0.7,9.961510122654056
96,0.8,0.8,9.973204965272648
97,0.8,0.9,9.980271464459879
98,0.8,0.99,9.984029407418353
99,0.9,0.01,9.074561548692184
100,0.9,0.1,5.768245603664845
101,0.9,0.2,8.404352445692332
102,0.9,0.3,9.723204965272645
103,0.9,0.4,9.880564356435645
104,0.9,0.5,9.933037535096794
105,0.9,0.6,9.957290970888135
106,0.9,0.7,9.969907492241761
107,0.9,0.8,9.977656864193884
108,0.9,0.9,9.983208216344025
109,0.9,0.99,9.986327323777154
110,0.99,0.01,-0.4269872912664401
111,0.99,0.1,7.754197724250038
112,0.99,0.2,9.642062952563911
113,0.99,0.3,9.86140401950643
114,0.99,0.4,9.92523348603517
115,0.99,0.5,9.95283921974287
116,0.99,0.6,9.967190778779369
117,0.99,0.7,9.976293187527709
118,0.99,0.8,9.982229496083937
119,0.99,0.9,9.986065908083345
120,0.99,0.99,9.988612088074479
