,P,cost,value
0,0.01,0.01,-2.7490017799928483
1,0.01,0.1,-2.6770465301279134
2,0.01,0.2,-2.715584369025594
3,0.01,0.3,-2.6196470729077195
4,0.01,0.4,-2.5706049894706915
5,0.01,0.5,-2.7383274683464403
6,0.01,0.6,-2.623637104046575
7,0.01,0.7,-2.5647775409919884
8,0.01,0.8,-2.307239482924654
9,0.01,0.9,-1.8678413893015964
10,0.01,0.99,7.25298122564339
11,0.1,0.01,-5.030767959813424
12,0.1,0.1,-4.984419583310721
13,0.1,0.2,-4.954724699750004
14,0.1,0.3,-4.914477853265412
15,0.1,0.4,-4.854958416860857
16,0.1,0.5,-4.758763887335099
17,0.1,0.6,-4.554918061862299
18,0.1,0.7,-4.152304606516472
19,0.1,0.8,-3.086243070059727
20,0.1,0.9,6.261102910581338
21,0.1,0.99,7.310783236437391
22,0.2,0.01,-7.919054064822985
23,0.2,0.1,-7.901763865313335
24,0.2,0.2,-7.815955505231585
25,0.2,0.3,-7.712034384038844
26,0.2,0.4,-7.577097045181529
27,0.2,0.5,-7.338807463276787
28,0.2,0.6,-7.027850223239956
29,0.2,0.7,-5.5525298417912765
30,0.2,0.8,3.4511379694138578
31,0.2,0.9,9.40521007456245
32,0.2,0.99,9.021774772519544
33,0.3,0.01,-8.974074419707158
34,0.3,0.1,-8.923478279692914
35,0.3,0.2,-8.836437592947684
36,0.3,0.3,-8.749465949890677
37,0.3,0.4,-8.579632794473305
38,0.3,0.5,-8.237020691385771
39,0.3,0.6,-6.781557254653117
40,0.3,0.7,1.6595598959182603
41,0.3,0.8,9.609072858117138
42,0.3,0.9,9.726516280742324
43,0.3,0.99,9.627255192523611
44,0.4,0.01,-9.382169906753244
45,0.4,0.1,-9.326883306678553
46,0.4,0.2,-9.225604045524179
47,0.4,0.3,-9.07045850749838
48,0.4,0.4,-8.71960428192845
49,0.4,0.5,-7.534721560765378
50,0.4,0.6,0.4375254298646564
51,0.4,0.7,9.378827051987459
52,0.4,0.8,9.857779189687793
53,0.4,0.9,9.862447837951029
54,0.4,0.99,9.839847991633535
55,0.5,0.01,-9.544813584959876
56,0.5,0.1,-9.472930337861396
57,0.5,0.2,-9.34331354259226
58,0.5,0.3,-8.991938650936946
59,0.5,0.4,-7.783781601929176
60,0.5,0.5,0.35909730222946545
61,0.5,0.6,9.038061708403266
62,0.5,0.7,9.831157282940412
63,0.5,0.8,9.916501106612461
64,0.5,0.9,9.925124344505553
65,0.5,0.99,9.915018041975308
66,0.6,0.01,-9.606495740066455
67,0.6,0.1,-9.4984008622918
68,0.6,0.2,-9.191332345542204
69,0.6,0.3,-8.126790176104889
70,0.6,0.4,-0.7322420446736061
71,0.6,0.5,8.890938630548092
72,0.6,0.6,9.781538549437688
73,0.6,0.7,9.913925348301497
74,0.6,0.8,9.94527512834622
75,0.6,0.9,9.952141632255536
76,0.6,0.99,9.951297303646037
77,0.7,0.01,-9.601681595584246
78,0.7,0.1,-9.348534366988527
79,0.7,0.2,-8.46717809875988
80,0.7,0.3,-1.3998309469506482
81,0.7,0.4,8.72416478019826
82,0.7,0.5,9.718231660416997
83,0.7,0.6,9.895289493620117
84,0.7,0.7,9.946053164056654
85,0.7,0.8,9.961593477040205
86,0.7,0.9,9.967344925194006
87,0.7,0.99,9.968023469978377
88,0.8,0.01,-9.459223882623064
89,0.8,0.1,-8.712855023103646
90,0.8,0.2,-2.06138752332278
91,0.8,0.3,8.633786142557522
92,0.8,0.4,9.691066934121832
93,0.8,0.5,9.879282697550408
94,0.8,0.6,9.937352831436034
95,0.8,0.7,9.96062112595667
96,0.8,0.8,9.97108518242115
97,0.8,0.9,9.976210128530386
98,0.8,0.99,9.978165536710646
99,0.9,0.01,-8.789492803363114
100,0.9,0.1,-3.090653087376684
101,0.9,0.2,8.65706168424688
102,0.9,0.3,9.675994663610822
103,0.9,0.4,9.867147903217969
104,0.9,0.5,9.929608011545337
105,0.9,0.6,9.956527443303637
106,0.9,0.7,9.969512481536174
107,0.9,0.8,9.97694055345728
108,0.9,0.9,9.98184294789715
109,0.9,0.99,9.984213126731095
110,0.99,0.01,-3.8588391258491033
111,0.99,0.1,8.476656858936103
112,0.99,0.2,9.665373419573415
113,0.99,0.3,9.859877047489466
114,0.99,0.4,9.92454192938363
115,0.99,0.5,9.952730603377226
116,0.99,0.6,9.967160520382134
117,0.99,0.7,9.976259531450612
118,0.99,0.8,9.982197649722846
119,0.99,0.9,9.986018471681104
120,0.99,0.99,9.988564356174233
