,P,cost,value
0,0.01,0.01,-1.7654024043809469
1,0.01,0.1,-1.6919783904877432
2,0.01,0.2,-1.719200669835152
3,0.01,0.3,-1.6422700453415862
4,0.01,0.4,-1.6058554556506457
5,0.01,0.5,-1.748511028021063
6,0.01,0.6,-1.6327069927363815
7,0.01,0.7,-1.5738065306432074
8,0.01,0.8,-1.3364594842521051
9,0.01,0.9,-0.9530117563602626
10,0.01,0.99,6.755725380940594
11,0.1,0.01,0.2114438362171649
12,0.1,0.1,0.23145333171342553
13,0.1,0.2,0.28752224886590894
14,0.1,0.3,0.3132392202346338
15,0.1,0.4,0.33159391419076084
16,0.1,0.5,0.40187979960959286
17,0.1,0.6,0.5279653508972177
18,0.1,0.7,0.7631173156942594
19,0.1,0.8,1.374623984137055
20,0.1,0.9,4.350882510487961
21,0.1,0.99,1.5184973087635745
22,0.2,0.01,0.2918022149173909
23,0.2,0.1,0.2786983665800224
24,0.2,0.2,0.3031293184126424
25,0.2,0.3,0.3708743835135234
26,0.2,0.4,0.49486174895472956
27,0.2,0.5,0.6319648033565427
28,0.2,0.6,0.8785974705172238
29,0.2,0.7,1.6387690806421782
30,0.2,0.8,3.639560864640326
31,0.2,0.9,1.5854748302066102
32,0.2,0.99,0.8101948799939271
33,0.3,0.01,0.292710228196234
34,0.3,0.1,0.32671371030435553
35,0.3,0.2,0.3538008677140381
36,0.3,0.3,0.47301295987336894
37,0.3,0.4,0.5930975028776744
38,0.3,0.5,0.8573694275520782
39,0.3,0.6,1.648820581678231
40,0.3,0.7,3.2907445216891063
41,0.3,0.8,1.6545984596521757
42,0.3,0.9,0.830616256727903
43,0.3,0.99,0.5998556914897619
44,0.4,0.01,0.3154690264923955
45,0.4,0.1,0.38838907987886506
46,0.4,0.2,0.4719547699223209
47,0.4,0.3,0.6530404002045243
48,0.4,0.4,0.8683565168203583
49,0.4,0.5,1.539073706649539
50,0.4,0.6,3.0899312134327124
51,0.4,0.7,1.7042477755920409
52,0.4,0.8,0.8978964615333145
53,0.4,0.9,0.5991972100896661
54,0.4,0.99,0.4719317586826643
55,0.5,0.01,0.39055342446108965
56,0.5,0.1,0.42635835045536913
57,0.5,0.2,0.581102002086509
58,0.5,0.3,0.8773236460772033
59,0.5,0.4,1.5341870739711188
60,0.5,0.5,3.020093976753212
61,0.5,0.6,1.732155471241383
62,0.5,0.7,0.9489216713513109
63,0.5,0.8,0.6271625776408598
64,0.5,0.9,0.463681443955722
65,0.5,0.99,0.41044228636502234
66,0.6,0.01,0.45141871122368027
67,0.6,0.1,0.5543803979304475
68,0.6,0.2,0.8299897504871405
69,0.6,0.3,1.4761457203538546
70,0.6,0.4,2.7743479201294043
71,0.6,0.5,1.6671999246577665
72,0.6,0.6,0.9812389861654286
73,0.6,0.7,0.6297808656527265
74,0.6,0.8,0.5030962349065448
75,0.6,0.9,0.3894148859054096
76,0.6,0.99,0.3430754273284175
77,0.7,0.01,0.5586217040064186
78,0.7,0.1,0.7903134842260241
79,0.7,0.2,1.3356105734571293
80,0.7,0.3,2.874502064922172
81,0.7,0.4,1.6792362388266033
82,0.7,0.5,0.9783299517388806
83,0.7,0.6,0.6640930426058227
84,0.7,0.7,0.4723684839213197
85,0.7,0.8,0.4041736440649819
86,0.7,0.9,0.33196982317773993
87,0.7,0.99,0.2987967145952409
88,0.8,0.01,0.73227999795935
89,0.8,0.1,1.267586806561174
90,0.8,0.2,2.7278829487434693
91,0.8,0.3,1.698563298221802
92,0.8,0.4,0.8969747192377999
93,0.8,0.5,0.6513361781693214
94,0.8,0.6,0.49339044265398535
95,0.8,0.7,0.42824925544353354
96,0.8,0.8,0.306068323540635
97,0.8,0.9,0.2920254326867839
98,0.8,0.99,0.25067569476835244
99,0.9,0.01,1.233340396133194
100,0.9,0.1,2.5857030516697677
101,0.9,0.2,1.5469894337357581
102,0.9,0.3,0.8921549302810361
103,0.9,0.4,0.555651592858309
104,0.9,0.5,0.4821041340699361
105,0.9,0.6,0.3799777175952049
106,0.9,0.7,0.3006790198605403
107,0.9,0.8,0.2738346427444739
108,0.9,0.9,0.24909278349243894
109,0.9,0.99,0.22982449352477383
110,0.99,0.01,2.3079835646018534
111,0.99,0.1,-0.6085279561164826
112,0.99,0.2,-1.289902014789145
113,0.99,0.3,-1.5337496576950393
114,0.99,0.4,-1.451214545368589
115,0.99,0.5,-1.7080626043277694
116,0.99,0.6,-1.6789619892914844
117,0.99,0.7,-1.7049533842231206
118,0.99,0.8,-1.7073815685381923
119,0.99,0.9,-1.7850388597604523
120,0.99,0.99,-1.5814508726685874
