,P,cost,value
0,0.01,0.01,9.999551499926113
1,0.01,0.1,9.999671937342987
2,0.01,0.2,9.999537756760752
3,0.01,0.3,9.999496231712723
4,0.01,0.4,9.999363676666176
5,0.01,0.5,9.999090021274888
6,0.01,0.6,9.998702672124168
7,0.01,0.7,9.99814437712428
8,0.01,0.8,9.99557676961726
9,0.01,0.9,9.984154425890349
10,0.01,0.99,8.410900103443183
11,0.1,0.01,9.997717895670164
12,0.1,0.1,9.997473326437124
13,0.1,0.2,9.99680035466233
14,0.1,0.3,9.995743017585339
15,0.1,0.4,9.994134180582236
16,0.1,0.5,9.99157893974531
17,0.1,0.6,9.985768799823113
18,0.1,0.7,9.9694557410965
19,0.1,0.8,9.887956701640315
20,0.1,0.9,8.321168169055714
21,0.1,0.99,9.87123525934683
22,0.2,0.01,9.994952120585193
23,0.2,0.1,9.994118073001331
24,0.2,0.2,9.992459583271762
25,0.2,0.3,9.989493423969263
26,0.2,0.4,9.983996157824738
27,0.2,0.5,9.973010267199383
28,0.2,0.6,9.943261080839257
29,0.2,0.7,9.800475395300724
30,0.2,0.8,8.232631446726762
31,0.2,0.9,9.799597458253288
32,0.2,0.99,9.936251219151767
33,0.3,0.01,9.990998374464313
34,0.3,0.1,9.988867297177478
35,0.3,0.2,9.985192995418945
36,0.3,0.3,9.977543963351561
37,0.3,0.4,9.961223141717158
38,0.3,0.5,9.921001512974005
39,0.3,0.6,9.735500588411663
40,0.3,0.7,7.990908083345648
41,0.3,0.8,9.684784838185314
42,0.3,0.9,9.91190645780996
43,0.3,0.99,9.957618146889315
44,0.4,0.01,9.98476843505246
45,0.4,0.1,9.98009797546919
46,0.4,0.2,9.971059258164626
47,0.4,0.3,9.95004344613566
48,0.4,0.4,9.898471405349492
49,0.4,0.5,9.675017350047533
50,0.4,0.6,7.935223638112627
51,0.4,0.7,9.598087187823259
52,0.4,0.8,9.886846756317423
53,0.4,0.9,9.946720998965567
54,0.4,0.99,9.967063839219744
55,0.5,0.01,9.973190926555343
56,0.5,0.1,9.963074922417615
57,0.5,0.2,9.939928180877791
58,0.5,0.3,9.873893010196543
59,0.5,0.4,9.593414659376387
60,0.5,0.5,7.717708890490136
61,0.5,0.6,9.475711132452098
62,0.5,0.7,9.854621693512636
63,0.5,0.8,9.932441702379194
64,0.5,0.9,9.962599083788975
65,0.5,0.99,9.974255800206885
66,0.6,0.01,9.9505650953155
67,0.6,0.1,9.926734151027045
68,0.6,0.2,9.857449682281661
69,0.6,0.3,9.540700753657456
70,0.6,0.4,7.29466114969706
71,0.6,0.5,9.409606321026194
72,0.6,0.6,9.832809054385173
73,0.6,0.7,9.920480863011674
74,0.6,0.8,9.954416432688046
75,0.6,0.9,9.970819269986698
76,0.6,0.99,9.978316388355255
77,0.7,0.01,9.894095758829614
78,0.7,0.1,9.821118664105219
79,0.7,0.2,9.49435244569233
80,0.7,0.3,6.954414954928327
81,0.7,0.4,9.26581646224324
82,0.7,0.5,9.796977897752061
83,0.7,0.6,9.906945717156946
84,0.7,0.7,9.948343579134033
85,0.7,0.8,9.966389833013151
86,0.7,0.9,9.976511009309888
87,0.7,0.99,9.98169572927442
88,0.8,0.01,9.686438451307819
89,0.8,0.1,9.24341140830501
90,0.8,0.2,6.173835968671495
91,0.8,0.3,9.139890793556969
92,0.8,0.4,9.766535835673121
93,0.8,0.5,9.895370690653483
94,0.8,0.6,9.940759240875966
95,0.8,0.7,9.961517659228608
96,0.8,0.8,9.973204965272648
97,0.8,0.9,9.980271464459879
98,0.8,0.99,9.984029407418353
99,0.9,0.01,6.035212501847199
100,0.9,0.1,0.455920792079208
101,0.9,0.2,8.976201861977241
102,0.9,0.3,9.731747303088516
103,0.9,0.4,9.880889315797251
104,0.9,0.5,9.933366588708482
105,0.9,0.6,9.957304788193996
106,0.9,0.7,9.969910004433281
107,0.9,0.8,9.977656864193884
108,0.9,0.9,9.983208216344025
109,0.9,0.99,9.986327323777154
110,0.99,0.01,-3.613034579577362
111,0.99,0.1,8.517722476725284
112,0.99,0.2,9.673636175557853
113,0.99,0.3,9.86203723954485
114,0.99,0.4,9.925268213388506
115,0.99,0.5,9.952969399263193
116,0.99,0.6,9.967190778779369
117,0.99,0.7,9.976293187527709
118,0.99,0.8,9.982229496083937
119,0.99,0.9,9.986065908083345
120,0.99,0.99,9.988612088074479
