,P,cost,value
0,0.01,0.01,9.99884759165055
1,0.01,0.1,9.999098444256605
2,0.01,0.2,9.999138418665495
3,0.01,0.3,9.999304595042082
4,0.01,0.4,9.999306515848993
5,0.01,0.5,9.999082410865007
6,0.01,0.6,9.99849152034084
7,0.01,0.7,9.997268915768577
8,0.01,0.8,9.990964816605196
9,0.01,0.9,9.94232117805574
10,0.01,0.99,0.7822492653719303
11,0.1,0.01,9.987668655332723
12,0.1,0.1,9.98844358645723
13,0.1,0.2,9.990501475069797
14,0.1,0.3,9.991827966881338
15,0.1,0.4,9.993019701134997
16,0.1,0.5,9.991618450829296
17,0.1,0.6,9.983063871965674
18,0.1,0.7,9.944274163372796
19,0.1,0.8,9.687296497371781
20,0.1,0.9,1.145494838234972
21,0.1,0.99,-9.135282034980932
22,0.2,0.01,9.959175066577469
23,0.2,0.1,9.963654174558595
24,0.2,0.2,9.967165311411566
25,0.2,0.3,9.972945160867722
26,0.2,0.4,9.978043497982117
27,0.2,0.5,9.973079330573405
28,0.2,0.6,9.925643504416005
29,0.2,0.7,9.517587023413267
30,0.2,0.8,2.205453501743623
31,0.2,0.9,-8.579185258460072
32,0.2,0.99,-9.400824765469354
33,0.3,0.01,9.862461414507887
34,0.3,0.1,9.874784210934367
35,0.3,0.2,9.888235652863882
36,0.3,0.3,9.91149818009894
37,0.3,0.4,9.930301080592281
38,0.3,0.5,9.920728405820297
39,0.3,0.6,9.564533841932606
40,0.3,0.7,3.0254652835180877
41,0.3,0.8,-7.643716458195591
42,0.3,0.9,-8.947641201325613
43,0.3,0.99,-9.25458570143818
44,0.4,0.01,9.307280593921057
45,0.4,0.1,9.35937873825389
46,0.4,0.2,9.421491662676853
47,0.4,0.3,9.528551566397711
48,0.4,0.4,9.638448418360907
49,0.4,0.5,9.67564219814632
50,0.4,0.6,4.8594610794820605
51,0.4,0.7,-5.850318652312497
52,0.4,0.8,-7.675825907765259
53,0.4,0.9,-8.169230247929786
54,0.4,0.99,-8.404790453025305
55,0.5,0.01,0.9528013867882619
56,0.5,0.1,0.972420452394262
57,0.5,0.2,1.3569147496944376
58,0.5,0.3,2.1080457657683334
59,0.5,0.4,3.754815061860705
60,0.5,0.5,7.718366880522903
61,0.5,0.6,4.346064295756769
62,0.5,0.7,2.4289384060461963
63,0.5,0.8,1.585140817145458
64,0.5,0.9,1.169413294062612
65,0.5,0.99,1.01223962677083
66,0.6,0.01,-8.413952394291433
67,0.6,0.1,-8.215930445870866
68,0.6,0.2,-7.728482822681859
69,0.6,0.3,-6.290743840104832
70,0.6,0.4,1.5070689653236047
71,0.6,0.5,9.410725661164514
72,0.6,0.6,9.630103109031793
73,0.6,0.7,9.506965171087469
74,0.6,0.8,9.424309577320663
75,0.6,0.9,9.342746155283756
76,0.6,0.99,9.311445984911238
77,0.7,0.01,-9.266895105201252
78,0.7,0.1,-8.949604466221121
79,0.7,0.2,-7.9281238520685795
80,0.7,0.3,-0.585922484166525
81,0.7,0.4,9.019763262040787
82,0.7,0.5,9.796988811771705
83,0.7,0.6,9.88106852810955
84,0.7,0.7,9.887971045454924
85,0.7,0.8,9.876436367149205
86,0.7,0.9,9.860630813762478
87,0.7,0.99,9.852172194664593
88,0.8,0.01,-9.314426993767187
89,0.8,0.1,-8.515785367707526
90,0.8,0.2,-1.7340181587639147
91,0.8,0.3,8.778127529710694
92,0.8,0.4,9.741380176767452
93,0.8,0.5,9.895420362413553
94,0.8,0.6,9.936499081028408
95,0.8,0.7,9.948365132600584
96,0.8,0.8,9.951121218699338
97,0.8,0.9,9.951072513797413
98,0.8,0.99,9.949802836409061
99,0.9,0.01,-8.718699962910708
100,0.9,0.1,-2.975223168520953
101,0.9,0.2,8.709925531875399
102,0.9,0.3,9.697996361785322
103,0.9,0.4,9.876958240002015
104,0.9,0.5,9.933326666662774
105,0.9,0.6,9.956586791134445
106,0.9,0.7,9.966917410898217
107,0.9,0.8,9.972813173237046
108,0.9,0.9,9.976175077770517
109,0.9,0.99,9.977444600627727
110,0.99,0.01,-3.8480481650782576
111,0.99,0.1,8.480900388398622
112,0.99,0.2,9.667410119320458
113,0.99,0.3,9.860814244074732
114,0.99,0.4,9.925115338785082
115,0.99,0.5,9.952924417836646
116,0.99,0.6,9.967242656762789
117,0.99,0.7,9.976162490373856
118,0.99,0.8,9.982015239827254
119,0.99,0.9,9.985691439631509
120,0.99,0.99,9.988228268031937
