,P,cost,value
0,0.01,0.01,9.992690886977272
1,0.01,0.1,9.993313208562908
2,0.01,0.2,9.993439187505576
3,0.01,0.3,9.993986771957077
4,0.01,0.4,9.994372614961112
5,0.01,0.5,9.994484148935905
6,0.01,0.6,9.995490651135002
7,0.01,0.7,9.995489063047804
8,0.01,0.8,9.992259491338674
9,0.01,0.9,9.954123596041978
10,0.01,0.99,0.9246634667016851
11,0.1,0.01,9.870130158215485
12,0.1,0.1,9.871376798674818
13,0.1,0.2,9.878293339886257
14,0.1,0.3,9.880948290654075
15,0.1,0.4,9.890096327808116
16,0.1,0.5,9.893713108815657
17,0.1,0.6,9.898009761427835
18,0.1,0.7,9.881543527980702
19,0.1,0.8,9.688686013710416
20,0.1,0.9,1.5452163793742733
21,0.1,0.99,-8.866157904893807
22,0.2,0.01,9.3076152340613
23,0.2,0.1,9.322495965459064
24,0.2,0.2,9.326523539776982
25,0.2,0.3,9.344953734434453
26,0.2,0.4,9.366258603318
27,0.2,0.5,9.376485508429933
28,0.2,0.6,9.372713745809678
29,0.2,0.7,9.100805870197927
30,0.2,0.8,2.5671482665411247
31,0.2,0.9,-7.76395360822346
32,0.2,0.99,-8.628065090299378
33,0.3,0.01,7.820179234592224
34,0.3,0.1,7.854238377562614
35,0.3,0.2,7.832733945446075
36,0.3,0.3,7.886377489348945
37,0.3,0.4,7.949138712788272
38,0.3,0.5,7.975023551177266
39,0.3,0.6,7.832253870178951
40,0.3,0.7,2.881828480107563
41,0.3,0.8,-5.763436809992446
42,0.3,0.9,-6.919611255613962
43,0.3,0.99,-7.209993576626111
44,0.4,0.01,4.9818007244679965
45,0.4,0.1,5.01336752249639
46,0.4,0.2,5.050098817046904
47,0.4,0.3,5.141904153317521
48,0.4,0.4,5.237778773785972
49,0.4,0.5,5.3181269193581935
50,0.4,0.6,2.9825307036731434
51,0.4,0.7,-2.8654181475023144
52,0.4,0.8,-3.9302822050234933
53,0.4,0.9,-4.235865642267197
54,0.4,0.99,-4.3726075164924
55,0.5,0.01,0.3042407471764214
56,0.5,0.1,0.3258320512287235
57,0.5,0.2,0.4382815690913411
58,0.5,0.3,0.6724166709348639
59,0.5,0.4,1.1559528404891415
60,0.5,0.5,2.3520763114422234
61,0.5,0.6,1.3439675453341895
62,0.5,0.7,0.744926502409001
63,0.5,0.8,0.4863579874646215
64,0.5,0.9,0.35939033413676735
65,0.5,0.99,0.3169798264760851
66,0.6,0.01,-4.373413403813158
67,0.6,0.1,-4.280138638152792
68,0.6,0.2,-3.9784301019739585
69,0.6,0.3,-3.1212346227047956
70,0.6,0.4,1.1850662751461225
71,0.6,0.5,5.1523563444675045
72,0.6,0.6,5.236484312061608
73,0.6,0.7,5.113637772418218
74,0.6,0.8,5.045553937609913
75,0.6,0.9,4.9980415269335134
76,0.6,0.99,4.9791980401341585
77,0.7,0.01,-7.202984764932809
78,0.7,0.1,-6.938091909971426
79,0.7,0.2,-6.049949584931307
80,0.7,0.3,0.07382265041641631
81,0.7,0.4,7.386232881495833
82,0.7,0.5,7.885732062991911
83,0.7,0.6,7.894638551736165
84,0.7,0.7,7.889795922959331
85,0.7,0.8,7.868820303774765
86,0.7,0.9,7.8508515413924425
87,0.7,0.99,7.820999303949909
88,0.8,0.01,-8.56155734346807
89,0.8,0.1,-7.75693597287339
90,0.8,0.2,-1.1822267313558634
91,0.8,0.3,8.416090043661317
92,0.8,0.4,9.201483791298223
93,0.8,0.5,9.299432679801946
94,0.8,0.6,9.320733119154065
95,0.8,0.7,9.323960509431352
96,0.8,0.8,9.317349147532095
97,0.8,0.9,9.304316933974157
98,0.8,0.99,9.302095377699114
99,0.9,0.01,-8.486430779230178
100,0.9,0.1,-2.664932201241284
101,0.9,0.2,8.726715961428477
102,0.9,0.3,9.647647303902964
103,0.9,0.4,9.800525194916746
104,0.9,0.5,9.843861645448275
105,0.9,0.6,9.855267106517365
106,0.9,0.7,9.86011302591818
107,0.9,0.8,9.862321936018398
108,0.9,0.9,9.86254345159027
109,0.9,0.99,9.861536319183875
110,0.99,0.01,-3.8071832837793878
111,0.99,0.1,8.493437149375806
112,0.99,0.2,9.670631559661201
113,0.99,0.3,9.860022489798187
114,0.99,0.4,9.92202235539914
115,0.99,0.5,9.94934182278863
116,0.99,0.6,9.962972389137372
117,0.99,0.7,9.971491086288495
118,0.99,0.8,9.976977714601237
119,0.99,0.9,9.980341243797044
120,0.99,0.99,9.982323991700127
