,P,cost,value
0,0.01,0.01,-0.9909974960173296
1,0.01,0.1,-0.9537833000134679
2,0.01,0.2,-0.9551280882464366
3,0.01,0.3,-0.887806724781885
4,0.01,0.4,-0.8383188190479953
5,0.01,0.5,-0.8753005018094401
6,0.01,0.6,-0.9080878681278559
7,0.01,0.7,-0.7363321897147034
8,0.01,0.8,-0.5542137700306984
9,0.01,0.9,-0.03928736755118918
10,0.01,0.99,8.313999476764995
11,0.1,0.01,-0.13883299011377453
12,0.1,0.1,-0.17716077633056182
13,0.1,0.2,0.023438047909659587
14,0.1,0.3,-0.03620812627566386
15,0.1,0.4,0.008073374798549903
16,0.1,0.5,0.20790737509397544
17,0.1,0.6,0.5383173065277087
18,0.1,0.7,0.8585652602755052
19,0.1,0.8,2.0119935761551453
20,0.1,0.9,8.145752805940973
21,0.1,0.99,3.241204934289068
22,0.2,0.01,0.1978426302812844
23,0.2,0.1,0.19168916530086771
24,0.2,0.2,0.2469685335331029
25,0.2,0.3,0.44745313605558823
26,0.2,0.4,0.6590533183346338
27,0.2,0.5,0.9301460983963743
28,0.2,0.6,1.4392081865136364
29,0.2,0.7,3.05478131728228
30,0.2,0.8,8.017996696673816
31,0.2,0.9,3.696410229017031
32,0.2,0.99,2.081856516722032
33,0.3,0.01,0.439857535160867
34,0.3,0.1,0.5034832973151082
35,0.3,0.2,0.6405554019452554
36,0.3,0.3,0.8829409741424001
37,0.3,0.4,1.1079589223637079
38,0.3,0.5,1.7289210167689941
39,0.3,0.6,3.5710357519760922
40,0.3,0.7,7.789493687365474
41,0.3,0.8,4.019267759816014
42,0.3,0.9,2.0930545046710645
43,0.3,0.99,1.6014747682800419
44,0.4,0.01,0.7131191592109862
45,0.4,0.1,0.8139767597427322
46,0.4,0.2,1.0293888698479778
47,0.4,0.3,1.4822840252520053
48,0.4,0.4,1.8960569293046232
49,0.4,0.5,3.467389762978861
50,0.4,0.6,7.718210507098691
51,0.4,0.7,4.141168606617246
52,0.4,0.8,2.14855408525656
53,0.4,0.9,1.538018367443244
54,0.4,0.99,1.2687458762364372
55,0.5,0.01,0.9795211117065611
56,0.5,0.1,0.9440507837473853
57,0.5,0.2,1.3405591076399626
58,0.5,0.3,2.0582075979173236
59,0.5,0.4,3.615848970036816
60,0.5,0.5,7.577060894306991
61,0.5,0.6,4.2542014858223105
62,0.5,0.7,2.357086203330046
63,0.5,0.8,1.5356761908632426
64,0.5,0.9,1.11085403999796
65,0.5,0.99,0.9615218004611853
66,0.6,0.01,1.1301888064412964
67,0.6,0.1,1.4457970502058404
68,0.6,0.2,2.0574437738935596
69,0.6,0.3,3.6127887650379122
70,0.6,0.4,7.214609085034445
71,0.6,0.5,3.9405422538674117
72,0.6,0.6,2.248966201299831
73,0.6,0.7,1.3435985981486036
74,0.6,0.8,1.0700189563765554
75,0.6,0.9,0.7900776721843755
76,0.6,0.99,0.7185730376001951
77,0.7,0.01,1.4955237290504209
78,0.7,0.1,2.0224765284566426
79,0.7,0.2,3.220565905420581
80,0.7,0.3,6.889232031430157
81,0.7,0.4,3.697471187206532
82,0.7,0.5,1.9787810283992484
83,0.7,0.6,1.303929009522105
84,0.7,0.7,0.8345612312689367
85,0.7,0.8,0.6167234856245961
86,0.7,0.9,0.5606647611280796
87,0.7,0.99,0.44351990704070643
88,0.8,0.01,1.8912244608808009
89,0.8,0.1,3.0642242806042925
90,0.8,0.2,6.182437455953121
91,0.8,0.3,3.2780258550862094
92,0.8,0.4,1.5882126296343155
93,0.8,0.5,0.9682425202274515
94,0.8,0.6,0.6899399234633109
95,0.8,0.7,0.5539233488746699
96,0.8,0.8,0.2576507150365429
97,0.8,0.9,0.25290985876533206
98,0.8,0.99,0.13371499305202125
99,0.9,0.01,2.688337789403242
100,0.9,0.1,4.940131840802088
101,0.9,0.2,2.3174115590091064
102,0.9,0.3,1.1396394740030085
103,0.9,0.4,0.5424274721200287
104,0.9,0.5,0.38745192262065853
105,0.9,0.6,0.1739563592788035
106,0.9,0.7,0.05535090034474348
107,0.9,0.8,-0.005367425602434896
108,0.9,0.9,-0.06929824391097393
109,0.9,0.99,-0.14900705974211592
110,0.99,0.01,2.3246948374471073
111,0.99,0.1,0.06671685756872615
112,0.99,0.2,-0.4803457241170675
113,0.99,0.3,-0.7316301816892561
114,0.99,0.4,-0.7151510103999927
115,0.99,0.5,-0.9877220657901769
116,0.99,0.6,-0.8051334297557401
117,0.99,0.7,-0.9087813624197429
118,0.99,0.8,-0.9142732207070785
119,0.99,0.9,-0.9836437395041955
120,0.99,0.99,-0.8451558663572062
