,P,cost,value
0,0.01,0.01,-1.6685945812876133
1,0.01,0.1,-1.6805713830607252
2,0.01,0.2,-1.6304505689374906
3,0.01,0.3,-1.6097781882665883
4,0.01,0.4,-1.5863807535501004
5,0.01,0.5,-1.5082702118839557
6,0.01,0.6,-1.611880005911039
7,0.01,0.7,-1.4110086515680385
8,0.01,0.8,-1.3219986700162554
9,0.01,0.9,-0.7894786463720999
10,0.01,0.99,7.778577804049062
11,0.1,0.01,-0.1563500112143629
12,0.1,0.1,-0.2694722937010212
13,0.1,0.2,0.01979690632421474
14,0.1,0.3,-0.1467228328111292
15,0.1,0.4,-0.1575103433113209
16,0.1,0.5,0.1047514358406472
17,0.1,0.6,0.5614985803186632
18,0.1,0.7,0.7187825042761736
19,0.1,0.8,1.8002282873902624
20,0.1,0.9,7.529343844661053
21,0.1,0.99,3.037563700551151
22,0.2,0.01,0.24406988139728514
23,0.2,0.1,0.29721550005795916
24,0.2,0.2,0.2854029450093576
25,0.2,0.3,0.5211982649924769
26,0.2,0.4,0.6024390506472243
27,0.2,0.5,0.8974905670110074
28,0.2,0.6,1.4057120361675854
29,0.2,0.7,2.9017371569937085
30,0.2,0.8,7.430372613702726
31,0.2,0.9,3.3515898648854554
32,0.2,0.99,1.8758437768467013
33,0.3,0.01,0.5541939327761947
34,0.3,0.1,0.6017064519035799
35,0.3,0.2,0.7608419969868607
36,0.3,0.3,1.0177030585838287
37,0.3,0.4,1.0846262609313193
38,0.3,0.5,1.763494048158146
39,0.3,0.6,3.4425173831874933
40,0.3,0.7,7.234819834282784
41,0.3,0.8,3.611792115437571
42,0.3,0.9,1.8036664842394654
43,0.3,0.99,1.3218277698817749
44,0.4,0.01,0.775134073842946
45,0.4,0.1,0.9360971426179397
46,0.4,0.2,1.046542248067991
47,0.4,0.3,1.4694485406496438
48,0.4,0.4,1.9900491741300268
49,0.4,0.5,3.286998400571078
50,0.4,0.6,7.202584821974964
51,0.4,0.7,3.6124152427943397
52,0.4,0.8,1.8586556440596
53,0.4,0.9,1.150305006210656
54,0.4,0.99,1.1140189557618805
55,0.5,0.01,1.1488222030144106
56,0.5,0.1,1.085608919222272
57,0.5,0.2,1.4094784983413475
58,0.5,0.3,2.1133575802325124
59,0.5,0.4,3.6006316888931567
60,0.5,0.5,7.061830913480755
61,0.5,0.6,3.641506678478399
62,0.5,0.7,1.986301250022382
63,0.5,0.8,1.2110499557077645
64,0.5,0.9,0.7571125451894682
65,0.5,0.99,0.596340967525656
66,0.6,0.01,1.2361460815487144
67,0.6,0.1,1.4859965670708872
68,0.6,0.2,2.045015831212857
69,0.6,0.3,3.522728457980082
70,0.6,0.4,6.693823466666489
71,0.6,0.5,3.44877851859142
72,0.6,0.6,1.8171947942576825
73,0.6,0.7,1.0185074795328017
74,0.6,0.8,0.7327755131854968
75,0.6,0.9,0.5341004841833392
76,0.6,0.99,0.5119284932464132
77,0.7,0.01,1.5520765991709051
78,0.7,0.1,2.0760073266932286
79,0.7,0.2,3.2089313107186044
80,0.7,0.3,6.3975432983788485
81,0.7,0.4,3.2359909607735093
82,0.7,0.5,1.6477741682167377
83,0.7,0.6,1.0594469592007676
84,0.7,0.7,0.4693306777647728
85,0.7,0.8,0.27354742821164507
86,0.7,0.9,0.26998811469448236
87,0.7,0.99,0.11274962408360638
88,0.8,0.01,1.99466405683999
89,0.8,0.1,3.048711910242843
90,0.8,0.2,5.735895972400201
91,0.8,0.3,2.7985179075748823
92,0.8,0.4,1.1893153170907922
93,0.8,0.5,0.4983060307324557
94,0.8,0.6,0.24217336002940054
95,0.8,0.7,0.09893486294575399
96,0.8,0.8,-0.005421968520285824
97,0.8,0.9,-0.06266016515678323
98,0.8,0.99,-0.16821405992942243
99,0.9,0.01,2.714740774843873
100,0.9,0.1,4.6703698796967235
101,0.9,0.2,1.773836223042291
102,0.9,0.3,0.6252629301094452
103,0.9,0.4,0.004398144966122072
104,0.9,0.5,0.006231678545500623
105,0.9,0.6,-0.3085601582341988
106,0.9,0.7,-0.40317956812752964
107,0.9,0.8,-0.540007120873537
108,0.9,0.9,-0.4892248803919158
109,0.9,0.99,-0.5204416679454641
110,0.99,0.01,2.837830645896247
111,0.99,0.1,-1.392142330474896
112,0.99,0.2,-2.193221534014284
113,0.99,0.3,-2.439422022844645
114,0.99,0.4,-2.3749966781731393
115,0.99,0.5,-2.661879190858476
116,0.99,0.6,-2.6388807554210643
117,0.99,0.7,-2.653841923367483
118,0.99,0.8,-2.681515601843651
119,0.99,0.9,-2.735764628090376
120,0.99,0.99,-2.529637517105623
