,P,cost,value
0,0.01,0.01,-2.3098928374114163
1,0.01,0.1,-2.239048264126336
2,0.01,0.2,-2.2737873519411895
3,0.01,0.3,-2.183124437744122
4,0.01,0.4,-2.1367342373180467
5,0.01,0.5,-2.2989663652196946
6,0.01,0.6,-2.1846358389037106
7,0.01,0.7,-2.121215781253419
8,0.01,0.8,-1.8676620550290013
9,0.01,0.9,-1.4437879806655642
10,0.01,0.99,7.19758647647673
11,0.1,0.01,0.6424352496802224
12,0.1,0.1,0.6600950640069694
13,0.1,0.2,0.7553363666526165
14,0.1,0.3,0.7635232717484706
15,0.1,0.4,0.8049394249597414
16,0.1,0.5,0.8594117871895253
17,0.1,0.6,1.0301849625510127
18,0.1,0.7,1.327381837293011
19,0.1,0.8,2.088796547183311
20,0.1,0.9,5.628048380843854
21,0.1,0.99,1.5408189713747114
22,0.2,0.01,0.5335656289669464
23,0.2,0.1,0.5209096360602707
24,0.2,0.2,0.5389539191171924
25,0.2,0.3,0.6151717733568333
26,0.2,0.4,0.7691615908776175
27,0.2,0.5,0.932927260233148
28,0.2,0.6,1.2055575284147422
29,0.2,0.7,2.07893015653664
30,0.2,0.8,4.282752562389819
31,0.2,0.9,1.6612047681822808
32,0.2,0.99,0.7444074974397769
33,0.3,0.01,0.4030441466611058
34,0.3,0.1,0.4388211974516623
35,0.3,0.2,0.4661097638794214
36,0.3,0.3,0.5940976691816138
37,0.3,0.4,0.7271819661004684
38,0.3,0.5,1.0032030650059587
39,0.3,0.6,1.8437942447375417
40,0.3,0.7,3.521897334542634
41,0.3,0.8,1.6889556052530823
42,0.3,0.9,0.7988826627458835
43,0.3,0.99,0.5518253076262778
44,0.4,0.01,0.3530432192470692
45,0.4,0.1,0.4292977002555426
46,0.4,0.2,0.5159125468581034
47,0.4,0.3,0.698637975114862
48,0.4,0.4,0.915845427703333
49,0.4,0.5,1.5934867400018373
50,0.4,0.6,3.136109961241251
51,0.4,0.7,1.6945883716977497
52,0.4,0.8,0.8742111542070825
53,0.4,0.9,0.5712116964470713
54,0.4,0.99,0.4391697013168523
55,0.5,0.01,0.39027326069998974
56,0.5,0.1,0.42435282080491793
57,0.5,0.2,0.5792526928580283
58,0.5,0.3,0.8743473111144251
59,0.5,0.4,1.52741843919187
60,0.5,0.5,3.0092240047274244
61,0.5,0.6,1.7250976296679013
62,0.5,0.7,0.9439798020926973
63,0.5,0.8,0.6243181067440636
64,0.5,0.9,0.4607683736223962
65,0.5,0.99,0.4079067057543332
66,0.6,0.01,0.4237436502175692
67,0.6,0.1,0.5265238452575195
68,0.6,0.2,0.8030864384592471
69,0.6,0.3,1.4663976837007673
70,0.6,0.4,2.8112035783059817
71,0.6,0.5,1.7146056394859253
72,0.6,0.6,1.0288384853100332
73,0.6,0.7,0.6769967603457007
74,0.6,0.8,0.5447283341597954
75,0.6,0.9,0.4295492438628223
76,0.6,0.99,0.38537391422293427
77,0.7,0.01,0.5065220328283557
78,0.7,0.1,0.7544666540506811
79,0.7,0.2,1.347852679943228
80,0.7,0.3,3.058815318331216
81,0.7,0.4,1.8701820888841358
82,0.7,0.5,1.1287045137749343
83,0.7,0.6,0.8012535266050129
84,0.7,0.7,0.5934647323478046
85,0.7,0.8,0.5199779353361514
86,0.7,0.9,0.44300084265326245
87,0.7,0.99,0.4110724442535302
88,0.8,0.01,0.6484674913334304
89,0.8,0.1,1.2932415002339823
90,0.8,0.2,3.148914690197388
91,0.8,0.3,2.1464084295524346
92,0.8,0.4,1.2250319233133615
93,0.8,0.5,0.9454183992531675
94,0.8,0.6,0.7507710341011671
95,0.8,0.7,0.6835406385878104
96,0.8,0.8,0.5536768995093384
97,0.8,0.9,0.5433390305877782
98,0.8,0.99,0.48722646797840025
99,0.9,0.01,1.1724335888700301
100,0.9,0.1,3.1901933190699245
101,0.9,0.2,2.3214327258980494
102,0.9,0.3,1.5275589369543159
103,0.9,0.4,1.04697998496136
104,0.9,0.5,1.0615660085867091
105,0.9,0.6,0.839637103534413
106,0.9,0.7,0.7571470313113722
107,0.9,0.8,0.6952722105167322
108,0.9,0.9,0.6943296190572028
109,0.9,0.99,0.6683044569635793
110,0.99,0.01,2.63665321311853
111,0.99,0.1,-1.0427913694078217
112,0.99,0.2,-1.7971179845034349
113,0.99,0.3,-2.045086122578605
114,0.99,0.4,-1.972842135835863
115,0.99,0.5,-2.2544100258506097
116,0.99,0.6,-2.2266186003799335
117,0.99,0.7,-2.243767691133626
118,0.99,0.8,-2.262466452675392
119,0.99,0.9,-2.3251865029457566
120,0.99,0.99,-2.1215885192834834
