,P,cost,value
0,0.01,0.01,-0.6815879813267502
1,0.01,0.1,-0.6424036196349916
2,0.01,0.2,-0.6531896379330808
3,0.01,0.3,-0.5798426917072359
4,0.01,0.4,-0.5459293232172723
5,0.01,0.5,-0.580705489159578
6,0.01,0.6,-0.5971658985386065
7,0.01,0.7,-0.43731467407889957
8,0.01,0.8,-0.2541659494364089
9,0.01,0.9,0.2669362789237769
10,0.01,0.99,8.399106288932805
11,0.1,0.01,0.06579909475232429
12,0.1,0.1,0.04214290361011278
13,0.1,0.2,0.22642596793318953
14,0.1,0.3,0.1789663086034221
15,0.1,0.4,0.2330219535836469
16,0.1,0.5,0.3939713836060881
17,0.1,0.6,0.7357092680557747
18,0.1,0.7,1.0906122480411666
19,0.1,0.8,2.273012042637212
20,0.1,0.9,8.309067970265874
21,0.1,0.99,3.1041244155576893
22,0.2,0.01,0.3426909730772157
23,0.2,0.1,0.33403248538440333
24,0.2,0.2,0.390381562786637
25,0.2,0.3,0.5719023070515263
26,0.2,0.4,0.7974336301577452
27,0.2,0.5,1.0871137430187168
28,0.2,0.6,1.6253310742376925
29,0.2,0.7,3.2516470563862807
30,0.2,0.8,8.201218722218083
31,0.2,0.9,3.6460300453888053
32,0.2,0.99,1.9958338180092046
33,0.3,0.01,0.5299114376872031
34,0.3,0.1,0.5861278708808557
35,0.3,0.2,0.7263132453625999
36,0.3,0.3,0.9503751257096433
37,0.3,0.4,1.205178677023414
38,0.3,0.5,1.8857433025928443
39,0.3,0.6,3.726335184451879
40,0.3,0.7,7.97480866444305
41,0.3,0.8,4.03344577353937
42,0.3,0.9,2.071129820570773
43,0.3,0.99,1.5720045260267057
44,0.4,0.01,0.724635745169544
45,0.4,0.1,0.8698336438803839
46,0.4,0.2,1.0758406925558204
47,0.4,0.3,1.539274029597151
48,0.4,0.4,1.9718712320243155
49,0.4,0.5,3.600854754765121
50,0.4,0.6,7.901473454150485
51,0.4,0.7,4.234279032195415
52,0.4,0.8,2.2085895134361424
53,0.4,0.9,1.5392610345507736
54,0.4,0.99,1.247927813166156
55,0.5,0.01,0.981601163562364
56,0.5,0.1,0.9966935304859302
57,0.5,0.2,1.3768206376435765
58,0.5,0.3,2.1308319540912706
59,0.5,0.4,3.773036294906458
60,0.5,0.5,7.724684398538722
61,0.5,0.6,4.331664312651004
62,0.5,0.7,2.4079721634359648
63,0.5,0.8,1.5618829303888682
64,0.5,0.9,1.1431574303991334
65,0.5,0.99,0.9929947490277833
66,0.6,0.01,1.1502469207719004
67,0.6,0.1,1.4232225935304275
68,0.6,0.2,2.1020908931466638
69,0.6,0.3,3.686267754555041
70,0.6,0.4,7.34123844173344
71,0.6,0.5,4.062451993947379
72,0.6,0.6,2.312122532954083
73,0.6,0.7,1.4018416230522779
74,0.6,0.8,1.1398331143153344
75,0.6,0.9,0.8535206088429386
76,0.6,0.99,0.7454403382521041
77,0.7,0.01,1.4350930143447598
78,0.7,0.1,2.018974807464298
79,0.7,0.2,3.253659082334429
80,0.7,0.3,6.9801221998949075
81,0.7,0.4,3.8551852344838498
82,0.7,0.5,2.1433789212761716
83,0.7,0.6,1.3794523089426958
84,0.7,0.7,0.9524636084304028
85,0.7,0.8,0.7188310002388165
86,0.7,0.9,0.6471897888239048
87,0.7,0.99,0.5453801314142546
88,0.8,0.01,1.8222860859551115
89,0.8,0.1,3.001092260702162
90,0.8,0.2,6.2479307541760845
91,0.8,0.3,3.4598199499910187
92,0.8,0.4,1.7434240993429084
93,0.8,0.5,1.1520607253890514
94,0.8,0.6,0.8312264271037167
95,0.8,0.7,0.6770081342402844
96,0.8,0.8,0.39139415434559466
97,0.8,0.9,0.3860201649258454
98,0.8,0.99,0.2696530766083157
99,0.9,0.01,2.5940203176916055
100,0.9,0.1,4.924195640620724
101,0.9,0.2,2.543813036475534
102,0.9,0.3,1.3220585425317353
103,0.9,0.4,0.7403137677015825
104,0.9,0.5,0.5607633905599216
105,0.9,0.6,0.3744102647248233
106,0.9,0.7,0.24988496729381116
107,0.9,0.8,0.1878942217603422
108,0.9,0.9,0.14220469458060653
109,0.9,0.99,0.08377122743833675
110,0.99,0.01,2.206362312932348
111,0.99,0.1,0.3486398007188151
112,0.99,0.2,-0.183710308178016
113,0.99,0.3,-0.427362787897023
114,0.99,0.4,-0.430094406251068
115,0.99,0.5,-0.6712234034444331
116,0.99,0.6,-0.49728340339508625
117,0.99,0.7,-0.620563332303641
118,0.99,0.8,-0.5907462532652532
119,0.99,0.9,-0.6827859154082332
120,0.99,0.99,-0.562047559731692
