,P,cost,value
0,0.01,0.01,9.999551499926113
1,0.01,0.1,9.999671937342987
2,0.01,0.2,9.999537756760752
3,0.01,0.3,9.999496231712723
4,0.01,0.4,9.999363676666176
5,0.01,0.5,9.999142774029218
6,0.01,0.6,9.998696465664892
7,0.01,0.7,9.99814437712428
8,0.01,0.8,9.995617085460486
9,0.01,0.9,9.98444230644314
10,0.01,0.99,8.40150598492685
11,0.1,0.01,9.997720703413627
12,0.1,0.1,9.997505171967218
13,0.1,0.2,9.996838989385967
14,0.1,0.3,9.99575609382751
15,0.1,0.4,9.994180771953769
16,0.1,0.5,9.9917672657743
17,0.1,0.6,9.985751704709202
18,0.1,0.7,9.96947839603424
19,0.1,0.8,9.887035646269256
20,0.1,0.9,8.29944410839818
21,0.1,0.99,9.871245750625901
22,0.2,0.01,9.995004581055122
23,0.2,0.1,9.994211316607524
24,0.2,0.2,9.992553051232193
25,0.2,0.3,9.989522591701206
26,0.2,0.4,9.98414584859657
27,0.2,0.5,9.973321562692332
28,0.2,0.6,9.943198804318655
29,0.2,0.7,9.800448527722283
30,0.2,0.8,8.173426264871166
31,0.2,0.9,9.799627157591079
32,0.2,0.99,9.936251219151767
33,0.3,0.01,9.991201418649329
34,0.3,0.1,9.989039035403726
35,0.3,0.2,9.985317099047325
36,0.3,0.3,9.977613496762682
37,0.3,0.4,9.961512272927228
38,0.3,0.5,9.921202130642962
39,0.3,0.6,9.735383185882535
40,0.3,0.7,7.984003476751893
41,0.3,0.8,9.683698225198876
42,0.3,0.9,9.911868450759316
43,0.3,0.99,9.957618146889315
44,0.4,0.01,9.98535525343579
45,0.4,0.1,9.980584815938139
46,0.4,0.2,9.97123300376632
47,0.4,0.3,9.950164707634318
48,0.4,0.4,9.89942630952029
49,0.4,0.5,9.676623675800913
50,0.4,0.6,7.9364080954798375
51,0.4,0.7,9.597614458586182
52,0.4,0.8,9.887081066777554
53,0.4,0.9,9.94674522634945
54,0.4,0.99,9.967063839219744
55,0.5,0.01,9.975045662775234
56,0.5,0.1,9.964318212940814
57,0.5,0.2,9.940264846032848
58,0.5,0.3,9.874273361688301
59,0.5,0.4,9.596118841839974
60,0.5,0.5,7.72666380361756
61,0.5,0.6,9.475806505436218
62,0.5,0.7,9.854612676723558
63,0.5,0.8,9.932494279034456
64,0.5,0.9,9.962654472840592
65,0.5,0.99,9.974255800206885
66,0.6,0.01,9.955860942810698
67,0.6,0.1,9.931705646519886
68,0.6,0.2,9.858572230965951
69,0.6,0.3,9.542572712268386
70,0.6,0.4,7.32822173036647
71,0.6,0.5,9.411541482866246
72,0.6,0.6,9.832727877807649
73,0.6,0.7,9.920424820631485
74,0.6,0.8,9.954597611582452
75,0.6,0.9,9.970881898485276
76,0.6,0.99,9.978316388355255
77,0.7,0.01,9.912906605585931
78,0.7,0.1,9.836633743392076
79,0.7,0.2,9.499132709684066
80,0.7,0.3,6.979813149769743
81,0.7,0.4,9.268678468947362
82,0.7,0.5,9.797442149072936
83,0.7,0.6,9.906981914935303
84,0.7,0.7,9.94830214789642
85,0.7,0.8,9.96639052527174
86,0.7,0.9,9.97653414470436
87,0.7,0.99,9.98169572927442
88,0.8,0.01,9.795500369439932
89,0.8,0.1,9.444559438821539
90,0.8,0.2,6.250172225433293
91,0.8,0.3,9.1416952662603
92,0.8,0.4,9.767336596017229
93,0.8,0.5,9.89566438785944
94,0.8,0.6,9.940730952569742
95,0.8,0.7,9.961517735623966
96,0.8,0.8,9.973212483434375
97,0.8,0.9,9.980273779350085
98,0.8,0.99,9.984029407418353
99,0.9,0.01,9.237038598428903
100,0.9,0.1,4.923942018532347
101,0.9,0.2,8.979488436211337
102,0.9,0.3,9.732098177747556
103,0.9,0.4,9.88108087715431
104,0.9,0.5,9.933471180860646
105,0.9,0.6,9.957321146349141
106,0.9,0.7,9.969901344487846
107,0.9,0.8,9.977706197303396
108,0.9,0.9,9.983213276023111
109,0.9,0.99,9.986327323777154
110,0.99,0.01,2.204787803681264
111,0.99,0.1,8.525522973768258
112,0.99,0.2,9.673882930439659
113,0.99,0.3,9.86203723954485
114,0.99,0.4,9.925270730379058
115,0.99,0.5,9.952996854841182
116,0.99,0.6,9.967190778779369
117,0.99,0.7,9.976293187527709
118,0.99,0.8,9.982229496083937
119,0.99,0.9,9.986065908083345
120,0.99,0.99,9.988612088074479
