,P,cost,value
0,0.01,0.01,9.998810947298589
1,0.01,0.1,9.920695987936458
2,0.01,0.2,9.512299985222402
3,0.01,0.3,8.218656716417911
4,0.01,0.4,4.7912630958859905
5,0.01,0.5,-0.580705489159578
6,0.01,0.6,-3.4512648145411564
7,0.01,0.7,-4.1609756169646825
8,0.01,0.8,-3.9834722920053194
9,0.01,0.9,-3.4613941185163295
10,0.01,0.99,7.344935274124427
11,0.1,0.01,9.997717895670164
12,0.1,0.1,9.988161040266375
13,0.1,0.2,9.941806070355332
14,0.1,0.3,9.7333490012392
15,0.1,0.4,8.584454625248256
16,0.1,0.5,0.3939713836060881
17,0.1,0.6,-6.652819664602271
18,0.1,0.7,-8.025276598997742
19,0.1,0.8,-7.823930209665299
20,0.1,0.9,2.1681707278298643
21,0.1,0.99,9.871248263632333
22,0.2,0.01,9.995004581055122
23,0.2,0.1,9.990764660911488
24,0.2,0.2,9.967504450331921
25,0.2,0.3,9.862774567594164
26,0.2,0.4,9.201454551494933
27,0.2,0.5,1.0871137430187168
28,0.2,0.6,-7.023042807303423
29,0.2,0.7,-7.288884277243368
30,0.2,0.8,1.0013991533956648
31,0.2,0.9,9.68515132930026
32,0.2,0.99,9.936251219151767
33,0.3,0.01,9.991201418649329
34,0.3,0.1,9.987343726910003
35,0.3,0.2,9.9724595198621
36,0.3,0.3,9.911291297997755
37,0.3,0.4,9.464898490178587
38,0.3,0.5,1.8857433025928443
39,0.3,0.6,-5.765766908321881
40,0.3,0.7,1.0527304843958143
41,0.3,0.8,9.442628221757086
42,0.3,0.9,9.898464414100836
43,0.3,0.99,9.957618146889315
44,0.4,0.01,9.98535525343579
45,0.4,0.1,9.97994516370566
46,0.4,0.2,9.966664601326048
47,0.4,0.3,9.923492114199426
48,0.4,0.4,9.63710223118332
49,0.4,0.5,3.600854754765121
50,0.4,0.6,2.1246665446802866
51,0.4,0.7,9.397826062847209
52,0.4,0.8,9.871790885242474
53,0.4,0.9,9.945423289965271
54,0.4,0.99,9.967063839219744
55,0.5,0.01,9.975045662775234
56,0.5,0.1,9.964330080263997
57,0.5,0.2,9.94022802821457
58,0.5,0.3,9.874361179922643
59,0.5,0.4,9.596006769451893
60,0.5,0.5,7.724684398538722
61,0.5,0.6,9.475902998067438
62,0.5,0.7,9.854592354610638
63,0.5,0.8,9.932451624345038
64,0.5,0.9,9.962665990427684
65,0.5,0.99,9.974255800206885
66,0.6,0.01,9.955860942810698
67,0.6,0.1,9.932453027096022
68,0.6,0.2,9.85339438142579
69,0.6,0.3,9.444729587693544
70,0.6,0.4,4.96488788199315
71,0.6,0.5,4.062451993947379
72,0.6,0.6,9.605214079783389
73,0.6,0.7,9.89940682347571
74,0.6,0.8,9.95101378163264
75,0.6,0.9,9.97049400818382
76,0.6,0.99,9.978316388355255
77,0.7,0.01,9.912906605585931
78,0.7,0.1,9.830216950899663
79,0.7,0.2,9.404168566317455
80,0.7,0.3,4.118487058417034
81,0.7,0.4,-5.27706903076905
82,0.7,0.5,2.1433789212761716
83,0.7,0.6,9.426564103401653
84,0.7,0.7,9.886468892020346
85,0.7,0.8,9.955417273588221
86,0.7,0.9,9.974948869513817
87,0.7,0.99,9.98169572927442
88,0.8,0.01,9.795500369439932
89,0.8,0.1,9.405615167785816
90,0.8,0.2,4.116940128986859
91,0.8,0.3,-6.5015804641981
92,0.8,0.4,-6.825814049489704
93,0.8,0.5,1.1520607253890514
94,0.8,0.6,9.174636964884353
95,0.8,0.7,9.844517002071877
96,0.8,0.8,9.951813052039322
97,0.8,0.9,9.97724581139745
98,0.8,0.99,9.984029407418353
99,0.9,0.01,9.237035022905275
100,0.9,0.1,4.760810275419461
101,0.9,0.2,-6.834291655154706
102,0.9,0.3,-7.718606175826029
103,0.9,0.4,-6.516593193038939
104,0.9,0.5,0.5607633905599216
105,0.9,0.6,8.548218686815476
106,0.9,0.7,9.714486037905033
107,0.9,0.8,9.92700994405961
108,0.9,0.9,9.976218423946753
109,0.9,0.99,9.986325993586961
110,0.99,0.01,3.4320022166395745
111,0.99,0.1,-2.8707585340623614
112,0.99,0.2,-3.8084876607063682
113,0.99,0.3,-4.098572779666025
114,0.99,0.4,-3.2842364415546026
115,0.99,0.5,-0.6712234034444331
116,0.99,0.6,4.79467830692379
117,0.99,0.7,8.178583271760015
118,0.99,0.8,9.505951233929363
119,0.99,0.9,9.91030967869045
120,0.99,0.99,9.988146225441362
