,P,cost,value
0,0.01,0.01,-0.6820904331076799
1,0.01,0.1,-0.6436211446684696
2,0.01,0.2,-0.6532046856196052
3,0.01,0.3,-0.5800785396612758
4,0.01,0.4,-0.5473056157547576
5,0.01,0.5,-0.5812743206778834
6,0.01,0.6,-0.5974731250582408
7,0.01,0.7,-0.4365665333864211
8,0.01,0.8,-0.25479102459787606
9,0.01,0.9,0.26560474907548765
10,0.01,0.99,8.39942795456876
11,0.1,0.01,0.06685868434877004
12,0.1,0.1,0.04852808424300492
13,0.1,0.2,0.22932780670731515
14,0.1,0.3,0.18433647697509675
15,0.1,0.4,0.23586642563302734
16,0.1,0.5,0.3967260273983748
17,0.1,0.6,0.7406702396674146
18,0.1,0.7,1.0948149165431378
19,0.1,0.8,2.2786876441108053
20,0.1,0.9,8.307576078465434
21,0.1,0.99,3.0974067803101284
22,0.2,0.01,0.3489866762768985
23,0.2,0.1,0.33957344426164104
24,0.2,0.2,0.39438960653699473
25,0.2,0.3,0.574610434145578
26,0.2,0.4,0.8029588943410221
27,0.2,0.5,1.0904950595467207
28,0.2,0.6,1.6245693650003785
29,0.2,0.7,3.252551091882445
30,0.2,0.8,8.201033774434647
31,0.2,0.9,3.6388197813067706
32,0.2,0.99,1.9905866838525157
33,0.3,0.01,0.5288354452820968
34,0.3,0.1,0.5864384683107089
35,0.3,0.2,0.723825508685343
36,0.3,0.3,0.9501031156781456
37,0.3,0.4,1.205527674299907
38,0.3,0.5,1.8857953342895932
39,0.3,0.6,3.724904755175822
40,0.3,0.7,7.974407124999154
41,0.3,0.8,4.031937864257254
42,0.3,0.9,2.072999874806066
43,0.3,0.99,1.5725151820921672
44,0.4,0.01,0.7220527432897449
45,0.4,0.1,0.8686739292105341
46,0.4,0.2,1.0713381218672424
47,0.4,0.3,1.5399797447826924
48,0.4,0.4,1.9717198088526207
49,0.4,0.5,3.597783017091472
50,0.4,0.6,7.899391504898944
51,0.4,0.7,4.233585744630172
52,0.4,0.8,2.2036068766313797
53,0.4,0.9,1.542160610090085
54,0.4,0.99,1.2481832978878518
55,0.5,0.01,0.983599608813779
56,0.5,0.1,0.9984526545111106
57,0.5,0.2,1.3734990940817047
58,0.5,0.3,2.1258704337597085
59,0.5,0.4,3.7695237121427914
60,0.5,0.5,7.7172115056216875
61,0.5,0.6,4.321447046612046
62,0.5,0.7,2.3983921488010553
63,0.5,0.8,1.5606383358602014
64,0.5,0.9,1.1425325444744199
65,0.5,0.99,0.9944125701459468
66,0.6,0.01,1.1517212924437346
67,0.6,0.1,1.4229041651740926
68,0.6,0.2,2.0991232856528903
69,0.6,0.3,3.6822324074220143
70,0.6,0.4,7.3393149239353805
71,0.6,0.5,4.062622296672603
72,0.6,0.6,2.311784707859573
73,0.6,0.7,1.4020681293715702
74,0.6,0.8,1.139004023380997
75,0.6,0.9,0.8540833526888685
76,0.6,0.99,0.7471980145593933
77,0.7,0.01,1.436847287746533
78,0.7,0.1,2.019282866548878
79,0.7,0.2,3.25470647567357
80,0.7,0.3,6.979062038869462
81,0.7,0.4,3.857150695330605
82,0.7,0.5,2.1424316397802894
83,0.7,0.6,1.3770539306848975
84,0.7,0.7,0.9522900890213699
85,0.7,0.8,0.7180294507607743
86,0.7,0.9,0.6463369908335136
87,0.7,0.99,0.5439984656056313
88,0.8,0.01,1.815141922271536
89,0.8,0.1,2.995866281263857
90,0.8,0.2,6.248303269946305
91,0.8,0.3,3.4612273916284586
92,0.8,0.4,1.7491419165037554
93,0.8,0.5,1.1532670120799582
94,0.8,0.6,0.8370018114305765
95,0.8,0.7,0.6822289482761283
96,0.8,0.8,0.39309824625489964
97,0.8,0.9,0.3930155062560643
98,0.8,0.99,0.27970993695465995
99,0.9,0.01,2.5860664415621932
100,0.9,0.1,4.922306342629473
101,0.9,0.2,2.5479445381390904
102,0.9,0.3,1.327477030801142
103,0.9,0.4,0.7440008285369847
104,0.9,0.5,0.5648303904314133
105,0.9,0.6,0.3784318078351536
106,0.9,0.7,0.2546984993784534
107,0.9,0.8,0.1918809754226411
108,0.9,0.9,0.14371582614622766
109,0.9,0.99,0.08764520232318984
110,0.99,0.01,2.206109669368969
111,0.99,0.1,0.34824788083852254
112,0.99,0.2,-0.18405727912069414
113,0.99,0.3,-0.42711983794501557
114,0.99,0.4,-0.43149359436626833
115,0.99,0.5,-0.6710960852071141
116,0.99,0.6,-0.4979174601560139
117,0.99,0.7,-0.6217381162165351
118,0.99,0.8,-0.5916092149577341
119,0.99,0.9,-0.6835061696241465
120,0.99,0.99,-0.5636505084312783
