,P,cost,value
0,0.01,0.01,9.998933519268656
1,0.01,0.1,9.999179275036855
2,0.01,0.2,9.99920982878924
3,0.01,0.3,9.999381769392533
4,0.01,0.4,9.999370168369909
5,0.01,0.5,9.999142774029218
6,0.01,0.6,9.998540316323341
7,0.01,0.7,9.997315340246129
8,0.01,0.8,9.990958227438284
9,0.01,0.9,9.942250864027887
10,0.01,0.99,0.7808180258014215
11,0.1,0.01,9.987818235078985
12,0.1,0.1,9.988577722635899
13,0.1,0.2,9.990647353964121
14,0.1,0.3,9.991968144861813
15,0.1,0.4,9.99314995368639
16,0.1,0.5,9.9917672657743
17,0.1,0.6,9.983177027776213
18,0.1,0.7,9.94430148635592
19,0.1,0.8,9.687512128684329
20,0.1,0.9,1.1447732349168627
21,0.1,0.99,-9.13558073973633
22,0.2,0.01,9.959438026007392
23,0.2,0.1,9.963826367413622
24,0.2,0.2,9.967382940796472
25,0.2,0.3,9.973070297157928
26,0.2,0.4,9.978306071014686
27,0.2,0.5,9.973321562692332
28,0.2,0.6,9.925902756562449
29,0.2,0.7,9.518046966773635
30,0.2,0.8,2.2060163728409137
31,0.2,0.9,-8.57848667950437
32,0.2,0.99,-9.400726062664988
33,0.3,0.01,9.862569141876614
34,0.3,0.1,9.87491915854147
35,0.3,0.2,9.888348839821797
36,0.3,0.3,9.911827174562104
37,0.3,0.4,9.930585581617425
38,0.3,0.5,9.921202130642962
39,0.3,0.6,9.564943998397311
40,0.3,0.7,3.0278505724210056
41,0.3,0.8,-7.6433146844568425
42,0.3,0.9,-8.947018912364447
43,0.3,0.99,-9.254563458520892
44,0.4,0.01,9.308633417487162
45,0.4,0.1,9.36064740184152
46,0.4,0.2,9.42321114729505
47,0.4,0.3,9.529876598198584
48,0.4,0.4,9.640140463927418
49,0.4,0.5,9.676623675800913
50,0.4,0.6,4.859003179672719
51,0.4,0.7,-5.852126901878986
52,0.4,0.8,-7.677851546051961
53,0.4,0.9,-8.172023327280748
54,0.4,0.99,-8.407190564467719
55,0.5,0.01,0.9829401042171741
56,0.5,0.1,0.9974929199031396
57,0.5,0.2,1.3765157563987076
58,0.5,0.3,2.1315401935643323
59,0.5,0.4,3.7734438091841147
60,0.5,0.5,7.72666380361756
61,0.5,0.6,4.331895729227634
62,0.5,0.7,2.409158511621378
63,0.5,0.8,1.5613827771172386
64,0.5,0.9,1.144692192281385
65,0.5,0.99,0.9919621507275009
66,0.6,0.01,-8.414776615852372
67,0.6,0.1,-8.215973900743144
68,0.6,0.2,-7.730793884180401
69,0.6,0.3,-6.291898623477444
70,0.6,0.4,1.5095011380347
71,0.6,0.5,9.411541482866246
72,0.6,0.6,9.631239844283282
73,0.6,0.7,9.508077923098941
74,0.6,0.8,9.424916759593165
75,0.6,0.9,9.344063504285291
76,0.6,0.99,9.313335737252226
77,0.7,0.01,-9.267033004610145
78,0.7,0.1,-8.949775246940199
79,0.7,0.2,-7.928585549890531
80,0.7,0.3,-0.5856660158360807
81,0.7,0.4,9.019734576680555
82,0.7,0.5,9.797442149072936
83,0.7,0.6,9.881532469117523
84,0.7,0.7,9.888616106718935
85,0.7,0.8,9.876951626570165
86,0.7,0.9,9.861211274787728
87,0.7,0.99,9.852636936194148
88,0.8,0.01,-9.314632804843212
89,0.8,0.1,-8.515707169780054
90,0.8,0.2,-1.7334993240397802
91,0.8,0.3,8.778597570271332
92,0.8,0.4,9.74147479462719
93,0.8,0.5,9.89566438785944
94,0.8,0.6,9.936732961886257
95,0.8,0.7,9.948509071438297
96,0.8,0.8,9.951329324224833
97,0.8,0.9,9.95120774900525
98,0.8,0.99,9.949878337316619
99,0.9,0.01,-8.719228301093857
100,0.9,0.1,-2.9764902673224465
101,0.9,0.2,8.70991717568343
102,0.9,0.3,9.697956394632847
103,0.9,0.4,9.877125113618392
104,0.9,0.5,9.933471180860646
105,0.9,0.6,9.956697370943697
106,0.9,0.7,9.967053347260698
107,0.9,0.8,9.972964122422576
108,0.9,0.9,9.976306944266964
109,0.9,0.99,9.977621414213356
110,0.99,0.01,-3.8482237745481047
111,0.99,0.1,8.480925829433662
112,0.99,0.2,9.667442944527751
113,0.99,0.3,9.860886481558094
114,0.99,0.4,9.925173080272028
115,0.99,0.5,9.952996854841182
116,0.99,0.6,9.96730863304361
117,0.99,0.7,9.976226860974805
118,0.99,0.8,9.98206881686626
119,0.99,0.9,9.985759449402352
120,0.99,0.99,9.98828025723838
