,P,cost,value
0,0.01,0.01,-0.6822011013818164
1,0.01,0.1,-0.643414130293951
2,0.01,0.2,-0.6541555679070294
3,0.01,0.3,-0.5799383003676593
4,0.01,0.4,-0.5466014352351876
5,0.01,0.5,-0.5813344060551097
6,0.01,0.6,-0.5973173472656093
7,0.01,0.7,-0.4373974622111814
8,0.01,0.8,-0.25570508919583645
9,0.01,0.9,0.26640314138045496
10,0.01,0.99,8.39942795456876
11,0.1,0.01,0.06797890768419881
12,0.1,0.1,0.04971677826786431
13,0.1,0.2,0.2299744033993274
14,0.1,0.3,0.1845182097567658
15,0.1,0.4,0.23686277309417333
16,0.1,0.5,0.3969185418127268
17,0.1,0.6,0.7407463694983423
18,0.1,0.7,1.094855426524302
19,0.1,0.8,2.2789045100155554
20,0.1,0.9,8.307576078465434
21,0.1,0.99,3.0988338228245227
22,0.2,0.01,0.34870001960763003
23,0.2,0.1,0.33947691247245015
24,0.2,0.2,0.3943705578625718
25,0.2,0.3,0.574489400182673
26,0.2,0.4,0.8027860516022627
27,0.2,0.5,1.090523070556126
28,0.2,0.6,1.6243701280145293
29,0.2,0.7,3.252533980408142
30,0.2,0.8,8.201037429333839
31,0.2,0.9,3.6388020860404096
32,0.2,0.99,1.9907110188597952
33,0.3,0.01,0.528786230090142
34,0.3,0.1,0.5864670737331463
35,0.3,0.2,0.7238788443223219
36,0.3,0.3,0.9500466113854278
37,0.3,0.4,1.2055918250615325
38,0.3,0.5,1.8857236477553638
39,0.3,0.6,3.725078180124295
40,0.3,0.7,7.974407124999154
41,0.3,0.8,4.03193357865215
42,0.3,0.9,2.07298746753282
43,0.3,0.99,1.5729447258436788
44,0.4,0.01,0.7219780599556163
45,0.4,0.1,0.8686260265684136
46,0.4,0.2,1.0713542279585158
47,0.4,0.3,1.5400101508620323
48,0.4,0.4,1.9716656903475058
49,0.4,0.5,3.597787306548648
50,0.4,0.6,7.899391504898944
51,0.4,0.7,4.2336990500920715
52,0.4,0.8,2.2036610118959907
53,0.4,0.9,1.5421921986601275
54,0.4,0.99,1.2481765886036746
55,0.5,0.01,0.9837092394885255
56,0.5,0.1,0.9984063673530326
57,0.5,0.2,1.3734956003523706
58,0.5,0.3,2.125795533339409
59,0.5,0.4,3.769504226894483
60,0.5,0.5,7.7172115056216875
61,0.5,0.6,4.321376317610027
62,0.5,0.7,2.398405283602035
63,0.5,0.8,1.560659821449844
64,0.5,0.9,1.1424910351833553
65,0.5,0.99,0.9944210911819944
66,0.6,0.01,1.1517202521731587
67,0.6,0.1,1.4229503394644352
68,0.6,0.2,2.0991145819696935
69,0.6,0.3,3.6822364415672726
70,0.6,0.4,7.3393149239353805
71,0.6,0.5,4.061915452313577
72,0.6,0.6,2.3117450891492384
73,0.6,0.7,1.4021300120928573
74,0.6,0.8,1.1389497770700043
75,0.6,0.9,0.8541894582404236
76,0.6,0.99,0.7471865080249898
77,0.7,0.01,1.4368356009572585
78,0.7,0.1,2.0191491096198826
79,0.7,0.2,3.254677823749204
80,0.7,0.3,6.979062038869462
81,0.7,0.4,3.857034564655347
82,0.7,0.5,2.1424678420315018
83,0.7,0.6,1.3770281707844167
84,0.7,0.7,0.9522591388754467
85,0.7,0.8,0.718042058464652
86,0.7,0.9,0.6463775704067031
87,0.7,0.99,0.5440173290537894
88,0.8,0.01,1.8151359051311893
89,0.8,0.1,2.99627370233586
90,0.8,0.2,6.248303269946305
91,0.8,0.3,3.4612462423332637
92,0.8,0.4,1.7491422131531944
93,0.8,0.5,1.1532679403904769
94,0.8,0.6,0.8369833413486077
95,0.8,0.7,0.6826463124981358
96,0.8,0.8,0.39325530944832987
97,0.8,0.9,0.39296226013150976
98,0.8,0.99,0.27966764703949354
99,0.9,0.01,2.585774546992728
100,0.9,0.1,4.922306342629473
101,0.9,0.2,2.5488280385296735
102,0.9,0.3,1.3282779550115826
103,0.9,0.4,0.7442825035581314
104,0.9,0.5,0.5650500598546443
105,0.9,0.6,0.37896443274135183
106,0.9,0.7,0.25575529824583987
107,0.9,0.8,0.19198914328740072
108,0.9,0.9,0.14427871691496746
109,0.9,0.99,0.08765318067065592
110,0.99,0.01,2.206109669368969
111,0.99,0.1,0.34775605905777984
112,0.99,0.2,-0.1844589123940633
113,0.99,0.3,-0.42754217498263336
114,0.99,0.4,-0.43101466893689633
115,0.99,0.5,-0.6721738075794963
116,0.99,0.6,-0.49802257820332513
117,0.99,0.7,-0.6215636678733942
118,0.99,0.8,-0.5914205985196939
119,0.99,0.9,-0.6835420988641074
120,0.99,0.99,-0.5629907816600228
