,P,cost,value
0,0.01,0.01,-1.8501728123008734
1,0.01,0.1,-1.7875182457457404
2,0.01,0.2,-1.8241259441599116
3,0.01,0.3,-1.7376748653154648
4,0.01,0.4,-1.6788772157083367
5,0.01,0.5,-1.8261886049623843
6,0.01,0.6,-1.7270107973910664
7,0.01,0.7,-1.6562994132890587
8,0.01,0.8,-1.3903507232555175
9,0.01,0.9,-0.9074691783029242
10,0.01,0.99,7.836431991440435
11,0.1,0.01,-0.18982323920585847
12,0.1,0.1,-0.18494794440445878
13,0.1,0.2,-0.05239112034189494
14,0.1,0.3,0.001230286529289284
15,0.1,0.4,0.0522933870468993
16,0.1,0.5,0.1503411601915539
17,0.1,0.6,0.40501262752095957
18,0.1,0.7,0.8242173578581533
19,0.1,0.8,1.9315936152511668
20,0.1,0.9,7.9053850814915085
21,0.1,0.99,3.159473754996876
22,0.2,0.01,0.2924414694858823
23,0.2,0.1,0.25109128327931374
24,0.2,0.2,0.3374408414691017
25,0.2,0.3,0.48217752796887736
26,0.2,0.4,0.7642770837466684
27,0.2,0.5,1.0095948172329507
28,0.2,0.6,1.5065435898246697
29,0.2,0.7,3.1167549623084967
30,0.2,0.8,8.021579423349168
31,0.2,0.9,3.6312942876443284
32,0.2,0.99,2.000028845642831
33,0.3,0.01,0.4800498244434412
34,0.3,0.1,0.5652452646082493
35,0.3,0.2,0.6681565385399113
36,0.3,0.3,0.8928235381803773
37,0.3,0.4,1.192011545034285
38,0.3,0.5,1.8335875878743848
39,0.3,0.6,3.6621227735537043
40,0.3,0.7,7.900432583494805
41,0.3,0.8,4.01423205613535
42,0.3,0.9,2.0685826914892163
43,0.3,0.99,1.571026764315409
44,0.4,0.01,0.7405358861569465
45,0.4,0.1,0.8707672894707014
46,0.4,0.2,1.089200052999286
47,0.4,0.3,1.5497061146443911
48,0.4,0.4,1.9621992428283388
49,0.4,0.5,3.609853164249639
50,0.4,0.6,7.883739868795736
51,0.4,0.7,4.234588835645748
52,0.4,0.8,2.1919181539547417
53,0.4,0.9,1.5499060034858225
54,0.4,0.99,1.22758349903036
55,0.5,0.01,0.9829401042171741
56,0.5,0.1,0.9974929199031396
57,0.5,0.2,1.3765157563987076
58,0.5,0.3,2.1315401935643323
59,0.5,0.4,3.7734438091841147
60,0.5,0.5,7.72666380361756
61,0.5,0.6,4.331895729227634
62,0.5,0.7,2.409158511621378
63,0.5,0.8,1.5613827771172386
64,0.5,0.9,1.144692192281385
65,0.5,0.99,0.9919621507275009
66,0.6,0.01,1.1459688982935823
67,0.6,0.1,1.4195137112074905
68,0.6,0.2,2.087175439485236
69,0.6,0.3,3.6798082257824536
70,0.6,0.4,7.323868952888459
71,0.6,0.5,4.057094078269569
72,0.6,0.6,2.304758744637468
73,0.6,0.7,1.398261656703128
74,0.6,0.8,1.1338682709252583
75,0.6,0.9,0.8530123913141808
76,0.6,0.99,0.7605740149261169
77,0.7,0.01,1.4466834003089764
78,0.7,0.1,2.0240270772790567
79,0.7,0.2,3.260169272031691
80,0.7,0.3,6.927851107442386
81,0.7,0.4,3.8140222589006942
82,0.7,0.5,2.1138698950441244
83,0.7,0.6,1.3782259671339214
84,0.7,0.7,0.8938294421228811
85,0.7,0.8,0.6736189479659681
86,0.7,0.9,0.6293670855474159
87,0.7,0.99,0.4933915522158163
88,0.8,0.01,1.825769500265082
89,0.8,0.1,2.980401445743772
90,0.8,0.2,6.1181338508555205
91,0.8,0.3,3.3472132315659646
92,0.8,0.4,1.6550196269477802
93,0.8,0.5,1.0120636749865835
94,0.8,0.6,0.6944133492556377
95,0.8,0.7,0.546849269605542
96,0.8,0.8,0.3476179230276866
97,0.8,0.9,0.30607260557158616
98,0.8,0.99,0.21230794723729618
99,0.9,0.01,2.547708787705736
100,0.9,0.1,4.791319348312647
101,0.9,0.2,2.263451475924321
102,0.9,0.3,1.0660404211888468
103,0.9,0.4,0.4482544460802248
104,0.9,0.5,0.39739016688014966
105,0.9,0.6,0.11425883658569858
106,0.9,0.7,0.014026176374999387
107,0.9,0.8,-0.11031784897463934
108,0.9,0.9,-0.0868143796681136
109,0.9,0.99,-0.12733826205000828
110,0.99,0.01,2.5843102308258015
111,0.99,0.1,-0.6308991818203113
112,0.99,0.2,-1.3446237930980234
113,0.99,0.3,-1.5856776857721977
114,0.99,0.4,-1.5191454169617782
115,0.99,0.5,-1.785171137437846
116,0.99,0.6,-1.751816137621762
117,0.99,0.7,-1.7575879624699342
118,0.99,0.8,-1.8158791976104172
119,0.99,0.9,-1.859496702252936
120,0.99,0.99,-1.6864163151607758
