,P,cost,value
0,0.01,0.01,-1.761599970444806
1,0.01,0.1,-1.7427433131372838
2,0.01,0.2,-1.7090130042855034
3,0.01,0.3,-1.6767218856213983
4,0.01,0.4,-1.6019655681986111
5,0.01,0.5,-1.6345082015664252
6,0.01,0.6,-1.6856292300871878
7,0.01,0.7,-1.5058967045958327
8,0.01,0.8,-1.3191958031624063
9,0.01,0.9,-0.8150920644303237
10,0.01,0.99,8.054757795182503
11,0.1,0.01,-0.9427795182503327
12,0.1,0.1,-1.005626274567755
13,0.1,0.2,-0.7852380670902912
14,0.1,0.3,-0.8505832717600121
15,0.1,0.4,-0.8214213092951086
16,0.1,0.5,-0.6036092803310182
17,0.1,0.6,-0.28060529037978427
18,0.1,0.7,-0.024823851041820607
19,0.1,0.8,1.0290969410373871
20,0.1,0.9,7.426938672971776
21,0.1,0.99,3.710764592877198
22,0.2,0.01,-0.37836146002659965
23,0.2,0.1,-0.37913092951086164
24,0.2,0.2,-0.3258402541746713
25,0.2,0.3,-0.12927353332348163
26,0.2,0.4,0.055929806413477196
27,0.2,0.5,0.29700325107137576
28,0.2,0.6,0.7426534653465346
29,0.2,0.7,2.2857430175853413
30,0.2,0.8,7.335966454854441
31,0.2,0.9,3.931784394857396
32,0.2,0.99,2.4665928771981678
33,0.3,0.01,-0.014368848825181023
34,0.3,0.1,0.05968198610905867
35,0.3,0.2,0.17162346682429436
36,0.3,0.3,0.4125643564356436
37,0.3,0.4,0.59853406236146
38,0.3,0.5,1.1605636175557856
39,0.3,0.6,2.93695005172159
40,0.3,0.7,7.163686419388209
41,0.3,0.8,4.09212620067977
42,0.3,0.9,2.329660558593173
43,0.3,0.99,1.8697394709620214
44,0.4,0.01,0.34549637948869505
45,0.4,0.1,0.3863370769912813
46,0.4,0.2,0.596131520614748
47,0.4,0.3,1.0557606029259643
48,0.4,0.4,1.4231477759716271
49,0.4,0.5,2.862590512782621
50,0.4,0.6,7.098897000147778
51,0.4,0.7,4.103446283434314
52,0.4,0.8,2.286370031032954
53,0.4,0.9,1.738817644451012
54,0.4,0.99,1.5453013152061477
55,0.5,0.01,0.5571956553864342
56,0.5,0.1,0.4794309147332644
57,0.5,0.2,0.8792367371065466
58,0.5,0.3,1.5341598936013003
59,0.5,0.4,2.966895079060145
60,0.5,0.5,7.022169203487511
61,0.5,0.6,4.281144672676224
62,0.5,0.7,2.5581736367666617
63,0.5,0.8,1.7858418797103595
64,0.5,0.9,1.400171272351116
65,0.5,0.99,1.2440589626126795
66,0.6,0.01,0.7615318457218855
67,0.6,0.1,1.085985370178809
68,0.6,0.2,1.638515442589035
69,0.6,0.3,3.10282281661002
70,0.6,0.4,6.658560662036352
71,0.6,0.5,3.855250036943994
72,0.6,0.6,2.3370378306487365
73,0.6,0.7,1.4846635141126054
74,0.6,0.8,1.2208529629082312
75,0.6,0.9,0.9884080094576624
76,0.6,0.99,0.9532491502881633
77,0.7,0.01,1.226023496379489
78,0.7,0.1,1.6788989212354075
79,0.7,0.2,2.7805779518250335
80,0.7,0.3,6.367114378602039
81,0.7,0.4,3.556827102113197
82,0.7,0.5,1.9489060144820456
83,0.7,0.6,1.3831594502733857
84,0.7,0.7,0.9143483079651248
85,0.7,0.8,0.719597458253288
86,0.7,0.9,0.7010196542042264
87,0.7,0.99,0.5650672380670902
88,0.8,0.01,1.6787945913994382
89,0.8,0.1,2.7777190778779377
90,0.8,0.2,5.715909265553421
91,0.8,0.3,3.050517659228609
92,0.8,0.4,1.5212510713757945
93,0.8,0.5,0.8860857100635438
94,0.8,0.6,0.6807625240135955
95,0.8,0.7,0.5730724102260973
96,0.8,0.8,0.3007295699719226
97,0.8,0.9,0.2994516033692921
98,0.8,0.99,0.1595990837889759
99,0.9,0.01,2.624787793704744
100,0.9,0.1,4.633958474951973
101,0.9,0.2,1.8905807595684945
102,0.9,0.3,0.824122801832422
103,0.9,0.4,0.2737241022609723
104,0.9,0.5,0.16426865671641794
105,0.9,0.6,-0.08121442293483079
106,0.9,0.7,-0.1886778483818531
107,0.9,0.8,-0.2504465789862568
108,0.9,0.9,-0.31420732968819265
109,0.9,0.99,-0.3973981084675632
110,0.99,0.01,2.370206443032363
111,0.99,0.1,-0.26207300132998373
112,0.99,0.2,-0.8278438007979902
113,0.99,0.3,-1.0857773016107584
114,0.99,0.4,-1.0584479089700014
115,0.99,0.5,-1.3358047879414805
116,0.99,0.6,-1.1457347421309296
117,0.99,0.7,-1.2274378602039309
118,0.99,0.8,-1.2803729865523867
119,0.99,0.9,-1.3181745234224915
120,0.99,0.99,-1.167339884734742
