,P,cost,value
0,0.01,0.01,-2.722688360930076
1,0.01,0.1,-2.650055409636419
2,0.01,0.2,-2.6887739457342255
3,0.01,0.3,-2.5921842596485947
4,0.01,0.4,-2.5439199392699448
5,0.01,0.5,-2.712071618295821
6,0.01,0.6,-2.5976105033139048
7,0.01,0.7,-2.5386960643295935
8,0.01,0.8,-2.2806978223732957
9,0.01,0.9,-1.8424409943055418
10,0.01,0.99,7.248717676684305
11,0.1,0.01,-0.6007961520258205
12,0.1,0.1,-0.585717466034066
13,0.1,0.2,-0.4658142927419962
14,0.1,0.3,-0.3923949149553213
15,0.1,0.4,-0.3389771289926844
16,0.1,0.5,-0.26203683215377827
17,0.1,0.6,-0.038445470254861856
18,0.1,0.7,0.38324432534558484
19,0.1,0.8,1.3970925305569681
20,0.1,0.9,7.427524690466239
21,0.1,0.99,3.3438193179098037
22,0.2,0.01,-0.08771288998552215
23,0.2,0.1,-0.1377000920600238
24,0.2,0.2,-0.025029274540146487
25,0.2,0.3,0.09278081683988186
26,0.2,0.4,0.39374688505340416
27,0.2,0.5,0.5725174525771027
28,0.2,0.6,0.9914131249061986
29,0.2,0.7,2.5319393335131823
30,0.2,0.8,7.366062322732455
31,0.2,0.9,3.669607078571853
32,0.2,0.99,2.1673292206526535
33,0.3,0.01,0.17172001361289202
34,0.3,0.1,0.26950852988200735
35,0.3,0.2,0.2984186409928362
36,0.3,0.3,0.5080774384831255
37,0.3,0.4,0.8249643099098232
38,0.3,0.5,1.3677457493960583
39,0.3,0.6,3.068669038767804
40,0.3,0.7,7.1798256311086694
41,0.3,0.8,3.860393602268383
42,0.3,0.9,2.116837985587842
43,0.3,0.99,1.6725739087967093
44,0.4,0.01,0.48243986193277577
45,0.4,0.1,0.518934996271909
46,0.4,0.2,0.790605945536006
47,0.4,0.3,1.2205174108993975
48,0.4,0.4,1.5200588674492068
49,0.4,0.5,3.0599743401278334
50,0.4,0.6,7.106963608748177
51,0.4,0.7,4.063067064646254
52,0.4,0.8,2.1395338232805496
53,0.4,0.9,1.6713043534798429
54,0.4,0.99,1.2675662945435557
55,0.5,0.01,0.6518876134158169
56,0.5,0.1,0.6812451535440865
57,0.5,0.2,1.0802344026982067
58,0.5,0.3,1.729478844725153
59,0.5,0.4,3.114137668418733
60,0.5,0.5,6.995766263678408
61,0.5,0.6,4.239057586489501
62,0.5,0.7,2.391200265750481
63,0.5,0.8,1.6236568581650304
64,0.5,0.9,1.3071487128998824
65,0.5,0.99,1.1617633043520206
66,0.6,0.01,0.8656194492373384
67,0.6,0.1,1.14999466532253
68,0.6,0.2,1.828348590598439
69,0.6,0.3,3.1778033008953614
70,0.6,0.4,6.641389968597715
71,0.6,0.5,3.7380780948094157
72,0.6,0.6,2.2540560628550304
73,0.6,0.7,1.4014407576408185
74,0.6,0.8,1.1561434748773884
75,0.6,0.9,0.8910929543381817
76,0.6,0.99,0.801169106933422
77,0.7,0.01,1.2575939900471724
78,0.7,0.1,1.703374273856926
79,0.7,0.2,2.7730859943994264
80,0.7,0.3,6.2947067737651485
81,0.7,0.4,3.46899611621901
82,0.7,0.5,1.9123767468740702
83,0.7,0.6,1.2231040923493832
84,0.7,0.7,0.9600773718567377
85,0.7,0.8,0.7214460070499435
86,0.7,0.9,0.6764726808133237
87,0.7,0.99,0.5763839272898182
88,0.8,0.01,1.7088765136443773
89,0.8,0.1,2.7465733257898672
90,0.8,0.2,5.70619754998159
91,0.8,0.3,3.028948076241141
92,0.8,0.4,1.5202357265958513
93,0.8,0.5,1.0102624940346714
94,0.8,0.6,0.8015826207114245
95,0.8,0.7,0.6848433447651592
96,0.8,0.8,0.26423706759667703
97,0.8,0.9,0.37187622655506686
98,0.8,0.99,0.18839418556388723
99,0.9,0.01,2.58290472571787
100,0.9,0.1,4.491168194831803
101,0.9,0.2,2.0323385674595986
102,0.9,0.3,0.9051725295761455
103,0.9,0.4,0.4754247352326762
104,0.9,0.5,0.20808801838119953
105,0.9,0.6,0.08711054284969601
106,0.9,0.7,-0.017965331896509434
107,0.9,0.8,-0.05182177311833594
108,0.9,0.9,-0.13152696874838699
109,0.9,0.99,-0.20796622257479816
110,0.99,0.01,2.4377279784957544
111,0.99,0.1,-0.6118433574700753
112,0.99,0.2,-1.1649776147015458
113,0.99,0.3,-1.4220704891384661
114,0.99,0.4,-1.5110179613554897
115,0.99,0.5,-1.675879790535944
116,0.99,0.6,-1.415327254753445
117,0.99,0.7,-1.6116184424412592
118,0.99,0.8,-1.5246553186027436
119,0.99,0.9,-1.63009938570867
120,0.99,0.99,-1.6319880301462988
