,P,cost,value
0,0.01,0.01,-7.08458125769835
1,0.01,0.1,-7.07766215134873
2,0.01,0.2,-7.04832148632157
3,0.01,0.3,-7.03008013724991
4,0.01,0.4,-6.98105376320997
5,0.01,0.5,-7.013858086082701
6,0.01,0.6,-6.98984662733112
7,0.01,0.7,-6.904570073622967
8,0.01,0.8,-6.760430375503692
9,0.01,0.9,-6.331685170841047
10,0.01,0.99,5.468985869646431
11,0.1,0.01,-9.492696068247351
12,0.1,0.1,-9.47869675234138
13,0.1,0.2,-9.46874222543755
14,0.1,0.3,-9.444226422515273
15,0.1,0.4,-9.406555821248858
16,0.1,0.5,-9.36396435698818
17,0.1,0.6,-9.263901638962652
18,0.1,0.7,-9.070907721672485
19,0.1,0.8,-8.380605952400387
20,0.1,0.9,1.777638104005894
21,0.1,0.99,9.869937962913497
22,0.2,0.01,-9.713248889096592
23,0.2,0.1,-9.699882783545409
24,0.2,0.2,-9.669035588021238
25,0.2,0.3,-9.627219012846748
26,0.2,0.4,-9.56656680974641
27,0.2,0.5,-9.45151398082434
28,0.2,0.6,-9.23265407046198
29,0.2,0.7,-8.29915333160503
30,0.2,0.8,0.36803827048293597
31,0.2,0.9,9.635499079897553
32,0.2,0.99,9.937714540193687
33,0.3,0.01,-9.773608420929008
34,0.3,0.1,-9.745596713621921
35,0.3,0.2,-9.71231959563208
36,0.3,0.3,-9.651254439195732
37,0.3,0.4,-9.540353581550692
38,0.3,0.5,-9.315386304986879
39,0.3,0.6,-8.264238348709958
40,0.3,0.7,-0.1778506029579604
41,0.3,0.8,9.269792865495868
42,0.3,0.9,9.881726777717295
43,0.3,0.99,9.958901174309567
44,0.4,0.01,-9.794427638354335
45,0.4,0.1,-9.760971513004304
46,0.4,0.2,-9.698558545323511
47,0.4,0.3,-9.589202073825046
48,0.4,0.4,-9.333400663495503
49,0.4,0.5,-8.355474148106842
50,0.4,0.6,-0.7340552050640279
51,0.4,0.7,9.00968469202124
52,0.4,0.8,9.815254283416566
53,0.4,0.9,9.938765138962431
54,0.4,0.99,9.968219850188543
55,0.5,0.01,-9.789768833203512
56,0.5,0.1,-9.737372597157917
57,0.5,0.2,-9.637964350065635
58,0.5,0.3,-9.35977876946723
59,0.5,0.4,-8.304996473097459
60,0.5,0.5,-0.40714033908846864
61,0.5,0.6,8.7288162303498
62,0.5,0.7,9.743096539408384
63,0.5,0.8,9.910374664799498
64,0.5,0.9,9.960227788458662
65,0.5,0.99,9.975128110610957
66,0.6,0.01,-9.766075736539893
67,0.6,0.1,-9.679671677053728
68,0.6,0.2,-9.41950727992178
69,0.6,0.3,-8.451929096096194
70,0.6,0.4,-1.2329124721374665
71,0.6,0.5,8.671839057862226
72,0.6,0.6,9.700517232669549
73,0.6,0.7,9.884080632214182
74,0.6,0.8,9.94616181407513
75,0.6,0.9,9.969999328312525
76,0.6,0.99,9.978907253797363
77,0.7,0.01,-9.70905602635334
78,0.7,0.1,-9.484243530049461
79,0.7,0.2,-8.662256664176152
80,0.7,0.3,-1.7336374790671383
81,0.7,0.4,8.575662634043885
82,0.7,0.5,9.653354442235463
83,0.7,0.6,9.866378551241892
84,0.7,0.7,9.935392543533316
85,0.7,0.8,9.96293334424926
86,0.7,0.9,9.976229627501796
87,0.7,0.99,9.982344137521839
88,0.8,0.01,-9.538342345232337
89,0.8,0.1,-8.825179989152897
90,0.8,0.2,-2.260270656042368
91,0.8,0.3,8.537493185249541
92,0.8,0.4,9.650613231432077
93,0.8,0.5,9.858199599269245
94,0.8,0.6,9.926959912795887
95,0.8,0.7,9.956475591174637
96,0.8,0.8,9.971929499438762
97,0.8,0.9,9.980328332515493
98,0.8,0.99,9.984583643488198
99,0.9,0.01,-8.842616508902534
100,0.9,0.1,-3.1871368908873747
101,0.9,0.2,8.611032841411214
102,0.9,0.3,9.655893026949368
103,0.9,0.4,9.85639445987124
104,0.9,0.5,9.923745378957994
105,0.9,0.6,9.953751175693743
106,0.9,0.7,9.968638149321006
107,0.9,0.8,9.977387030334732
108,0.9,0.9,9.983382822306897
109,0.9,0.99,9.986762642546028
110,0.99,0.01,-3.8688913083175813
111,0.99,0.1,8.4721059777372
112,0.99,0.2,9.663418826528854
113,0.99,0.3,9.85879378709903
114,0.99,0.4,9.923943402543014
115,0.99,0.5,9.952264923426487
116,0.99,0.6,9.967046524552977
117,0.99,0.7,9.976332790389058
118,0.99,0.8,9.982310375543584
119,0.99,0.9,9.986245717931556
120,0.99,0.99,9.988790058514677
