,P,cost,value
0,0.01,0.01,9.999772422500202
1,0.01,0.1,9.999753765398154
2,0.01,0.2,9.999569670106116
3,0.01,0.3,9.999385242337137
4,0.01,0.4,9.999143550064254
5,0.01,0.5,9.998710927853553
6,0.01,0.6,9.997232216111868
7,0.01,0.7,9.995247104792211
8,0.01,0.8,9.987186442559144
9,0.01,0.9,9.932231465404671
10,0.01,0.99,0.6939804053548824
11,0.1,0.01,9.99812602061725
12,0.1,0.1,9.997748879704865
13,0.1,0.2,9.996619307378545
14,0.1,0.3,9.994691632833131
15,0.1,0.4,9.990417323568112
16,0.1,0.5,9.983476818838316
17,0.1,0.6,9.96419714682704
18,0.1,0.7,9.906364624209951
19,0.1,0.8,9.597581983656182
20,0.1,0.9,0.8086748522995691
21,0.1,0.99,-9.282000816902505
22,0.2,0.01,9.995592060798263
23,0.2,0.1,9.994280338454137
24,0.2,0.2,9.991787747683853
25,0.2,0.3,9.985560317036699
26,0.2,0.4,9.97174364662751
27,0.2,0.5,9.939598596812068
28,0.2,0.6,9.843241680646958
29,0.2,0.7,9.295792186882231
30,0.2,0.8,1.5573923493274557
31,0.2,0.9,-8.941763321888875
32,0.2,0.99,-9.633433419080985
33,0.3,0.01,9.991912288861739
34,0.3,0.1,9.98875291686193
35,0.3,0.2,9.98298323168806
36,0.3,0.3,9.966635960704215
37,0.3,0.4,9.927013358955424
38,0.3,0.5,9.817224004218167
39,0.3,0.6,9.152872934062819
40,0.3,0.7,1.816729828327184
41,0.3,0.8,-8.492707577995995
42,0.3,0.9,-9.508819362217105
43,0.3,0.99,-9.725342834577573
44,0.4,0.01,9.98621718671404
45,0.4,0.1,9.98003425018979
46,0.4,0.2,9.964308173677441
47,0.4,0.3,9.922504406503766
48,0.4,0.4,9.797385434311645
49,0.4,0.5,9.140163164907978
50,0.4,0.6,2.251071929457695
51,0.4,0.7,-8.201857561185173
52,0.4,0.8,-9.401597073209327
53,0.4,0.9,-9.66824781512717
54,0.4,0.99,-9.770861083383963
55,0.5,0.01,9.976239632364639
56,0.5,0.1,9.962658776944625
57,0.5,0.2,9.924311001548196
58,0.5,0.3,9.788339910386405
59,0.5,0.4,9.06292482760338
60,0.5,0.5,1.8663349629845905
61,0.5,0.6,-7.877688379028369
62,0.5,0.7,-9.289306439769039
63,0.5,0.8,-9.601571115338349
64,0.5,0.9,-9.732125544437887
65,0.5,0.99,-9.78704612925912
66,0.6,0.01,9.957421298983395
67,0.6,0.1,9.928988546274052
68,0.6,0.2,9.808312931526578
69,0.6,0.3,9.147132975113074
70,0.6,0.4,2.641166260035474
71,0.6,0.5,-7.801452367546114
72,0.6,0.6,-9.204321814701837
73,0.6,0.7,-9.52591954521951
74,0.6,0.8,-9.670900533575749
75,0.6,0.9,-9.740523629849932
76,0.6,0.99,-9.780300880135513
77,0.7,0.01,9.915849990270143
78,0.7,0.1,9.818417500971389
79,0.7,0.2,9.284150710999656
80,0.7,0.3,3.1553126576008665
81,0.7,0.4,-7.677080790692279
82,0.7,0.5,-9.09462024000918
83,0.7,0.6,-9.448755633884225
84,0.7,0.7,-9.610374037229693
85,0.7,0.8,-9.684850647148789
86,0.7,0.9,-9.725113290472198
87,0.7,0.99,-9.756882067926679
88,0.8,0.01,9.801784740123628
89,0.8,0.1,9.373440023853497
90,0.8,0.2,3.6875530872972013
91,0.8,0.3,-7.50977402651413
92,0.8,0.4,-9.018603400163382
93,0.8,0.5,-9.363730885089648
94,0.8,0.6,-9.517229159565993
95,0.8,0.7,-9.584000242277401
96,0.8,0.8,-9.643065632387088
97,0.8,0.9,-9.673363600823036
98,0.8,0.99,-9.69584237216854
99,0.9,0.01,9.256781239509994
100,0.9,0.1,4.588132619282613
101,0.9,0.2,-7.379533366349978
102,0.9,0.3,-8.782609337818233
103,0.9,0.4,-9.134804069002255
104,0.9,0.5,-9.286227634709054
105,0.9,0.6,-9.364712327347837
106,0.9,0.7,-9.40209413901616
107,0.9,0.8,-9.435316625216545
108,0.9,0.9,-9.457914844122993
109,0.9,0.99,-9.47189836134095
110,0.99,0.01,4.132338033527214
111,0.99,0.1,-5.3353339467806284
112,0.99,0.2,-6.503135003475876
113,0.99,0.3,-6.804598002140878
114,0.99,0.4,-6.840673637798278
115,0.99,0.5,-7.014477870410803
116,0.99,0.6,-6.927494800174323
117,0.99,0.7,-6.980374663506687
118,0.99,0.8,-6.996311559812419
119,0.99,0.9,-7.042529467242979
120,0.99,0.99,-7.014033112533439
