,P,cost,value
0,0.01,0.01,0.0003950087656473279
1,0.01,0.1,0.0003428582161280692
2,0.01,0.2,0.00040548851473963
3,0.01,0.3,0.00036473705364969294
4,0.01,0.4,0.0003274084621790496
5,0.01,0.5,0.00048116019610593646
6,0.01,0.6,0.0007986173777728436
7,0.01,0.7,0.001296622611157689
8,0.01,0.8,0.003851855568542754
9,0.01,0.9,0.021956772324637032
10,0.01,0.99,2.772000112831851
11,0.1,0.01,0.0010578367122874945
12,0.1,0.1,0.0012493914388377522
13,0.1,0.2,0.0011665814087630881
14,0.1,0.3,0.0013037397139720212
15,0.1,0.4,0.0014096805616481667
16,0.1,0.5,0.0016939739248235598
17,0.1,0.6,0.0035048774443102206
18,0.1,0.7,0.013609474138978677
19,0.1,0.8,0.09877658760640046
20,0.1,0.9,2.8870863268464086
21,0.1,0.99,0.3766257693332831
22,0.2,0.01,0.0021771932697745365
23,0.2,0.1,0.0022229008216096877
24,0.2,0.2,0.0025295972055608407
25,0.2,0.3,0.0027103663228544104
26,0.2,0.4,0.003491514161672653
27,0.2,0.5,0.00462264228100198
28,0.2,0.6,0.016863140433881856
29,0.2,0.7,0.1387571463070711
30,0.2,0.8,2.668055066540473
31,0.2,0.9,0.4834354812763422
32,0.2,0.99,0.26515859923324697
33,0.3,0.01,0.00335480544390162
34,0.3,0.1,0.004128495948720739
35,0.3,0.2,0.004689875590590231
36,0.3,0.3,0.005860338072071872
37,0.3,0.4,0.00662857916894765
38,0.3,0.5,0.014090817447487667
39,0.3,0.6,0.1311835492274084
40,0.3,0.7,2.571052410533346
41,0.3,0.8,0.6323122478436587
42,0.3,0.9,0.2567023065422734
43,0.3,0.99,0.17042085958786946
44,0.4,0.01,0.008171969291083573
45,0.4,0.1,0.008125392964263406
46,0.4,0.2,0.010943983145976431
47,0.4,0.3,0.015717121787294272
48,0.4,0.4,0.020473276408393096
49,0.4,0.5,0.0711458106255396
50,0.4,0.6,1.717452776580504
51,0.4,0.7,0.6364549607793112
52,0.4,0.8,0.14737248030736827
53,0.4,0.9,0.07022735492325287
54,0.4,0.99,0.06604330199543554
55,0.5,0.01,0.019236707824348036
56,0.5,0.1,0.02255941734094382
57,0.5,0.2,0.031121009916511337
58,0.5,0.3,0.06622679550462732
59,0.5,0.4,0.15278917145292145
60,0.5,0.5,0.5886061990483259
61,0.5,0.6,0.12256716246911313
62,0.5,0.7,0.050413839517942365
63,0.5,0.8,0.025831497917234922
64,0.5,0.9,0.01561615201110138
65,0.5,0.99,0.018576598704109645
66,0.6,0.01,0.06210291918637478
67,0.6,0.1,0.07732486206728688
68,0.6,0.2,0.15383736731463313
69,0.6,0.3,0.6341789015815801
70,0.6,0.4,2.14635680212474
71,0.6,0.5,0.2158849646332693
72,0.6,0.6,0.029574135963641033
73,0.6,0.7,0.011877768325929778
74,0.6,0.8,0.010258884028234886
75,0.6,0.9,0.008844874845751569
76,0.6,0.99,0.007675012166917031
77,0.7,0.01,0.1560470868702172
78,0.7,0.1,0.2786875154525479
79,0.7,0.2,0.6147685265796508
80,0.7,0.3,2.248959233653541
81,0.7,0.4,0.32145846631162367
82,0.7,0.5,0.046505082869120404
83,0.7,0.6,0.0147889551756577
84,0.7,0.7,0.007439698883510024
85,0.7,0.8,0.006139626054014085
86,0.7,0.9,0.00526357039771414
87,0.7,0.99,0.0040209953322515495
88,0.8,0.01,0.3115131169651796
89,0.8,0.1,0.5666998409974573
90,0.8,0.2,2.226244379540785
91,0.8,0.3,0.30862369264250156
92,0.8,0.4,0.046640085550361005
93,0.8,0.5,0.015686847088932993
94,0.8,0.6,0.00714937471332451
95,0.8,0.7,0.005058652331466515
96,0.8,0.8,0.004057735529391773
97,0.8,0.9,0.003315967267089955
98,0.8,0.99,0.0028812128351978507
99,0.9,0.01,0.39775477863088654
100,0.9,0.1,1.6576778788482636
101,0.9,0.2,0.27873321880445495
102,0.9,0.3,0.039159894599225226
103,0.9,0.4,0.017217511884629562
104,0.9,0.5,0.00869248348913892
105,0.9,0.6,0.005611436981158497
106,0.9,0.7,0.003362819232922294
107,0.9,0.8,0.003180026465155363
108,0.9,0.9,0.0022769758663681613
109,0.9,0.99,0.0018240560871160228
110,0.99,0.01,0.7719271150787035
111,0.99,0.1,0.18599373305816877
112,0.99,0.2,0.03986246768767737
113,0.99,0.3,0.015326362319832545
114,0.99,0.4,0.008353008397822954
115,0.99,0.5,0.00468957696023148
116,0.99,0.6,0.003518978138292175
117,0.99,0.7,0.0029006086386361017
118,0.99,0.8,0.0022009033273220385
119,0.99,0.9,0.0016857870068052723
120,0.99,0.99,0.0014618104507169447
