,P,cost,value
0,0.01,0.01,0.4465985196372727
1,0.01,0.1,0.44127654395968047
2,0.01,0.2,0.432732176783418
3,0.01,0.3,0.39678729613133135
4,0.01,0.4,0.4777768258523861
5,0.01,0.5,0.4277370983127251
6,0.01,0.6,0.42053580524094636
7,0.01,0.7,0.45778276978783383
8,0.01,0.8,0.48021703211763667
9,0.01,0.9,0.5440114172658524
10,0.01,0.99,3.163819102691941
11,0.1,0.01,0.1290860377916991
12,0.1,0.1,0.13256182194638041
13,0.1,0.2,0.14293287590794684
14,0.1,0.3,0.1271147438791408
15,0.1,0.4,0.14256956875400154
16,0.1,0.5,0.15193203646898973
17,0.1,0.6,0.1707871399978777
18,0.1,0.7,0.20923342835741984
19,0.1,0.8,0.4079292193865416
20,0.1,0.9,3.082505331037649
21,0.1,0.99,0.1024168276158848
22,0.2,0.01,0.10960438185931946
23,0.2,0.1,0.12767396697772027
24,0.2,0.2,0.13047073696144124
25,0.2,0.3,0.1351880047101089
26,0.2,0.4,0.14374423558222868
27,0.2,0.5,0.15529468521860632
28,0.2,0.6,0.19996471695335252
29,0.2,0.7,0.48535897910360437
30,0.2,0.8,2.888402662015798
31,0.2,0.9,0.11653488184313754
32,0.2,0.99,0.09583409644350119
33,0.3,0.01,0.10742268816893565
34,0.3,0.1,0.11909879498532278
35,0.3,0.2,0.12413151018844966
36,0.3,0.3,0.13230995080576013
37,0.3,0.4,0.15238075568433498
38,0.3,0.5,0.20978817266831093
39,0.3,0.6,0.46577839297565127
40,0.3,0.7,3.003980497368583
41,0.3,0.8,0.16540345646232296
42,0.3,0.9,0.0845934860422659
43,0.3,0.99,0.0836588737727465
44,0.4,0.01,0.10903144134190912
45,0.4,0.1,0.11489335066444979
46,0.4,0.2,0.12900883292097243
47,0.4,0.3,0.138831462545913
48,0.4,0.4,0.17951260220854834
49,0.4,0.5,0.5424001295052274
50,0.4,0.6,2.7405987997590553
51,0.4,0.7,0.2728083337228971
52,0.4,0.8,0.06528034204830031
53,0.4,0.9,0.07569267811004617
54,0.4,0.99,0.090113318299401
55,0.5,0.01,0.09775225015023886
56,0.5,0.1,0.09571345927816294
57,0.5,0.2,0.13189199630447598
58,0.5,0.3,0.15712911061996085
59,0.5,0.4,0.5221757455734768
60,0.5,0.5,2.910940163294348
61,0.5,0.6,0.3272811848661849
62,0.5,0.7,0.06223866715593918
63,0.5,0.8,0.05919213910186216
64,0.5,0.9,0.0637692848718363
65,0.5,0.99,0.06790207762491092
66,0.6,0.01,0.08248914675917962
67,0.6,0.1,0.10059638850699286
68,0.6,0.2,0.16914278382227896
69,0.6,0.3,0.4446736483648445
70,0.6,0.4,2.5771706380708244
71,0.6,0.5,0.34314197495584253
72,0.6,0.6,0.05832627441143847
73,0.6,0.7,0.05038461423485304
74,0.6,0.8,0.05088645392727954
75,0.6,0.9,0.044313847447355295
76,0.6,0.99,0.0492735664842427
77,0.7,0.01,0.09454866892280847
78,0.7,0.1,0.1359145922556958
79,0.7,0.2,0.3394954272625188
80,0.7,0.3,2.3656137540301665
81,0.7,0.4,0.38008817216159607
82,0.7,0.5,0.06074537791484916
83,0.7,0.6,0.03063996976660313
84,0.7,0.7,0.03258339957928526
85,0.7,0.8,0.03899323793661088
86,0.7,0.9,0.03297380069097414
87,0.7,0.99,0.03482822032719765
88,0.8,0.01,0.09959156219628917
89,0.8,0.1,0.3069908536674682
90,0.8,0.2,2.2500948540640553
91,0.8,0.3,0.3334108936780793
92,0.8,0.4,0.04754466779313318
93,0.8,0.5,0.022450419274451686
94,0.8,0.6,0.02166144829230049
95,0.8,0.7,0.01899691851872695
96,0.8,0.8,0.019341490444198663
97,0.8,0.9,0.019492354665772014
98,0.8,0.99,0.023261114486554046
99,0.9,0.01,0.2519021900790921
100,0.9,0.1,1.6617844899101444
101,0.9,0.2,0.28938792715356076
102,0.9,0.3,0.04085214592534563
103,0.9,0.4,0.0191699836952343
104,0.9,0.5,0.014028371050767196
105,0.9,0.6,0.009976984061719834
106,0.9,0.7,0.009424095346870725
107,0.9,0.8,0.009947510254974602
108,0.9,0.9,0.009259934207616345
109,0.9,0.99,0.010050092342173108
110,0.99,0.01,0.7551882084500934
111,0.99,0.1,0.18721716781529657
112,0.99,0.2,0.03965336427776499
113,0.99,0.3,0.015607595365538268
114,0.99,0.4,0.00845062215174839
115,0.99,0.5,0.005179973116082178
116,0.99,0.6,0.0038032528253115006
117,0.99,0.7,0.0032093864401035333
118,0.99,0.8,0.002842141010233924
119,0.99,0.9,0.0021883646062911526
120,0.99,0.99,0.002254492865026788
