,P,cost,value
0,0.01,0.01,0.0019222498378578413
1,0.01,0.1,0.0018735254067574394
2,0.01,0.2,0.0020368466130785655
3,0.01,0.3,0.00184737304504697
4,0.01,0.4,0.0019201991483306345
5,0.01,0.5,0.0019907520127714264
6,0.01,0.6,0.002082218065891761
7,0.01,0.7,0.0014669227914248933
8,0.01,0.8,0.0034137256812175006
9,0.01,0.9,0.030738536732813158
10,0.01,0.99,3.7503404156156117
11,0.1,0.01,0.016502286395543207
12,0.1,0.1,0.014931699623252656
13,0.1,0.2,0.01617510542587545
14,0.1,0.3,0.0156482648408083
15,0.1,0.4,0.015543562310030345
16,0.1,0.5,0.016184216197656236
17,0.1,0.6,0.015587003399142535
18,0.1,0.7,0.016217010907984036
19,0.1,0.8,0.11132152083919879
20,0.1,0.9,3.032747049056394
21,0.1,0.99,0.14226616215146173
22,0.2,0.01,0.04943226437450884
23,0.2,0.1,0.051352127354118926
24,0.2,0.2,0.04947637994661021
25,0.2,0.3,0.05394868119303093
26,0.2,0.4,0.050235146525124036
27,0.2,0.5,0.05631542001000413
28,0.2,0.6,0.049759331292554
29,0.2,0.7,0.15183611817086387
30,0.2,0.8,2.608119452614395
31,0.2,0.9,0.21575421427959093
32,0.2,0.99,0.09652270508374265
33,0.3,0.01,0.09535867800516089
34,0.3,0.1,0.10459569314695422
35,0.3,0.2,0.10533693816818618
36,0.3,0.3,0.0985407027492082
37,0.3,0.4,0.09692460479290818
38,0.3,0.5,0.10969834886555592
39,0.3,0.6,0.15695642179093677
40,0.3,0.7,2.229158360874674
41,0.3,0.8,0.3457409323533187
42,0.3,0.9,0.14868076756175572
43,0.3,0.99,0.1263295377462878
44,0.4,0.01,0.1676475459650711
45,0.4,0.1,0.1468276375711099
46,0.4,0.2,0.1485544171280665
47,0.4,0.3,0.1317804248709221
48,0.4,0.4,0.15659114528533036
49,0.4,0.5,0.19986164414482888
50,0.4,0.6,1.3719079783938117
51,0.4,0.7,0.467260114177642
52,0.4,0.8,0.19494383718468394
53,0.4,0.9,0.17143391034413502
54,0.4,0.99,0.16654184945675524
55,0.5,0.01,0.17683829124754924
56,0.5,0.1,0.18941053976132924
57,0.5,0.2,0.1814119630625616
58,0.5,0.3,0.19024833684518927
59,0.5,0.4,0.2862499112207072
60,0.5,0.5,0.6298165568916508
61,0.5,0.6,0.32843234413982614
62,0.5,0.7,0.17571854721826738
63,0.5,0.8,0.18918924035404877
64,0.5,0.9,0.1978958330477108
65,0.5,0.99,0.17247046145691403
66,0.6,0.01,0.14909597250004192
67,0.6,0.1,0.16564107259516442
68,0.6,0.2,0.20807744356501356
69,0.6,0.3,0.375804641516871
70,0.6,0.4,1.3371883149799753
71,0.6,0.5,0.27670849604749004
72,0.6,0.6,0.1429626253606669
73,0.6,0.7,0.13702259595133348
74,0.6,0.8,0.13869583666856417
75,0.6,0.9,0.14861586211999164
76,0.6,0.99,0.15137342578078422
77,0.7,0.01,0.12629137289796152
78,0.7,0.1,0.15610643929152201
79,0.7,0.2,0.3409506836372725
80,0.7,0.3,1.9223692449644145
81,0.7,0.4,0.3405084516110512
82,0.7,0.5,0.1022466425697885
83,0.7,0.6,0.10369861681490843
84,0.7,0.7,0.08948731814405547
85,0.7,0.8,0.09123768869786206
86,0.7,0.9,0.1046100769772508
87,0.7,0.99,0.09432262929345106
88,0.8,0.01,0.11593367539804203
89,0.8,0.1,0.30606142090172456
90,0.8,0.2,2.1154155043248983
91,0.8,0.3,0.3228803790703427
92,0.8,0.4,0.06807741093106809
93,0.8,0.5,0.0485042582903876
94,0.8,0.6,0.049982993536516224
95,0.8,0.7,0.04954684496736857
96,0.8,0.8,0.05020351225296419
97,0.8,0.9,0.04776342435190122
98,0.8,0.99,0.047951572013822344
99,0.9,0.01,0.25722397500021027
100,0.9,0.1,1.6521408164865514
101,0.9,0.2,0.28683519625945225
102,0.9,0.3,0.0438303271955566
103,0.9,0.4,0.02292325879708706
104,0.9,0.5,0.01720170663263793
105,0.9,0.6,0.018670209375437057
106,0.9,0.7,0.014401630505848381
107,0.9,0.8,0.015219207727380153
108,0.9,0.9,0.018101364683014008
109,0.9,0.99,0.017777245812496092
110,0.99,0.01,0.7547598000713278
111,0.99,0.1,0.1863366870009395
112,0.99,0.2,0.039626654828802045
113,0.99,0.3,0.015364082007590497
114,0.99,0.4,0.008625662347581223
115,0.99,0.5,0.005265814204845438
116,0.99,0.6,0.003927459273377021
117,0.99,0.7,0.0032263611842486433
118,0.99,0.8,0.002922572553432663
119,0.99,0.9,0.0023967314069669354
120,0.99,0.99,0.0020951636732034016
