,P,cost,value
0,0.01,0.01,0.00030882261301282696
1,0.01,0.1,0.0002508276750555529
2,0.01,0.2,0.00032951775254863786
3,0.01,0.3,0.00036473705364969294
4,0.01,0.4,0.0003274084621790496
5,0.01,0.5,0.0006855053841986178
6,0.01,0.6,0.0008097476025260425
7,0.01,0.7,0.0011160247522065357
8,0.01,0.8,0.0027449826633182224
9,0.01,0.9,0.022466412218771548
10,0.01,0.99,2.1984413377714023
11,0.1,0.01,0.0005114388463296287
12,0.1,0.1,0.0006058645252395152
13,0.1,0.2,0.0006631321548218411
14,0.1,0.3,0.0010191803114884112
15,0.1,0.4,0.0013128740263423926
16,0.1,0.5,0.001682213658535838
17,0.1,0.6,0.0029438724960257697
18,0.1,0.7,0.007296971779252164
19,0.1,0.8,0.033018615860382884
20,0.1,0.9,1.8990831745745145
21,0.1,0.99,0.04552334294390761
22,0.2,0.01,0.0009629887379923455
23,0.2,0.1,0.0011341377793468936
24,0.2,0.2,0.0012097128689392295
25,0.2,0.3,0.0017901335273884308
26,0.2,0.4,0.0030048469703279628
27,0.2,0.5,0.004834826757878399
28,0.2,0.6,0.010717802058746572
29,0.2,0.7,0.039769997804011956
30,0.2,0.8,1.4711454109561592
31,0.2,0.9,0.07162812901107755
32,0.2,0.99,0.012753820496849515
33,0.3,0.01,0.0012981605960579409
34,0.3,0.1,0.001814780452899908
35,0.3,0.2,0.002288003161378737
36,0.3,0.3,0.004009232024061242
37,0.3,0.4,0.00548585146269516
38,0.3,0.5,0.012847081449683757
39,0.3,0.6,0.0497310355573441
40,0.3,0.7,1.255896502913372
41,0.3,0.8,0.10592324403758341
42,0.3,0.9,0.022304233866492218
43,0.3,0.99,0.008058602711147153
44,0.4,0.01,0.002446118852371865
45,0.4,0.1,0.0028212840297767014
46,0.4,0.2,0.004240967242933569
47,0.4,0.3,0.008380542121697566
48,0.4,0.4,0.01341481015987068
49,0.4,0.5,0.06039132337042616
50,0.4,0.6,0.9522893718371042
51,0.4,0.7,0.16499381585724368
52,0.4,0.8,0.0239208777523639
53,0.4,0.9,0.009644152126067137
54,0.4,0.99,0.004511611931377467
55,0.5,0.01,0.0036984296354802197
56,0.5,0.1,0.005456768604922793
57,0.5,0.2,0.008470933451368583
58,0.5,0.3,0.021169406161166086
59,0.5,0.4,0.10213488614174046
60,0.5,0.5,0.5880389055886444
61,0.5,0.6,0.1905191445178373
62,0.5,0.7,0.02487937337500447
63,0.5,0.8,0.01043889799437163
64,0.5,0.9,0.0052692848853898265
65,0.5,0.99,0.004028203249316879
66,0.6,0.01,0.00625942297499495
67,0.6,0.1,0.009071985365947449
68,0.6,0.2,0.02565503927191808
69,0.6,0.3,0.11423593042819133
70,0.6,0.4,0.5224815792703288
71,0.6,0.5,0.2010240890863012
72,0.6,0.6,0.03481135877294144
73,0.6,0.7,0.011220760418420569
74,0.6,0.8,0.00722581391694538
75,0.6,0.9,0.0039780035665986525
76,0.6,0.99,0.0029234816346091416
77,0.7,0.01,0.011904792160439066
78,0.7,0.1,0.02517553754585536
79,0.7,0.2,0.12034231869973139
80,0.7,0.3,0.9616742343443128
81,0.7,0.4,0.21721064874621274
82,0.7,0.5,0.043993926780692985
83,0.7,0.6,0.015317391183981625
84,0.7,0.7,0.007610925151039974
85,0.7,0.8,0.0048574139456403565
86,0.7,0.9,0.003177728739612233
87,0.7,0.99,0.0027447192874931288
88,0.8,0.01,0.027219955040012844
89,0.8,0.1,0.11293763184291411
90,0.8,0.2,1.406432545697478
91,0.8,0.3,0.17799290134076085
92,0.8,0.4,0.03896586459456549
93,0.8,0.5,0.015417921902792044
94,0.8,0.6,0.007036091331706722
95,0.8,0.7,0.005090549509842538
96,0.8,0.8,0.00393219758344156
97,0.8,0.9,0.0027957584929202616
98,0.8,0.99,0.002390192954679274
99,0.9,0.01,0.13476847640090922
100,0.9,0.1,1.128592695588644
101,0.9,0.2,0.2167896945973001
102,0.9,0.3,0.036500013161198414
103,0.9,0.4,0.017150238327390686
104,0.9,0.5,0.008792989545574293
105,0.9,0.6,0.005575218752454475
106,0.9,0.7,0.0033557919043650177
107,0.9,0.8,0.002981343453654777
108,0.9,0.9,0.002008894082661154
109,0.9,0.99,0.0018016937790253681
110,0.99,0.01,0.7640982633612159
111,0.99,0.1,0.27191048398763484
112,0.99,0.2,0.04541239324602413
113,0.99,0.3,0.01524386919992898
114,0.99,0.4,0.008425746443795989
115,0.99,0.5,0.004771184123643859
116,0.99,0.6,0.003518978138292175
117,0.99,0.7,0.0028767113233449273
118,0.99,0.8,0.002189405083783228
119,0.99,0.9,0.0016725507214928293
120,0.99,0.99,0.0014815582626359347
