,P,cost,value
0,0.01,0.01,0.7819000975013646
1,0.01,0.1,0.7376435034732252
2,0.01,0.2,0.6508806894937191
3,0.01,0.3,0.6314349028639235
4,0.01,0.4,0.7068369592421696
5,0.01,0.5,0.6846661203238824
6,0.01,0.6,0.6566258904227944
7,0.01,0.7,0.7047236151572835
8,0.01,0.8,0.7460829866618613
9,0.01,0.9,0.7362095765251224
10,0.01,0.99,2.4079183939945246
11,0.1,0.01,0.5079649853305761
12,0.1,0.1,0.6141804303089305
13,0.1,0.2,0.5674061060752953
14,0.1,0.3,0.5583661709874729
15,0.1,0.4,0.5689777507973652
16,0.1,0.5,0.5588958128931072
17,0.1,0.6,0.61764687767343
18,0.1,0.7,0.6001545959473854
19,0.1,0.8,0.8782350782091929
20,0.1,0.9,2.1917186158610114
21,0.1,0.99,0.38833296492642233
22,0.2,0.01,0.2753152549653691
23,0.2,0.1,0.26247970552052624
24,0.2,0.2,0.25215280250991656
25,0.2,0.3,0.2876820169977098
26,0.2,0.4,0.2888471408084981
27,0.2,0.5,0.3379721640493183
28,0.2,0.6,0.37637706135402726
29,0.2,0.7,0.7203841091789887
30,0.2,0.8,2.609308560581409
31,0.2,0.9,0.1010682296029053
32,0.2,0.99,0.15667751499536603
33,0.3,0.01,0.13018439651437172
34,0.3,0.1,0.1254213925702791
35,0.3,0.2,0.13411879909052674
36,0.3,0.3,0.14886934506900273
37,0.3,0.4,0.18093070910039044
38,0.3,0.5,0.25177589744385115
39,0.3,0.6,0.5452736246820732
40,0.3,0.7,2.963199010495771
41,0.3,0.8,0.11349918363219441
42,0.3,0.9,0.04288373867889518
43,0.3,0.99,0.06686805072545543
44,0.4,0.01,0.06801403344421993
45,0.4,0.1,0.09108372968912887
46,0.4,0.2,0.10591819060826688
47,0.4,0.3,0.13568466274989158
48,0.4,0.4,0.17544638826196055
49,0.4,0.5,0.562904274602331
50,0.4,0.6,2.7320484856425997
51,0.4,0.7,0.2561163633764677
52,0.4,0.8,0.024516997758864883
53,0.4,0.9,0.019887212681844124
54,0.4,0.99,0.02380384652183962
55,0.5,0.01,0.05378053235380162
56,0.5,0.1,0.06638673537366455
57,0.5,0.2,0.1002358768305958
58,0.5,0.3,0.13642698947193804
59,0.5,0.4,0.48588391968398714
60,0.5,0.5,2.951096035199454
61,0.5,0.6,0.34817346938670957
62,0.5,0.7,0.029780649332342646
63,0.5,0.8,0.011984540646104127
64,0.5,0.9,0.00894091341509652
65,0.5,0.99,0.010893789520750898
66,0.6,0.01,0.04732317753013666
67,0.6,0.1,0.06248885029952088
68,0.6,0.2,0.1395423518186391
69,0.6,0.3,0.4045369069582503
70,0.6,0.4,2.5937454375445457
71,0.6,0.5,0.3777569418095411
72,0.6,0.6,0.04659857082950762
73,0.6,0.7,0.012250939957844008
74,0.6,0.8,0.007281813926646418
75,0.6,0.9,0.0069040440633178326
76,0.6,0.99,0.0063602280196991354
77,0.7,0.01,0.05722947167597456
78,0.7,0.1,0.10152444561437447
79,0.7,0.2,0.3154604249446422
80,0.7,0.3,2.3989553451179435
81,0.7,0.4,0.4154704582531992
82,0.7,0.5,0.068487613747407
83,0.7,0.6,0.017346781977386098
84,0.7,0.7,0.007891636680814513
85,0.7,0.8,0.005243650619203714
86,0.7,0.9,0.004854134164200152
87,0.7,0.99,0.004100293668355353
88,0.8,0.01,0.073506699790447
89,0.8,0.1,0.2762417922073178
90,0.8,0.2,2.2519339682294195
91,0.8,0.3,0.36573100073998305
92,0.8,0.4,0.058848518428106476
93,0.8,0.5,0.018759370887614913
94,0.8,0.6,0.007681678871581449
95,0.8,0.7,0.005092776915933982
96,0.8,0.8,0.003942262499761491
97,0.8,0.9,0.003211434655539998
98,0.8,0.99,0.0030605928826406377
99,0.9,0.01,0.2318354117231908
100,0.9,0.1,1.6442120853831057
101,0.9,0.2,0.30457903823316046
102,0.9,0.3,0.043326600740215285
103,0.9,0.4,0.018563538355745784
104,0.9,0.5,0.009221776042804254
105,0.9,0.6,0.005636460150149861
106,0.9,0.7,0.003419793754565231
107,0.9,0.8,0.003030674503360429
108,0.9,0.9,0.002184147020415249
109,0.9,0.99,0.001820048670385819
110,0.99,0.01,0.7520558274623754
111,0.99,0.1,0.18741299806674702
112,0.99,0.2,0.039531630446134856
113,0.99,0.3,0.015728079752997705
114,0.99,0.4,0.008583815088550488
115,0.99,0.5,0.004653781956980888
116,0.99,0.6,0.003528932527577947
117,0.99,0.7,0.002896404736738207
118,0.99,0.8,0.0022029311320586136
119,0.99,0.9,0.0016661181515380736
120,0.99,0.99,0.0014655657216804702
