,P,cost,value
0,0.01,0.01,0.7135467692518143
1,0.01,0.1,0.6675136592015757
2,0.01,0.2,0.6295230041123996
3,0.01,0.3,0.5732160322794121
4,0.01,0.4,0.6623831100954548
5,0.01,0.5,0.6349862118670536
6,0.01,0.6,0.6357621011795014
7,0.01,0.7,0.6832538318063198
8,0.01,0.8,0.6957991580483691
9,0.01,0.9,0.6981399162772588
10,0.01,0.99,1.941144890470745
11,0.1,0.01,0.3073288378574351
12,0.1,0.1,0.3903790561300607
13,0.1,0.2,0.3367682155662293
14,0.1,0.3,0.34707011174946945
15,0.1,0.4,0.34700440854185605
16,0.1,0.5,0.3252104447572635
17,0.1,0.6,0.3824525568758969
18,0.1,0.7,0.3739597132058732
19,0.1,0.8,0.4841830240509287
20,0.1,0.9,0.583132185129184
21,0.1,0.99,0.30766511022971704
22,0.2,0.01,0.2772988179781556
23,0.2,0.1,0.2556425408663589
24,0.2,0.2,0.26477568114236366
25,0.2,0.3,0.2425393807477318
26,0.2,0.4,0.25311817839592265
27,0.2,0.5,0.2623330973897856
28,0.2,0.6,0.2750628571692699
29,0.2,0.7,0.4173275768457458
30,0.2,0.8,0.5661645993728005
31,0.2,0.9,0.27612333437677095
32,0.2,0.99,0.25339847008519845
33,0.3,0.01,0.20751063306144946
34,0.3,0.1,0.25484222232588744
35,0.3,0.2,0.20762412089730206
36,0.3,0.3,0.21750451459744854
37,0.3,0.4,0.23382398915270428
38,0.3,0.5,0.24357469698795342
39,0.3,0.6,0.33374829300726877
40,0.3,0.7,0.6139338675569146
41,0.3,0.8,0.2944273536655347
42,0.3,0.9,0.19828709967390623
43,0.3,0.99,0.22283108860155315
44,0.4,0.01,0.2201129467204324
45,0.4,0.1,0.2163362014559439
46,0.4,0.2,0.19535285426463836
47,0.4,0.3,0.19250244172786518
48,0.4,0.4,0.22614942562697996
49,0.4,0.5,0.39642857897596473
50,0.4,0.6,0.6211241731597038
51,0.4,0.7,0.3492858281868615
52,0.4,0.8,0.21789762085024356
53,0.4,0.9,0.20256665983028013
54,0.4,0.99,0.21822056596357164
55,0.5,0.01,0.20483537284324813
56,0.5,0.1,0.2142067738029008
57,0.5,0.2,0.20065841211926702
58,0.5,0.3,0.21055726320739865
59,0.5,0.4,0.3016405512423769
60,0.5,0.5,0.5981432274598274
61,0.5,0.6,0.35438209710385227
62,0.5,0.7,0.20034144573399307
63,0.5,0.8,0.21602585762023066
64,0.5,0.9,0.23281523529981363
65,0.5,0.99,0.19623662493230937
66,0.6,0.01,0.21602087245973256
67,0.6,0.1,0.20108293887689352
68,0.6,0.2,0.2200982301541217
69,0.6,0.3,0.32009758967834423
70,0.6,0.4,0.62151533025937
71,0.6,0.5,0.3037272188975336
72,0.6,0.6,0.21759958908337979
73,0.6,0.7,0.196304509866503
74,0.6,0.8,0.18131072560097994
75,0.6,0.9,0.22143361565797692
76,0.6,0.99,0.21554237130205714
77,0.7,0.01,0.24861159651887155
78,0.7,0.1,0.19916344944431505
79,0.7,0.2,0.30935809288403715
80,0.7,0.3,0.5357492760314518
81,0.7,0.4,0.34569889868652115
82,0.7,0.5,0.24911094659349792
83,0.7,0.6,0.22972607274831364
84,0.7,0.7,0.19996451014823552
85,0.7,0.8,0.20484579497839667
86,0.7,0.9,0.21529274524096442
87,0.7,0.99,0.24587973039786742
88,0.8,0.01,0.27392652269842604
89,0.8,0.1,0.3117004052432781
90,0.8,0.2,0.5882178799441794
91,0.8,0.3,0.36821037958285
92,0.8,0.4,0.2929002798734737
93,0.8,0.5,0.264586787020481
94,0.8,0.6,0.269450301750278
95,0.8,0.7,0.28322716615963156
96,0.8,0.8,0.26186983565603594
97,0.8,0.9,0.2466829281628685
98,0.8,0.99,0.2306477813231667
99,0.9,0.01,0.3160710488694707
100,0.9,0.1,0.618435052126117
101,0.9,0.2,0.3844732641380584
102,0.9,0.3,0.3815555602582424
103,0.9,0.4,0.3691969761680173
104,0.9,0.5,0.3352159783189354
105,0.9,0.6,0.32590448082587675
106,0.9,0.7,0.30814267445728033
107,0.9,0.8,0.3531860712331625
108,0.9,0.9,0.37212512354345495
109,0.9,0.99,0.3398160829864917
110,0.99,0.01,0.6871152109297646
111,0.99,0.1,0.7078655936831519
112,0.99,0.2,0.5747675332795908
113,0.99,0.3,0.6315072621834519
114,0.99,0.4,0.6710050101109719
115,0.99,0.5,0.664103158838089
116,0.99,0.6,0.6674779191636858
117,0.99,0.7,0.5517061661130178
118,0.99,0.8,0.6787674295078128
119,0.99,0.9,0.6545932941692263
120,0.99,0.99,0.6795267070337991
