,P,cost,value
0,0.01,0.01,0.00030882261301282696
1,0.01,0.1,0.0002508276750555529
2,0.01,0.2,0.00032951775254863786
3,0.01,0.3,0.0003485389256551373
4,0.01,0.4,0.0003274084621790496
5,0.01,0.5,0.0004890169322719418
6,0.01,0.6,0.0007924393576753284
7,0.01,0.7,0.0009790384075508212
8,0.01,0.8,0.002147150674569714
9,0.01,0.9,0.009673518688681075
10,0.01,0.99,1.7263023447147872
11,0.1,0.01,0.000490216600559681
12,0.1,0.1,0.0005346263438060583
13,0.1,0.2,0.0006528737743673142
14,0.1,0.3,0.0009399556780999455
15,0.1,0.4,0.0012447804740444701
16,0.1,0.5,0.0017572118736244914
17,0.1,0.6,0.002762283395310157
18,0.1,0.7,0.006998876342606156
19,0.1,0.8,0.0342775521840834
20,0.1,0.9,0.7081633553779249
21,0.1,0.99,0.04550852244612738
22,0.2,0.01,0.0009199599505021834
23,0.2,0.1,0.0010611229678918841
24,0.2,0.2,0.0011758095294926731
25,0.2,0.3,0.0018240380091918194
26,0.2,0.4,0.0029912397215545654
27,0.2,0.5,0.0046343305987475315
28,0.2,0.6,0.011459888143251912
29,0.2,0.7,0.05099183745418451
30,0.2,0.8,0.656777721131573
31,0.2,0.9,0.06669576341222257
32,0.2,0.99,0.012753820496849515
33,0.3,0.01,0.0012451281365741037
34,0.3,0.1,0.001756990274503833
35,0.3,0.2,0.0022952272536089246
36,0.3,0.3,0.0040851586885559486
37,0.3,0.4,0.005681954960719371
38,0.3,0.5,0.014036042262719494
39,0.3,0.6,0.06689838210683283
40,0.3,0.7,0.7330567171341801
41,0.3,0.8,0.09446637075604813
42,0.3,0.9,0.021891653567598753
43,0.3,0.99,0.008058602711147153
44,0.4,0.01,0.0024061060319266916
45,0.4,0.1,0.002834326073716794
46,0.4,0.2,0.0043190769075680275
47,0.4,0.3,0.008496272873169435
48,0.4,0.4,0.013633053071823243
49,0.4,0.5,0.07118439919317746
50,0.4,0.6,0.6273058769674532
51,0.4,0.7,0.15398754287759042
52,0.4,0.8,0.02321798953549323
53,0.4,0.9,0.009575893655798234
54,0.4,0.99,0.004511611931377467
55,0.5,0.01,0.0036984296354802197
56,0.5,0.1,0.005456768604922793
57,0.5,0.2,0.008470933451368583
58,0.5,0.3,0.021169406161166086
59,0.5,0.4,0.10213488614174046
60,0.5,0.5,0.5953187222486639
61,0.5,0.6,0.1913073795877973
62,0.5,0.7,0.02487937337500447
63,0.5,0.8,0.01043889799437163
64,0.5,0.9,0.0052692848853898265
65,0.5,0.99,0.004028203249316879
66,0.6,0.01,0.006349174154474205
67,0.6,0.1,0.009169460934372342
68,0.6,0.2,0.023220594823172257
69,0.6,0.3,0.09918935506066076
70,0.6,0.4,0.670072402678487
71,0.6,0.5,0.21568777973864636
72,0.6,0.6,0.03520617939873842
73,0.6,0.7,0.011273125773819174
74,0.6,0.8,0.00722581391694538
75,0.6,0.9,0.0039780035665986525
76,0.6,0.99,0.0029234816346091416
77,0.7,0.01,0.012450261355755646
78,0.7,0.1,0.02359739932383942
79,0.7,0.2,0.09505858320580332
80,0.7,0.3,0.56968864756278
81,0.7,0.4,0.2568807594832105
82,0.7,0.5,0.046281258776958635
83,0.7,0.6,0.015416980713876701
84,0.7,0.7,0.007633952822329171
85,0.7,0.8,0.0048574139456403565
86,0.7,0.9,0.003177728739612233
87,0.7,0.99,0.0027447192874931288
88,0.8,0.01,0.03471009518031806
89,0.8,0.1,0.0863074331158423
90,0.8,0.2,0.663850736334397
91,0.8,0.3,0.2387379490681402
92,0.8,0.4,0.04251822687470205
93,0.8,0.5,0.015914015666787282
94,0.8,0.6,0.007004089605299385
95,0.8,0.7,0.00508582186579759
96,0.8,0.8,0.00393219758344156
97,0.8,0.9,0.0027957584929202616
98,0.8,0.99,0.002390192954679274
99,0.9,0.01,0.4464600722499136
100,0.9,0.1,1.5041888537662893
101,0.9,0.2,0.2477106046561795
102,0.9,0.3,0.03625544260387147
103,0.9,0.4,0.017100554931020064
104,0.9,0.5,0.008703568924966504
105,0.9,0.6,0.005552348075634778
106,0.9,0.7,0.003355694404678266
107,0.9,0.8,0.002981343453654777
108,0.9,0.9,0.002008894082661154
109,0.9,0.99,0.0018016937790253681
110,0.99,0.01,0.7602799818204758
111,0.99,0.1,0.18640365327495248
112,0.99,0.2,0.04034900279500941
113,0.99,0.3,0.01521913441814908
114,0.99,0.4,0.008353008397822954
115,0.99,0.5,0.004712401076416388
116,0.99,0.6,0.003518978138292175
117,0.99,0.7,0.0028767113233449273
118,0.99,0.8,0.002189405083783228
119,0.99,0.9,0.0016725507214928293
120,0.99,0.99,0.0014815582626359347
