,P,cost,value
0,0.01,0.01,0.0005168273652190854
1,0.01,0.1,0.00047144460517211984
2,0.01,0.2,0.0005656907902820162
3,0.01,0.3,0.0005172586403271566
4,0.01,0.4,0.00046781271205768426
5,0.01,0.5,0.0004899715932825369
6,0.01,0.6,0.0009542976198521316
7,0.01,0.7,0.0019521500757233162
8,0.01,0.8,0.006543355681371262
9,0.01,0.9,0.03692520802380874
10,0.01,0.99,3.7784475796274726
11,0.1,0.01,0.002411902573666099
12,0.1,0.1,0.0025147513230117814
13,0.1,0.2,0.0021893996911977456
14,0.1,0.3,0.0021943263972206994
15,0.1,0.4,0.0018871695488315225
16,0.1,0.5,0.0017002242049201518
17,0.1,0.6,0.004703524492411382
18,0.1,0.7,0.02049976360613446
19,0.1,0.8,0.1374076242658976
20,0.1,0.9,3.1161741460799712
21,0.1,0.99,0.12093186870310836
22,0.2,0.01,0.0059033940011766605
23,0.2,0.1,0.005453122684018695
24,0.2,0.2,0.005603635036666157
25,0.2,0.3,0.005208749504290174
26,0.2,0.4,0.004882225062109008
27,0.2,0.5,0.004656343908496333
28,0.2,0.6,0.02396137304794428
29,0.2,0.7,0.18830841489957797
30,0.2,0.8,2.8661237140504237
31,0.2,0.9,0.19006617355050645
32,0.2,0.99,0.061234327067774826
33,0.3,0.01,0.014806212509360843
34,0.3,0.1,0.014068203696025666
35,0.3,0.2,0.015105286036291186
36,0.3,0.3,0.013571762243063633
37,0.3,0.4,0.01381821438440596
38,0.3,0.5,0.014123846787549254
39,0.3,0.6,0.17268186668822336
40,0.3,0.7,2.8900223769356153
41,0.3,0.8,0.3560490652327565
42,0.3,0.9,0.11969182904487821
43,0.3,0.99,0.07241212266937777
44,0.4,0.01,0.069440962701751
45,0.4,0.1,0.07844804697860806
46,0.4,0.2,0.06180356022635983
47,0.4,0.3,0.05772489202211599
48,0.4,0.4,0.05639906519924004
49,0.4,0.5,0.07150669456750704
50,0.4,0.6,2.2777098964058924
51,0.4,0.7,0.7029963198270424
52,0.4,0.8,0.26462310767905156
53,0.4,0.9,0.17963016949109015
54,0.4,0.99,0.16775645810560663
55,0.5,0.01,0.540113410319087
56,0.5,0.1,0.6559818469355863
57,0.5,0.2,0.6079808247297506
58,0.5,0.3,0.6258386493016044
59,0.5,0.4,0.6701560077225545
60,0.5,0.5,0.5916124174307665
61,0.5,0.6,0.732803175930693
62,0.5,0.7,0.5664770680791144
63,0.5,0.8,0.61135538434533
64,0.5,0.9,0.6887573830515059
65,0.5,0.99,0.5699018184272607
66,0.6,0.01,0.15583995589787783
67,0.6,0.1,0.1913525753236297
68,0.6,0.2,0.29281788448067286
69,0.6,0.3,0.5613855807277388
70,0.6,0.4,2.4788059161202276
71,0.6,0.5,0.21566609277756765
72,0.6,0.6,0.04389209407544355
73,0.6,0.7,0.050294697805555136
74,0.6,0.8,0.0645341524059721
75,0.6,0.9,0.07809757359279161
76,0.6,0.99,0.0734037590941074
77,0.7,0.01,0.0939215109034272
78,0.7,0.1,0.14679659241875678
79,0.7,0.2,0.3626925788891059
80,0.7,0.3,2.3769023865700496
81,0.7,0.4,0.3601018670335968
82,0.7,0.5,0.046477125724030476
83,0.7,0.6,0.01606842299859677
84,0.7,0.7,0.012441662345254673
85,0.7,0.8,0.014969536916613155
86,0.7,0.9,0.016553559354663287
87,0.7,0.99,0.015492455973824858
88,0.8,0.01,0.08894254346725383
89,0.8,0.1,0.30008476325860356
90,0.8,0.2,2.2541886466900105
91,0.8,0.3,0.3416662682971621
92,0.8,0.4,0.05014665564331825
93,0.8,0.5,0.015580106671230786
94,0.8,0.6,0.007483158178912193
95,0.8,0.7,0.006013436437948589
96,0.8,0.8,0.005490840942790931
97,0.8,0.9,0.005842811480850598
98,0.8,0.99,0.006381548240078721
99,0.9,0.01,0.23877711478673413
100,0.9,0.1,1.6505485308006904
101,0.9,0.2,0.29802443624705177
102,0.9,0.3,0.041114792427829186
103,0.9,0.4,0.017551044965515048
104,0.9,0.5,0.008723273265051873
105,0.9,0.6,0.0056769522168305265
106,0.9,0.7,0.003746343370811712
107,0.9,0.8,0.003627673073097752
108,0.9,0.9,0.002830076025374879
109,0.9,0.99,0.002578454800313838
110,0.99,0.01,0.7530304622035487
111,0.99,0.1,0.18713414904027517
112,0.99,0.2,0.039671567516982593
113,0.99,0.3,0.015470973640265286
114,0.99,0.4,0.00841781808244578
115,0.99,0.5,0.0047039516883720925
116,0.99,0.6,0.0034943340499155257
117,0.99,0.7,0.0028816709947895357
118,0.99,0.8,0.0022600702020301997
119,0.99,0.9,0.0017066457820160972
120,0.99,0.99,0.0015170398161775498
