,P,cost,value
0,0.01,0.01,0.0019195837843969305
1,0.01,0.1,0.001882193124541406
2,0.01,0.2,0.002050573140600536
3,0.01,0.3,0.0018506920257811707
4,0.01,0.4,0.0019334856375885566
5,0.01,0.5,0.0019982359968514405
6,0.01,0.6,0.0020882943337706458
7,0.01,0.7,0.0014638785186213972
8,0.01,0.8,0.0034056066071828043
9,0.01,0.9,0.03072976942836053
10,0.01,0.99,3.7501811674816388
11,0.1,0.01,0.01652147209360863
12,0.1,0.1,0.014938536665955973
13,0.1,0.2,0.01617125069767227
14,0.1,0.3,0.015675577026419175
15,0.1,0.4,0.015509612140607561
16,0.1,0.5,0.01618628461814373
17,0.1,0.6,0.015570498831396053
18,0.1,0.7,0.016174830756250203
19,0.1,0.8,0.11133031551567998
20,0.1,0.9,3.032750675401019
21,0.1,0.99,0.14228487913881266
22,0.2,0.01,0.04947646080645815
23,0.2,0.1,0.05138466868204805
24,0.2,0.2,0.04948879486631783
25,0.2,0.3,0.05394532030765131
26,0.2,0.4,0.05021667359500406
27,0.2,0.5,0.056287704650686
28,0.2,0.6,0.04971257156419953
29,0.2,0.7,0.1517990752994527
30,0.2,0.8,2.6080281969604835
31,0.2,0.9,0.2157412745081675
32,0.2,0.99,0.09646694558648641
33,0.3,0.01,0.09531745173752112
34,0.3,0.1,0.10457996077715505
35,0.3,0.2,0.1053902934986577
36,0.3,0.3,0.09851025879194604
37,0.3,0.4,0.09695098865152783
38,0.3,0.5,0.10975030976822026
39,0.3,0.6,0.15693871499561207
40,0.3,0.7,2.2291906594248494
41,0.3,0.8,0.34580068650798096
42,0.3,0.9,0.14869195404608343
43,0.3,0.99,0.12635252303412872
44,0.4,0.01,0.1677849197664255
45,0.4,0.1,0.14689493939687825
46,0.4,0.2,0.14850442750572537
47,0.4,0.3,0.1318136828010421
48,0.4,0.4,0.15656131591234493
49,0.4,0.5,0.19983558021954204
50,0.4,0.6,1.3719597518704312
51,0.4,0.7,0.46741314082893176
52,0.4,0.8,0.1950233651978012
53,0.4,0.9,0.17152044768455946
54,0.4,0.99,0.1664590055348545
55,0.5,0.01,0.176865467669222
56,0.5,0.1,0.18940311046606995
57,0.5,0.2,0.18139342964595528
58,0.5,0.3,0.19030133028766544
59,0.5,0.4,0.28625408142942144
60,0.5,0.5,0.6298207114278082
61,0.5,0.6,0.32839520689794877
62,0.5,0.7,0.17573592699400092
63,0.5,0.8,0.18920793598776842
64,0.5,0.9,0.19790279752786777
65,0.5,0.99,0.1724524781158485
66,0.6,0.01,0.14909892526320773
67,0.6,0.1,0.16560149977358826
68,0.6,0.2,0.20807068070675783
69,0.6,0.3,0.3758407781372914
70,0.6,0.4,1.3372106827622035
71,0.6,0.5,0.27667332620960666
72,0.6,0.6,0.1429372115764186
73,0.6,0.7,0.13687338742609073
74,0.6,0.8,0.13864929380253102
75,0.6,0.9,0.14876250859327508
76,0.6,0.99,0.15130850522148068
77,0.7,0.01,0.12627223738083174
78,0.7,0.1,0.1561322731513511
79,0.7,0.2,0.340941514227393
80,0.7,0.3,1.9224124049927138
81,0.7,0.4,0.34046510615583564
82,0.7,0.5,0.10220864320810336
83,0.7,0.6,0.10361982124790224
84,0.7,0.7,0.08951724356906422
85,0.7,0.8,0.09124742036177699
86,0.7,0.9,0.10457447829797141
87,0.7,0.99,0.0942805743154481
88,0.8,0.01,0.11590548319793405
89,0.8,0.1,0.30609226720128385
90,0.8,0.2,2.1154599810512695
91,0.8,0.3,0.3228705624817747
92,0.8,0.4,0.0681002778425237
93,0.8,0.5,0.04853938617253029
94,0.8,0.6,0.04998421378906501
95,0.8,0.7,0.04953215801291341
96,0.8,0.8,0.05022867650954089
97,0.8,0.9,0.04777715778839182
98,0.8,0.99,0.04793549431404146
99,0.9,0.01,0.2571924379180871
100,0.9,0.1,1.652151383502176
101,0.9,0.2,0.28674755711147226
102,0.9,0.3,0.04384514502953727
103,0.9,0.4,0.022910255529894636
104,0.9,0.5,0.017228637007490687
105,0.9,0.6,0.018693722032317724
106,0.9,0.7,0.014385601300067618
107,0.9,0.8,0.015227096939583826
108,0.9,0.9,0.01810004709040041
109,0.9,0.99,0.017782657408372027
110,0.99,0.01,0.7547814733775717
111,0.99,0.1,0.18633506926750548
112,0.99,0.2,0.03962887923743852
113,0.99,0.3,0.01537640894872681
114,0.99,0.4,0.00863614445214348
115,0.99,0.5,0.0052735424813500475
116,0.99,0.6,0.003936206938141128
117,0.99,0.7,0.0032302569239637635
118,0.99,0.8,0.002925939101532562
119,0.99,0.9,0.0024205109401723972
120,0.99,0.99,0.002095415578345262
