,P,cost,value
0,0.01,0.01,0.6551856875968574
1,0.01,0.1,0.6455171263311652
2,0.01,0.2,0.6268676260886464
3,0.01,0.3,0.5810068385413594
4,0.01,0.4,0.697593095512571
5,0.01,0.5,0.5935460061220148
6,0.01,0.6,0.6467326752233686
7,0.01,0.7,0.6144672341480426
8,0.01,0.8,0.6906212452514577
9,0.01,0.9,0.6941572664152162
10,0.01,0.99,1.8673402467675042
11,0.1,0.01,0.6271755216749421
12,0.1,0.1,0.7526490305093427
13,0.1,0.2,0.6845186727761464
14,0.1,0.3,0.7341944893169856
15,0.1,0.4,0.7333032164098664
16,0.1,0.5,0.7136529410890553
17,0.1,0.6,0.6632612806035321
18,0.1,0.7,0.7070223523220515
19,0.1,0.8,0.8566965725248444
20,0.1,0.9,0.7926993074668403
21,0.1,0.99,0.6013846727230081
22,0.2,0.01,0.6729866515040177
23,0.2,0.1,0.7394500328956267
24,0.2,0.2,0.7367880989641884
25,0.2,0.3,0.7120573148603508
26,0.2,0.4,0.7332608042548611
27,0.2,0.5,0.7284861351094492
28,0.2,0.6,0.6766823480927044
29,0.2,0.7,0.891829725117722
30,0.2,0.8,0.7429803351585452
31,0.2,0.9,0.6678646168533151
32,0.2,0.99,0.709477038786676
33,0.3,0.01,0.6467707297020289
34,0.3,0.1,0.7849581940458505
35,0.3,0.2,0.6068217419887888
36,0.3,0.3,0.6204076496924629
37,0.3,0.4,0.6826526073822559
38,0.3,0.5,0.7634843777291384
39,0.3,0.6,0.8318179446007765
40,0.3,0.7,0.7773797781245739
41,0.3,0.8,0.6781656422132176
42,0.3,0.9,0.613927347304745
43,0.3,0.99,0.6447537411190251
44,0.4,0.01,0.6895587901981028
45,0.4,0.1,0.6974286678355269
46,0.4,0.2,0.6434714641643164
47,0.4,0.3,0.6576202958233752
48,0.4,0.4,0.6658295268910666
49,0.4,0.5,0.9274941818649338
50,0.4,0.6,0.6986543513102382
51,0.4,0.7,0.7337605203785795
52,0.4,0.8,0.6433135497683152
53,0.4,0.9,0.6523622033053778
54,0.4,0.99,0.7267164308552785
55,0.5,0.01,0.615321883460145
56,0.5,0.1,0.7820634361840401
57,0.5,0.2,0.7403387884367623
58,0.5,0.3,0.7046517202492458
59,0.5,0.4,0.7411049791842799
60,0.5,0.5,0.5998166230094819
61,0.5,0.6,0.800734830897991
62,0.5,0.7,0.6567611456278881
63,0.5,0.8,0.7238712734834858
64,0.5,0.9,0.7849005891072458
65,0.5,0.99,0.6613258705902543
66,0.6,0.01,0.7231668928701425
67,0.6,0.1,0.6855661648689464
68,0.6,0.2,0.6443438045386152
69,0.6,0.3,0.7108428211577816
70,0.6,0.4,0.6456787606463412
71,0.6,0.5,0.6806052383232104
72,0.6,0.6,0.7071591633727663
73,0.6,0.7,0.6747398363512933
74,0.6,0.8,0.5965623093009443
75,0.6,0.9,0.7210838397350008
76,0.6,0.99,0.7368544246720059
77,0.7,0.01,0.7870176809956991
78,0.7,0.1,0.5862507443160476
79,0.7,0.2,0.7391756674382113
80,0.7,0.3,0.5413124528633134
81,0.7,0.4,0.6659217612252306
82,0.7,0.5,0.6859149708876516
83,0.7,0.6,0.5783210002111785
84,0.7,0.7,0.6253158752664227
85,0.7,0.8,0.6223457247068894
86,0.7,0.9,0.7013588126297288
87,0.7,0.99,0.8428432637572003
88,0.8,0.01,0.686970289036496
89,0.8,0.1,0.6997503090969571
90,0.8,0.2,0.6055967053465154
91,0.8,0.3,0.7070414559233171
92,0.8,0.4,0.6977939223300396
93,0.8,0.5,0.755100993098061
94,0.8,0.6,0.6951791134921801
95,0.8,0.7,0.6478956034732413
96,0.8,0.8,0.6758067914613973
97,0.8,0.9,0.715084170119755
98,0.8,0.99,0.6662635566078958
99,0.9,0.01,0.682718139940488
100,0.9,0.1,0.5756223971359945
101,0.9,0.2,0.7227174055867193
102,0.9,0.3,0.7801958366388327
103,0.9,0.4,0.725697527155193
104,0.9,0.5,0.6584231806449569
105,0.9,0.6,0.6925775895963497
106,0.9,0.7,0.6631887274606589
107,0.9,0.8,0.6024827308407048
108,0.9,0.9,0.7482741324096049
109,0.9,0.99,0.6621229134764218
110,0.99,0.01,0.7634863305225121
111,0.99,0.1,0.7252681296700058
112,0.99,0.2,0.6267413337687842
113,0.99,0.3,0.644542679092653
114,0.99,0.4,0.683907454522126
115,0.99,0.5,0.6384450854253948
116,0.99,0.6,0.6358481427650273
117,0.99,0.7,0.5700240883624033
118,0.99,0.8,0.6554713828168203
119,0.99,0.9,0.6291935245903492
120,0.99,0.99,0.6310549387177626
