,P,cost,value
0,0.01,0.01,0.642808800711792
1,0.01,0.1,0.6069476226440653
2,0.01,0.2,0.5932482293010259
3,0.01,0.3,0.583942286396945
4,0.01,0.4,0.6510727218030309
5,0.01,0.5,0.5719202280573094
6,0.01,0.6,0.6080275463324357
7,0.01,0.7,0.6065404588402573
8,0.01,0.8,0.6552547388733534
9,0.01,0.9,0.6636446612286967
10,0.01,0.99,1.9599407011610435
11,0.1,0.01,0.7615655926720704
12,0.1,0.1,0.7084537065108382
13,0.1,0.2,0.7943848380630091
14,0.1,0.3,0.7762919956903678
15,0.1,0.4,0.857918264984529
16,0.1,0.5,0.8692458710555845
17,0.1,0.6,0.6575262430576969
18,0.1,0.7,0.7719382531778547
19,0.1,0.8,0.9317866055430601
20,0.1,0.9,0.7584030826842441
21,0.1,0.99,0.7062170568670467
22,0.2,0.01,0.7604109671796948
23,0.2,0.1,0.8383787003608311
24,0.2,0.2,0.8959108069825235
25,0.2,0.3,0.7722145360150002
26,0.2,0.4,0.8613144881520447
27,0.2,0.5,0.9163278944435181
28,0.2,0.6,0.7474120957290026
29,0.2,0.7,0.9373147188402271
30,0.2,0.8,0.709209827820634
31,0.2,0.9,0.7264773583786961
32,0.2,0.99,0.7708961890903708
33,0.3,0.01,0.8462198719915336
34,0.3,0.1,0.8705385526267486
35,0.3,0.2,0.8088946434710015
36,0.3,0.3,0.7238333249475621
37,0.3,0.4,0.8124987297581264
38,0.3,0.5,0.8589580588801936
39,0.3,0.6,0.8824537489940545
40,0.3,0.7,0.7062665662983791
41,0.3,0.8,0.7088757547128187
42,0.3,0.9,0.6798189989418406
43,0.3,0.99,0.7048483975315444
44,0.4,0.01,0.7738970650223304
45,0.4,0.1,0.8193754516465914
46,0.4,0.2,0.720082814097325
47,0.4,0.3,0.6995547158920603
48,0.4,0.4,0.7542975679870522
49,0.4,0.5,1.0014252301408135
50,0.4,0.6,0.5991653210396151
51,0.4,0.7,0.8465629567970774
52,0.4,0.8,0.7407032436154771
53,0.4,0.9,0.7763597959852468
54,0.4,0.99,0.770431648454763
55,0.5,0.01,0.7481400418572708
56,0.5,0.1,0.7355713218574601
57,0.5,0.2,0.7285306328336459
58,0.5,0.3,0.8574895846501291
59,0.5,0.4,0.8277776113531032
60,0.5,0.5,0.5745823614775459
61,0.5,0.6,0.8650666706411221
62,0.5,0.7,0.7973992020074157
63,0.5,0.8,0.908122250359621
64,0.5,0.9,0.8586974329427964
65,0.5,0.99,0.7451355654212944
66,0.6,0.01,0.8430439891325481
67,0.6,0.1,0.792150252694859
68,0.6,0.2,0.7578019048303258
69,0.6,0.3,0.7226507795127733
70,0.6,0.4,0.6274985400883127
71,0.6,0.5,0.7787208144841988
72,0.6,0.6,0.7633561736914314
73,0.6,0.7,0.7194372635721669
74,0.6,0.8,0.7118093478533537
75,0.6,0.9,0.7827716740879177
76,0.6,0.99,0.7556306123334509
77,0.7,0.01,0.7737422706490905
78,0.7,0.1,0.6001483023830317
79,0.7,0.2,0.8315833709013647
80,0.7,0.3,0.5664652577074208
81,0.7,0.4,0.8216433651704427
82,0.7,0.5,0.7809490586900667
83,0.7,0.6,0.7662473831203275
84,0.7,0.7,0.7958262868743503
85,0.7,0.8,0.7800524834685129
86,0.7,0.9,0.7608357355964247
87,0.7,0.99,0.8505459368616037
88,0.8,0.01,0.8115293215801245
89,0.8,0.1,0.797077218416678
90,0.8,0.2,0.5986347629285766
91,0.8,0.3,0.735334745872122
92,0.8,0.4,0.822236982832797
93,0.8,0.5,0.7839216866415628
94,0.8,0.6,0.8321545790972595
95,0.8,0.7,0.7446762168305823
96,0.8,0.8,0.7001239433074402
97,0.8,0.9,0.7756149833956716
98,0.8,0.99,0.7033792859273836
99,0.9,0.01,0.7285367095356942
100,0.9,0.1,0.5687943177910514
101,0.9,0.2,0.7860174332098012
102,0.9,0.3,0.767002369181387
103,0.9,0.4,0.8935597745702796
104,0.9,0.5,0.7432426363819862
105,0.9,0.6,0.6968011080155313
106,0.9,0.7,0.7248272901757146
107,0.9,0.8,0.7933705251584231
108,0.9,0.9,0.8598762959114981
109,0.9,0.99,0.7666049068237675
110,0.99,0.01,0.7292657907421256
111,0.99,0.1,0.7554949956643324
112,0.99,0.2,0.6238951728213555
113,0.99,0.3,0.6789905895221007
114,0.99,0.4,0.6857888307645545
115,0.99,0.5,0.6909491334969597
116,0.99,0.6,0.6891251682371733
117,0.99,0.7,0.5978645265599052
118,0.99,0.8,0.7027417531683291
119,0.99,0.9,0.7044810333163297
120,0.99,0.99,0.7207938930245001
