,P,cost,value
0,0.01,0.01,0.7653931390730104
1,0.01,0.1,0.7222009779906315
2,0.01,0.2,0.6491513495944433
3,0.01,0.3,0.6177819216233792
4,0.01,0.4,0.6939880746944369
5,0.01,0.5,0.6722842951740078
6,0.01,0.6,0.6571123747451548
7,0.01,0.7,0.7004619309467262
8,0.01,0.8,0.7365334411477247
9,0.01,0.9,0.7290016655990516
10,0.01,0.99,2.2338490449001935
11,0.1,0.01,0.4943008950349797
12,0.1,0.1,0.610093188508147
13,0.1,0.2,0.5254613776793222
14,0.1,0.3,0.5718676207993721
15,0.1,0.4,0.5165116790371735
16,0.1,0.5,0.5040098997468431
17,0.1,0.6,0.5867534131741216
18,0.1,0.7,0.5539776008012424
19,0.1,0.8,0.676749996161254
20,0.1,0.9,0.5477715570658979
21,0.1,0.99,0.4680428077558985
22,0.2,0.01,0.3798395610797437
23,0.2,0.1,0.3539395360150892
24,0.2,0.2,0.3507914986221628
25,0.2,0.3,0.3217544147204232
26,0.2,0.4,0.3341974162757091
27,0.2,0.5,0.3452423620534163
28,0.2,0.6,0.3715425542751006
29,0.2,0.7,0.5084271366320297
30,0.2,0.8,0.5550456863728986
31,0.2,0.9,0.32401600420538723
32,0.2,0.99,0.32901015376297327
33,0.3,0.01,0.24047152904692265
34,0.3,0.1,0.29481463870165736
35,0.3,0.2,0.24123785854769414
36,0.3,0.3,0.2540711592272883
37,0.3,0.4,0.27573028204506206
38,0.3,0.5,0.28174271287181546
39,0.3,0.6,0.36379317673220884
40,0.3,0.7,0.6242418365707052
41,0.3,0.8,0.30596922716398467
42,0.3,0.9,0.21793422407959112
43,0.3,0.99,0.2518180620543151
44,0.4,0.01,0.2289389234835038
45,0.4,0.1,0.22630065140191505
46,0.4,0.2,0.20627754600239645
47,0.4,0.3,0.2001957608947388
48,0.4,0.4,0.2359059554931509
49,0.4,0.5,0.4036980260842466
50,0.4,0.6,0.6198846279177891
51,0.4,0.7,0.3498180905458219
52,0.4,0.8,0.22186115091040057
53,0.4,0.9,0.2042035297434135
54,0.4,0.99,0.22343783864216232
55,0.5,0.01,0.20577335920933112
56,0.5,0.1,0.21610660899553608
57,0.5,0.2,0.20199002215173195
58,0.5,0.3,0.21193434569115283
59,0.5,0.4,0.3034842204611492
60,0.5,0.5,0.6003368068899119
61,0.5,0.6,0.35590634602281335
62,0.5,0.7,0.20106137600627158
63,0.5,0.8,0.21563935503824436
64,0.5,0.9,0.23563436237854285
65,0.5,0.99,0.198698948347582
66,0.6,0.01,0.22392126882470753
67,0.6,0.1,0.2076697197531076
68,0.6,0.2,0.22200753954261698
69,0.6,0.3,0.32140923685960054
70,0.6,0.4,0.6180184506091384
71,0.6,0.5,0.3081310160561565
72,0.6,0.6,0.2310559532571854
73,0.6,0.7,0.20852341132678434
74,0.6,0.8,0.19020997073548213
75,0.6,0.9,0.2318555059314858
76,0.6,0.99,0.22522699833137608
77,0.7,0.01,0.2774380566628985
78,0.7,0.1,0.21380449576518362
79,0.7,0.2,0.3269071953819422
80,0.7,0.3,0.5364787480244387
81,0.7,0.4,0.3657328792711758
82,0.7,0.5,0.27592906691507874
83,0.7,0.6,0.2660944742400355
84,0.7,0.7,0.23566177351874146
85,0.7,0.8,0.2452764655016153
86,0.7,0.9,0.2463007364859301
87,0.7,0.99,0.27816740275369967
88,0.8,0.01,0.33394039550553084
89,0.8,0.1,0.38570083711294895
90,0.8,0.2,0.6029394876735898
91,0.8,0.3,0.4000810644199259
92,0.8,0.4,0.39182568252755395
93,0.8,0.5,0.3439327095435991
94,0.8,0.6,0.3490736781146387
95,0.8,0.7,0.38426086506684004
96,0.8,0.8,0.3454298574344432
97,0.8,0.9,0.32596751470040397
98,0.8,0.99,0.3111913742473465
99,0.9,0.01,0.48816933887462677
100,0.9,0.1,0.6294162744329233
101,0.9,0.2,0.5531934722210144
102,0.9,0.3,0.5509666063932187
103,0.9,0.4,0.5881801628416599
104,0.9,0.5,0.5022794357710472
105,0.9,0.6,0.5215926104135353
106,0.9,0.7,0.5141229122286164
107,0.9,0.8,0.5633720938626962
108,0.9,0.9,0.5973800188420374
109,0.9,0.99,0.5487533944826812
110,0.99,0.01,0.7141475799498037
111,0.99,0.1,0.7430844491702344
112,0.99,0.2,0.611674754920231
113,0.99,0.3,0.6680226606374249
114,0.99,0.4,0.6825452689925536
115,0.99,0.5,0.687235425070945
116,0.99,0.6,0.6842429525521398
117,0.99,0.7,0.5875120006636954
118,0.99,0.8,0.6968178260247324
119,0.99,0.9,0.6927156174068931
120,0.99,0.99,0.7104186481102894
