,P,cost,value
0,0.01,0.01,0.6050082013504311
1,0.01,0.1,0.5815227644378202
2,0.01,0.2,0.5779540559689765
3,0.01,0.3,0.5238992877740247
4,0.01,0.4,0.6434084061637396
5,0.01,0.5,0.5476160278011261
6,0.01,0.6,0.6012748687345302
7,0.01,0.7,0.5617818441359825
8,0.01,0.8,0.632665079960206
9,0.01,0.9,0.6484770144232439
10,0.01,0.99,1.7682655808000454
11,0.1,0.01,0.5294697865860267
12,0.1,0.1,0.6470949627276954
13,0.1,0.2,0.5798666575648721
14,0.1,0.3,0.6372176037394278
15,0.1,0.4,0.6456822259493257
16,0.1,0.5,0.6221760359043988
17,0.1,0.6,0.5949708622935078
18,0.1,0.7,0.6370606716985955
19,0.1,0.8,0.803348693427275
20,0.1,0.9,0.7480199168204031
21,0.1,0.99,0.5269032622989259
22,0.2,0.01,0.5726922957548212
23,0.2,0.1,0.610759510777356
24,0.2,0.2,0.6496077944455627
25,0.2,0.3,0.5901452772390102
26,0.2,0.4,0.63186957584622
27,0.2,0.5,0.6219854683063338
28,0.2,0.6,0.5989370538871331
29,0.2,0.7,0.8373299576354619
30,0.2,0.8,0.7081860142232553
31,0.2,0.9,0.5826790917348875
32,0.2,0.99,0.6103440501722881
33,0.3,0.01,0.5622244269320181
34,0.3,0.1,0.6812139134278706
35,0.3,0.2,0.5406581992149737
36,0.3,0.3,0.5327189974503241
37,0.3,0.4,0.6012864800363312
38,0.3,0.5,0.6568240090434054
39,0.3,0.6,0.7638681026251422
40,0.3,0.7,0.7515282018704189
41,0.3,0.8,0.6222456734672344
42,0.3,0.9,0.5047174872693939
43,0.3,0.99,0.5792134797880149
44,0.4,0.01,0.6295665302597635
45,0.4,0.1,0.5940151172172928
46,0.4,0.2,0.5524999063311475
47,0.4,0.3,0.5414340121034695
48,0.4,0.4,0.5879333172542591
49,0.4,0.5,0.8803150371767821
50,0.4,0.6,0.6647655503269024
51,0.4,0.7,0.7002325525539908
52,0.4,0.8,0.5579020334213101
53,0.4,0.9,0.5388778219281614
54,0.4,0.99,0.6241161174524991
55,0.5,0.01,0.539723870847524
56,0.5,0.1,0.6562454408933751
57,0.5,0.2,0.6031107687145156
58,0.5,0.3,0.6223565509191344
59,0.5,0.4,0.6654126273615384
60,0.5,0.5,0.5889137765971415
61,0.5,0.6,0.7337325868248945
62,0.5,0.7,0.5635840756095027
63,0.5,0.8,0.6119055936522065
64,0.5,0.9,0.690607354889874
65,0.5,0.99,0.5720799519346355
66,0.6,0.01,0.599693880359997
67,0.6,0.1,0.599875400716521
68,0.6,0.2,0.5805279519069816
69,0.6,0.3,0.678899366278717
70,0.6,0.4,0.632652079028025
71,0.6,0.5,0.6208047495352065
72,0.6,0.6,0.5871011264944075
73,0.6,0.7,0.5649391760474075
74,0.6,0.8,0.5143307126540271
75,0.6,0.9,0.6272300561051314
76,0.6,0.99,0.6068489104123436
77,0.7,0.01,0.6916684700536997
78,0.7,0.1,0.5103024649586351
79,0.7,0.2,0.6593504135436911
80,0.7,0.3,0.5547000309062451
81,0.7,0.4,0.6133289083937974
82,0.7,0.5,0.5910594650002869
83,0.7,0.6,0.5257098298397823
84,0.7,0.7,0.5330915279623409
85,0.7,0.8,0.5393334251616215
86,0.7,0.9,0.6004207906274863
87,0.7,0.99,0.702743908522677
88,0.8,0.01,0.6010072187234116
89,0.8,0.1,0.649483166713335
90,0.8,0.2,0.6204576998205067
91,0.8,0.3,0.6533585371603519
92,0.8,0.4,0.6306323847293495
93,0.8,0.5,0.6337763231462876
94,0.8,0.6,0.6081248481835019
95,0.8,0.7,0.5687967020599428
96,0.8,0.8,0.5800712488682567
97,0.8,0.9,0.5930662682099331
98,0.8,0.99,0.5678373504008478
99,0.9,0.01,0.6025110518437801
100,0.9,0.1,0.588644004389842
101,0.9,0.2,0.6484601687663403
102,0.9,0.3,0.6810158454389765
103,0.9,0.4,0.6049430146163357
104,0.9,0.5,0.5573310570788568
105,0.9,0.6,0.5886777143072776
106,0.9,0.7,0.5627116564689127
107,0.9,0.8,0.5437310007795667
108,0.9,0.9,0.653847459380757
109,0.9,0.99,0.5677131330590944
110,0.99,0.01,0.7629160655120191
111,0.99,0.1,0.706150152763575
112,0.99,0.2,0.5763106045199539
113,0.99,0.3,0.597922459434175
114,0.99,0.4,0.6202305454039968
115,0.99,0.5,0.607421724842347
116,0.99,0.6,0.5946325043286728
117,0.99,0.7,0.5304274935578094
118,0.99,0.8,0.6035958396100506
119,0.99,0.9,0.5868967984954228
120,0.99,0.99,0.583333516985116
