,P,cost,value
0,0.01,0.01,0.00030882261301282696
1,0.01,0.1,0.0002508276750555529
2,0.01,0.2,0.00032951775254863786
3,0.01,0.3,0.0003485389256551373
4,0.01,0.4,0.0003274084621790496
5,0.01,0.5,0.00048116019610593646
6,0.01,0.6,0.000795178439413496
7,0.01,0.7,0.0009790384075508212
8,0.01,0.8,0.0021201415753169064
9,0.01,0.9,0.009221288500844816
10,0.01,0.99,1.7567546457189938
11,0.1,0.01,0.00048769258911227564
12,0.1,0.1,0.0005155596915186845
13,0.1,0.2,0.0006494718117779615
14,0.1,0.3,0.0009450545637850075
15,0.1,0.4,0.0012279672444064763
16,0.1,0.5,0.0016939739248235598
17,0.1,0.6,0.0027487453332324546
18,0.1,0.7,0.006889454349846782
19,0.1,0.8,0.030591055719080062
20,0.1,0.9,0.7729073273231503
21,0.1,0.99,0.045508289853248805
22,0.2,0.01,0.0009014841053909825
23,0.2,0.1,0.001024022885140591
24,0.2,0.2,0.0011496117410535862
25,0.2,0.3,0.0018280244645658902
26,0.2,0.4,0.0029873996378306173
27,0.2,0.5,0.00462264228100198
28,0.2,0.6,0.011511108579309613
29,0.2,0.7,0.049654996085723574
30,0.2,0.8,0.7523846560664765
31,0.2,0.9,0.06764478121897313
32,0.2,0.99,0.012753820496849515
33,0.3,0.01,0.0012233797834499236
34,0.3,0.1,0.0017522873769374747
35,0.3,0.2,0.0023143957013461
36,0.3,0.3,0.004095101752017614
37,0.3,0.4,0.005833503277820043
38,0.3,0.5,0.014090817447487667
39,0.3,0.6,0.06686644056170865
40,0.3,0.7,0.7408666942375447
41,0.3,0.8,0.09837938525666014
42,0.3,0.9,0.022026315760934095
43,0.3,0.99,0.008058602711147153
44,0.4,0.01,0.002382888798008196
45,0.4,0.1,0.00297942463032537
46,0.4,0.2,0.004384354274833742
47,0.4,0.3,0.008578017350528615
48,0.4,0.4,0.013879813083907584
49,0.4,0.5,0.0711458106255396
50,0.4,0.6,0.6257517212986724
51,0.4,0.7,0.15570315822533426
52,0.4,0.8,0.023649388348285606
53,0.4,0.9,0.009640344445745977
54,0.4,0.99,0.004511611931377467
55,0.5,0.01,0.0034877034184413536
56,0.5,0.1,0.005504102295575001
57,0.5,0.2,0.008649523248639775
58,0.5,0.3,0.02150794090747862
59,0.5,0.4,0.10571366118373945
60,0.5,0.5,0.5886061990483259
61,0.5,0.6,0.19113560309838018
62,0.5,0.7,0.02499810976004032
63,0.5,0.8,0.01046132558326112
64,0.5,0.9,0.0053235089368585
65,0.5,0.99,0.004028203249316879
66,0.6,0.01,0.006042951727553997
67,0.6,0.1,0.009284636061326295
68,0.6,0.2,0.02388151952757718
69,0.6,0.3,0.10048086057732351
70,0.6,0.4,0.6418154716848965
71,0.6,0.5,0.2158849646332693
72,0.6,0.6,0.03517987627439169
73,0.6,0.7,0.011373391404785157
74,0.6,0.8,0.0072217508408924155
75,0.6,0.9,0.00395537074965379
76,0.6,0.99,0.0029234816346091416
77,0.7,0.01,0.01209245220803421
78,0.7,0.1,0.025835502940663453
79,0.7,0.2,0.09713650385733096
80,0.7,0.3,0.5548365393129298
81,0.7,0.4,0.25319283880198484
82,0.7,0.5,0.046505082869120404
83,0.7,0.6,0.015435146017444872
84,0.7,0.7,0.007677999839353081
85,0.7,0.8,0.004806760246118172
86,0.7,0.9,0.003189482459203148
87,0.7,0.99,0.0027447192874931288
88,0.8,0.01,0.02748284310720722
89,0.8,0.1,0.10301264681400826
90,0.8,0.2,0.6206224844724667
91,0.8,0.3,0.23691070831963545
92,0.8,0.4,0.04194394410609349
93,0.8,0.5,0.015686847088932993
94,0.8,0.6,0.0069730504795544185
95,0.8,0.7,0.005097238306400327
96,0.8,0.8,0.003873250369122835
97,0.8,0.9,0.0027976847814325
98,0.8,0.99,0.002390192954679274
99,0.9,0.01,0.14160575801946834
100,0.9,0.1,0.5866960449374534
101,0.9,0.2,0.24469633766212165
102,0.9,0.3,0.03623680494196105
103,0.9,0.4,0.017185796533012773
104,0.9,0.5,0.00869248348913892
105,0.9,0.6,0.005572842620644926
106,0.9,0.7,0.0033551744825393265
107,0.9,0.8,0.0029888490840143714
108,0.9,0.9,0.002009675442886353
109,0.9,0.99,0.0018016937790253681
110,0.99,0.01,0.7631706574016999
111,0.99,0.1,0.1870783487136995
112,0.99,0.2,0.04032415953053853
113,0.99,0.3,0.01521913441814908
114,0.99,0.4,0.008392836072527377
115,0.99,0.5,0.00468957696023148
116,0.99,0.6,0.003518978138292175
117,0.99,0.7,0.0028767113233449273
118,0.99,0.8,0.002189405083783228
119,0.99,0.9,0.0016725507214928293
120,0.99,0.99,0.0014815582626359347
