,P,cost,value
0,0.01,0.01,0.0005319218313868927
1,0.01,0.1,0.00795840463630791
2,0.01,0.2,0.03790959154604777
3,0.01,0.3,0.10240306090510555
4,0.01,0.4,0.34537931927414267
5,0.01,0.5,0.5476160278011261
6,0.01,0.6,0.49455163526443935
7,0.01,0.7,0.46608444001650823
8,0.01,0.8,0.4811428758815564
9,0.01,0.9,0.5616806315698426
10,0.01,0.99,2.8949140577221772
11,0.1,0.01,0.000490216600559681
12,0.1,0.1,0.002461918695161938
13,0.1,0.2,0.00842276168111527
14,0.1,0.3,0.034039593404744044
15,0.1,0.4,0.13563289121582026
16,0.1,0.5,0.6221760359043988
17,0.1,0.6,0.32629645170890886
18,0.1,0.7,0.24778489252477937
19,0.1,0.8,0.4047242079927293
20,0.1,0.9,3.1187161063623052
21,0.1,0.99,0.04553063356019452
22,0.2,0.01,0.0009014841053909825
23,0.2,0.1,0.001870503548857452
24,0.2,0.2,0.005577297143222289
25,0.2,0.3,0.018186638304582024
26,0.2,0.4,0.08093859153606214
27,0.2,0.5,0.6219854683063338
28,0.2,0.6,0.3402400572049908
29,0.2,0.7,0.5361379139007104
30,0.2,0.8,2.9146280017814656
31,0.2,0.9,0.09928209888064615
32,0.2,0.99,0.012753820496849515
33,0.3,0.01,0.0012233797834499236
34,0.3,0.1,0.002052060130258688
35,0.3,0.2,0.00450416954259469
36,0.3,0.3,0.013509838713757695
37,0.3,0.4,0.07759841904816407
38,0.3,0.5,0.6568240090434054
39,0.3,0.6,0.6170721984064441
40,0.3,0.7,3.0255083731968675
41,0.3,0.8,0.17066326573989915
42,0.3,0.9,0.026647664228670126
43,0.3,0.99,0.008058602711147153
44,0.4,0.01,0.002382888798008196
45,0.4,0.1,0.00283636870518626
46,0.4,0.2,0.004764942578077456
47,0.4,0.3,0.013000573125693598
48,0.4,0.4,0.05680185811522408
49,0.4,0.5,0.8803150371767821
50,0.4,0.6,2.6301759732254375
51,0.4,0.7,0.25747442520096325
52,0.4,0.8,0.028969887347369994
53,0.4,0.9,0.009943203474052306
54,0.4,0.99,0.004511611931377467
55,0.5,0.01,0.0034877034184413536
56,0.5,0.1,0.005505888955515348
57,0.5,0.2,0.00864767295595904
58,0.5,0.3,0.021554883276759536
59,0.5,0.4,0.10548279432627287
60,0.5,0.5,0.5889137765971415
61,0.5,0.6,0.19122156640778928
62,0.5,0.7,0.02504888559848494
63,0.5,0.8,0.010530219996114483
64,0.5,0.9,0.005311081559948265
65,0.5,0.99,0.004028203249316879
66,0.6,0.01,0.006042951727553997
67,0.6,0.1,0.010033410978720333
68,0.6,0.2,0.03291593129795991
69,0.6,0.3,0.19088216419493206
70,0.6,0.4,2.154978655205297
71,0.6,0.5,0.6208047495352065
72,0.6,0.6,0.04680760396647585
73,0.6,0.7,0.010918826583376715
74,0.6,0.8,0.007295701201430129
75,0.6,0.9,0.004177024389540303
76,0.6,0.99,0.0029234816346091416
77,0.7,0.01,0.01209245220803421
78,0.7,0.1,0.031500318853795554
79,0.7,0.2,0.1716258425501242
80,0.7,0.3,2.213291277221915
81,0.7,0.4,0.6676723799422231
82,0.7,0.5,0.5910594650002869
83,0.7,0.6,0.057760532624531236
84,0.7,0.7,0.013003100219163243
85,0.7,0.8,0.00616964849502419
86,0.7,0.9,0.003535403102246198
87,0.7,0.99,0.0027447192874931288
88,0.8,0.01,0.02748284310720722
89,0.8,0.1,0.15408320905100734
90,0.8,0.2,2.0471230499553887
91,0.8,0.3,0.5596811652817208
92,0.8,0.4,0.3179785555597891
93,0.8,0.5,0.6337763231462876
94,0.8,0.6,0.08840553738964677
95,0.8,0.7,0.016621119900050083
96,0.8,0.8,0.005394500727724706
97,0.8,0.9,0.003143778396652413
98,0.8,0.99,0.002390192954679274
99,0.9,0.01,0.14164200538321617
100,0.9,0.1,1.4700817543639153
101,0.9,0.2,0.44260807146404335
102,0.9,0.3,0.2607245687426491
103,0.9,0.4,0.326597071414799
104,0.9,0.5,0.5573310570788568
105,0.9,0.6,0.14563530257058055
106,0.9,0.7,0.029834136977880288
107,0.9,0.8,0.008806180873991694
108,0.9,0.9,0.0027960052009207517
109,0.9,0.99,0.0018004472997639872
110,0.99,0.01,0.7367593918577403
111,0.99,0.1,0.5789197060192881
112,0.99,0.2,0.42071293355957445
113,0.99,0.3,0.4487558636731155
114,0.99,0.4,0.6038893200472599
115,0.99,0.5,0.607421724842347
116,0.99,0.6,0.33915063999668305
117,0.99,0.7,0.11327721748241884
118,0.99,0.8,0.046348443635941705
119,0.99,0.9,0.008396225715821147
120,0.99,0.99,0.0015239461372501956
