,P,cost,value
0,0.01,0.01,0.6056658236829409
1,0.01,0.1,0.5814325572876032
2,0.01,0.2,0.57799025450475
3,0.01,0.3,0.5237094007259044
4,0.01,0.4,0.6435458884875096
5,0.01,0.5,0.5475506287977585
6,0.01,0.6,0.6009081173521372
7,0.01,0.7,0.561236804634976
8,0.01,0.8,0.632737030509869
9,0.01,0.9,0.6489373234171346
10,0.01,0.99,1.7680585127327721
11,0.1,0.01,0.5301786827345214
12,0.1,0.1,0.6451520884429719
13,0.1,0.2,0.58210416595936
14,0.1,0.3,0.6367423112628707
15,0.1,0.4,0.6437648424322412
16,0.1,0.5,0.6197991427817058
17,0.1,0.6,0.5961397199771084
18,0.1,0.7,0.6382423654853797
19,0.1,0.8,0.8020326762400863
20,0.1,0.9,0.7468504024968236
21,0.1,0.99,0.5265238725476061
22,0.2,0.01,0.5713018317078706
23,0.2,0.1,0.6099781765020439
24,0.2,0.2,0.6520328176038716
25,0.2,0.3,0.5927756133556248
26,0.2,0.4,0.632501661808152
27,0.2,0.5,0.6266636750766786
28,0.2,0.6,0.5991786150762313
29,0.2,0.7,0.8374952090837136
30,0.2,0.8,0.7079613748191815
31,0.2,0.9,0.5823145344030379
32,0.2,0.99,0.6084000402623814
33,0.3,0.01,0.5618595330985866
34,0.3,0.1,0.6808378641276711
35,0.3,0.2,0.5411502625622987
36,0.3,0.3,0.5321710479334991
37,0.3,0.4,0.5997933475053076
38,0.3,0.5,0.6571206738329728
39,0.3,0.6,0.7638239805252256
40,0.3,0.7,0.7522754334240861
41,0.3,0.8,0.6205480312936339
42,0.3,0.9,0.5037294108224735
43,0.3,0.99,0.579097065246825
44,0.4,0.01,0.6291773376068017
45,0.4,0.1,0.5971156559786526
46,0.4,0.2,0.5522510334074032
47,0.4,0.3,0.5441262956184467
48,0.4,0.4,0.5872000297603962
49,0.4,0.5,0.8810716221334093
50,0.4,0.6,0.6633220546978934
51,0.4,0.7,0.6999547543338633
52,0.4,0.8,0.5609260026232158
53,0.4,0.9,0.5337011572977055
54,0.4,0.99,0.6269526449917739
55,0.5,0.01,0.5415510033771624
56,0.5,0.1,0.6506178916911496
57,0.5,0.2,0.5979868814584008
58,0.5,0.3,0.6253860940918944
59,0.5,0.4,0.6688124787515265
60,0.5,0.5,0.5891919481496906
61,0.5,0.6,0.7394482154130171
62,0.5,0.7,0.5694025347263322
63,0.5,0.8,0.6100249025416133
64,0.5,0.9,0.6930526247515246
65,0.5,0.99,0.5718861828837175
66,0.6,0.01,0.5994109009679639
67,0.6,0.1,0.5983348658678379
68,0.6,0.2,0.5804721251640372
69,0.6,0.3,0.6794283419044711
70,0.6,0.4,0.6323832403425544
71,0.6,0.5,0.6199705601469575
72,0.6,0.6,0.5843742797914769
73,0.6,0.7,0.5665088220094165
74,0.6,0.8,0.5173557745721422
75,0.6,0.9,0.628716192668052
76,0.6,0.99,0.6047932852781058
77,0.7,0.01,0.6937690695622509
78,0.7,0.1,0.5119824178135632
79,0.7,0.2,0.658749068174682
80,0.7,0.3,0.5552228410055559
81,0.7,0.4,0.6123688877027413
82,0.7,0.5,0.5903792423472096
83,0.7,0.6,0.5271669077513828
84,0.7,0.7,0.5329586060413677
85,0.7,0.8,0.5388276920315562
86,0.7,0.9,0.5990340439421661
87,0.7,0.99,0.7029970480095161
88,0.8,0.01,0.6000502352350188
89,0.8,0.1,0.6519832131403789
90,0.8,0.2,0.621028401546349
91,0.8,0.3,0.653393135444218
92,0.8,0.4,0.6323277342237579
93,0.8,0.5,0.6326621821398375
94,0.8,0.6,0.6039866557962486
95,0.8,0.7,0.5661398501679066
96,0.8,0.8,0.5771819474714658
97,0.8,0.9,0.5943819288571971
98,0.8,0.99,0.5674486078304344
99,0.9,0.01,0.6019006318914976
100,0.9,0.1,0.5873975300288172
101,0.9,0.2,0.648420257669692
102,0.9,0.3,0.6806323825813323
103,0.9,0.4,0.6041443956678221
104,0.9,0.5,0.5542751373614312
105,0.9,0.6,0.5902458108292625
106,0.9,0.7,0.5622268047664016
107,0.9,0.8,0.5423702576577736
108,0.9,0.9,0.6530131739376968
109,0.9,0.99,0.5687539265355195
110,0.99,0.01,0.7629368039730712
111,0.99,0.1,0.7060009976527916
112,0.99,0.2,0.5763845470542555
113,0.99,0.3,0.5979104968381208
114,0.99,0.4,0.6203427657446284
115,0.99,0.5,0.6073265257881276
116,0.99,0.6,0.5945869776845796
117,0.99,0.7,0.5309697334965939
118,0.99,0.8,0.6036030549091962
119,0.99,0.9,0.5867934440639386
120,0.99,0.99,0.583776104596576
