,P,cost,value
0,0.01,0.01,0.0005178098576796818
1,0.01,0.1,0.0004654193471129998
2,0.01,0.2,0.0005579701067118596
3,0.01,0.3,0.000492235195411461
4,0.01,0.4,0.0004497329121525665
5,0.01,0.5,0.00048116019610593646
6,0.01,0.6,0.0009534486247659496
7,0.01,0.7,0.0019566072862605478
8,0.01,0.8,0.006580182142960834
9,0.01,0.9,0.03695845995648342
10,0.01,0.99,3.7788340375855887
11,0.1,0.01,0.002410263102953244
12,0.1,0.1,0.0024559212340820556
13,0.1,0.2,0.002177098356072608
14,0.1,0.3,0.0021823833449016645
15,0.1,0.4,0.001888249485704162
16,0.1,0.5,0.0016939739248235598
17,0.1,0.6,0.0046781250004865015
18,0.1,0.7,0.0205433835145568
19,0.1,0.8,0.13745421244143524
20,0.1,0.9,3.1170309704747297
21,0.1,0.99,0.12106685468096329
22,0.2,0.01,0.005870707310149599
23,0.2,0.1,0.00546559269424835
24,0.2,0.2,0.005597609316106375
25,0.2,0.3,0.005189881901117957
26,0.2,0.4,0.004845432568441423
27,0.2,0.5,0.00462264228100198
28,0.2,0.6,0.02400242518080804
29,0.2,0.7,0.188111395408567
30,0.2,0.8,2.866606113171412
31,0.2,0.9,0.18988063132541244
32,0.2,0.99,0.06121437453438932
33,0.3,0.01,0.01470805069370787
34,0.3,0.1,0.0140752066133812
35,0.3,0.2,0.015059824046287544
36,0.3,0.3,0.013402862926625375
37,0.3,0.4,0.013793054161093572
38,0.3,0.5,0.014090817447487667
39,0.3,0.6,0.17273317233937627
40,0.3,0.7,2.8904699282707695
41,0.3,0.8,0.35608373516736075
42,0.3,0.9,0.12008153170009186
43,0.3,0.99,0.07246715153321964
44,0.4,0.01,0.06918887688743185
45,0.4,0.1,0.0785547282457117
46,0.4,0.2,0.06191688972193013
47,0.4,0.3,0.05729547015945499
48,0.4,0.4,0.055987162614062225
49,0.4,0.5,0.0711458106255396
50,0.4,0.6,2.278260410472344
51,0.4,0.7,0.7036721273517454
52,0.4,0.8,0.2636186877887473
53,0.4,0.9,0.1794538035051524
54,0.4,0.99,0.16664469795781126
55,0.5,0.01,0.5388022562279772
56,0.5,0.1,0.6583687203553436
57,0.5,0.2,0.604890027627397
58,0.5,0.3,0.6243424623524259
59,0.5,0.4,0.6663728166323792
60,0.5,0.5,0.5886061990483259
61,0.5,0.6,0.7355093843755549
62,0.5,0.7,0.5663680085138385
63,0.5,0.8,0.6126122511551092
64,0.5,0.9,0.6906443576606464
65,0.5,0.99,0.5717736504326807
66,0.6,0.01,0.1562200150152771
67,0.6,0.1,0.1906346014334988
68,0.6,0.2,0.2925560330726829
69,0.6,0.3,0.561668752701781
70,0.6,0.4,2.4795743546827556
71,0.6,0.5,0.2158849646332693
72,0.6,0.6,0.043974942672683814
73,0.6,0.7,0.05017009250936677
74,0.6,0.8,0.06445289929608763
75,0.6,0.9,0.07738294686152329
76,0.6,0.99,0.07363909993896521
77,0.7,0.01,0.09385206583756925
78,0.7,0.1,0.1469105420953031
79,0.7,0.2,0.36252195291172734
80,0.7,0.3,2.3783877469049135
81,0.7,0.4,0.36022023589521246
82,0.7,0.5,0.046505082869120404
83,0.7,0.6,0.015886614714796188
84,0.7,0.7,0.012505874876661972
85,0.7,0.8,0.014713153134718927
86,0.7,0.9,0.01641684888499652
87,0.7,0.99,0.015376796849217342
88,0.8,0.01,0.0887914681678216
89,0.8,0.1,0.3001168867056245
90,0.8,0.2,2.254372464288653
91,0.8,0.3,0.34161526180405444
92,0.8,0.4,0.05019227156341056
93,0.8,0.5,0.015686847088932993
94,0.8,0.6,0.007505123423166253
95,0.8,0.7,0.00597264942987519
96,0.8,0.8,0.005455555484021235
97,0.8,0.9,0.005787684981040528
98,0.8,0.99,0.006456330266586234
99,0.9,0.01,0.23883619749391705
100,0.9,0.1,1.650654851268984
101,0.9,0.2,0.29807219186243084
102,0.9,0.3,0.041222033934281796
103,0.9,0.4,0.01750699224278601
104,0.9,0.5,0.00869248348913892
105,0.9,0.6,0.005711667935297036
106,0.9,0.7,0.0037323621316522823
107,0.9,0.8,0.003637754270252233
108,0.9,0.9,0.0028169435175023623
109,0.9,0.99,0.0025844481692797886
110,0.99,0.01,0.7526280117641049
111,0.99,0.1,0.18711158795983118
112,0.99,0.2,0.03960552188812572
113,0.99,0.3,0.015490938847455301
114,0.99,0.4,0.00840708645893467
115,0.99,0.5,0.00468957696023148
116,0.99,0.6,0.003497433367731717
117,0.99,0.7,0.0028979836647622255
118,0.99,0.8,0.0022341411477550697
119,0.99,0.9,0.001695527576564868
120,0.99,0.99,0.0015036097749157405
