,P,cost,value
0,0.01,0.01,0.6057517283599637
1,0.01,0.1,0.5814420568193023
2,0.01,0.2,0.5778243152263465
3,0.01,0.3,0.5238478941405166
4,0.01,0.4,0.6434778185370138
5,0.01,0.5,0.54750620161701
6,0.01,0.6,0.6008202778515997
7,0.01,0.7,0.5614078328207812
8,0.01,0.8,0.6327462757633829
9,0.01,0.9,0.648933334232426
10,0.01,0.99,1.7680585127327721
11,0.1,0.01,0.5303422376736767
12,0.1,0.1,0.6450886850721389
13,0.1,0.2,0.5822318509289943
14,0.1,0.3,0.6368857398798745
15,0.1,0.4,0.6435324825700323
16,0.1,0.5,0.6197827828578064
17,0.1,0.6,0.5961352160248785
18,0.1,0.7,0.6383244947832922
19,0.1,0.8,0.8018906758789939
20,0.1,0.9,0.7468504024968236
21,0.1,0.99,0.5263469857225505
22,0.2,0.01,0.571418663042641
23,0.2,0.1,0.6099706446515153
24,0.2,0.2,0.6520472804027637
25,0.2,0.3,0.5928733923651968
26,0.2,0.4,0.6324051916223312
27,0.2,0.5,0.6266760833175953
28,0.2,0.6,0.5989655885999616
29,0.2,0.7,0.8374459418911162
30,0.2,0.8,0.7079566277003552
31,0.2,0.9,0.5822898047532956
32,0.2,0.99,0.6084273634092786
33,0.3,0.01,0.5618873655645842
34,0.3,0.1,0.6808717057618714
35,0.3,0.2,0.541195113879434
36,0.3,0.3,0.5322022023213292
37,0.3,0.4,0.5998133288998608
38,0.3,0.5,0.657124513397046
39,0.3,0.6,0.7637725507749854
40,0.3,0.7,0.7522754334240861
41,0.3,0.8,0.6205444844400191
42,0.3,0.9,0.5037303726571619
43,0.3,0.99,0.5790132172795917
44,0.4,0.01,0.6291267113421004
45,0.4,0.1,0.5971216428331468
46,0.4,0.2,0.5522431196413136
47,0.4,0.3,0.5441240856058549
48,0.4,0.4,0.5871490678455221
49,0.4,0.5,0.881071033847738
50,0.4,0.6,0.6633220546978934
51,0.4,0.7,0.6999780273804422
52,0.4,0.8,0.5609759258138736
53,0.4,0.9,0.5337158366442484
54,0.4,0.99,0.6269537303461292
55,0.5,0.01,0.5416521553604238
56,0.5,0.1,0.6506936267527905
57,0.5,0.2,0.5979876274789717
58,0.5,0.3,0.6251383732510042
59,0.5,0.4,0.6688087584799904
60,0.5,0.5,0.5891919481496906
61,0.5,0.6,0.739523058211292
62,0.5,0.7,0.5694146072328007
63,0.5,0.8,0.609994661458924
64,0.5,0.9,0.6932122978305506
65,0.5,0.99,0.5718803678511748
66,0.6,0.01,0.5994102272771993
67,0.6,0.1,0.598232171661308
68,0.6,0.2,0.5804944851907943
69,0.6,0.3,0.6794167070454503
70,0.6,0.4,0.6323832403425544
71,0.6,0.5,0.620089036657381
72,0.6,0.6,0.5842714310492407
73,0.6,0.7,0.5664207733013793
74,0.6,0.8,0.517428177544881
75,0.6,0.9,0.6287035073623795
76,0.6,0.99,0.6046835517222171
77,0.7,0.01,0.6937701451962346
78,0.7,0.1,0.511951547473662
79,0.7,0.2,0.6586997117331994
80,0.7,0.3,0.5552228410055559
81,0.7,0.4,0.6123850549793487
82,0.7,0.5,0.5902012076112083
83,0.7,0.6,0.5271641704020167
84,0.7,0.7,0.5329529862986891
85,0.7,0.8,0.5387579814521721
86,0.7,0.9,0.5990581220264
87,0.7,0.99,0.7030141456066239
88,0.8,0.01,0.5999625517508171
89,0.8,0.1,0.6518595307017914
90,0.8,0.2,0.621028401546349
91,0.8,0.3,0.653355884796786
92,0.8,0.4,0.6322556962276242
93,0.8,0.5,0.6326506855865759
94,0.8,0.6,0.6040502230392838
95,0.8,0.7,0.5660535773675432
96,0.8,0.8,0.5770678823599414
97,0.8,0.9,0.5943556160277479
98,0.8,0.99,0.567445443939915
99,0.9,0.01,0.6018371016262759
100,0.9,0.1,0.5873975300288172
101,0.9,0.2,0.6483467668805696
102,0.9,0.3,0.6805362943882309
103,0.9,0.4,0.6042290480471398
104,0.9,0.5,0.5542967946366921
105,0.9,0.6,0.5901051317231055
106,0.9,0.7,0.5624369194879354
107,0.9,0.8,0.5424095609250783
108,0.9,0.9,0.6531426710072418
109,0.9,0.99,0.5687519391057905
110,0.99,0.01,0.7629368039730712
111,0.99,0.1,0.7060148428806557
112,0.99,0.2,0.5763517945257821
113,0.99,0.3,0.5978500373428884
114,0.99,0.4,0.6202131309977671
115,0.99,0.5,0.607324230455762
116,0.99,0.6,0.5946626289411703
117,0.99,0.7,0.5309368668348182
118,0.99,0.8,0.6036030722897303
119,0.99,0.9,0.5867988972486833
120,0.99,0.99,0.583848633284177
