,P,cost,value
0,0.01,0.01,0.7042306776671208
1,0.01,0.1,0.6773707099669585
2,0.01,0.2,0.5875703751298965
3,0.01,0.3,0.5584190390477533
4,0.01,0.4,0.6414860147578804
5,0.01,0.5,0.6121924427795113
6,0.01,0.6,0.5761530615453602
7,0.01,0.7,0.6500137666529038
8,0.01,0.8,0.7027089246335059
9,0.01,0.9,0.7000595856560763
10,0.01,0.99,2.1252328836473375
11,0.1,0.01,0.6586373866082054
12,0.1,0.1,0.7911031067753688
13,0.1,0.2,0.6802541495964225
14,0.1,0.3,0.7353102902461963
15,0.1,0.4,0.7107481752719995
16,0.1,0.5,0.6596570957351823
17,0.1,0.6,0.7598400326584315
18,0.1,0.7,0.7199505184202265
19,0.1,0.8,0.8771500214407306
20,0.1,0.9,0.7841468129901706
21,0.1,0.99,0.639921415113423
22,0.2,0.01,0.6615917088152777
23,0.2,0.1,0.7090982732777784
24,0.2,0.2,0.6762228045332996
25,0.2,0.3,0.6308785424056247
26,0.2,0.4,0.6689972437050516
27,0.2,0.5,0.647215222406998
28,0.2,0.6,0.6577909736088783
29,0.2,0.7,0.8689146171493891
30,0.2,0.8,0.714075643364698
31,0.2,0.9,0.5860041378428167
32,0.2,0.99,0.6652205309612313
33,0.3,0.01,0.5624917693887272
34,0.3,0.1,0.6837389405500722
35,0.3,0.2,0.5749620046208791
36,0.3,0.3,0.5452105475917199
37,0.3,0.4,0.6041313713913152
38,0.3,0.5,0.6761856751769847
39,0.3,0.6,0.788409623950429
40,0.3,0.7,0.7784196536162958
41,0.3,0.8,0.6434038871106542
42,0.3,0.9,0.5221534558803514
43,0.3,0.99,0.5987122656802262
44,0.4,0.01,0.6557037086842471
45,0.4,0.1,0.5882048036963058
46,0.4,0.2,0.5735489994399292
47,0.4,0.3,0.5460320551140734
48,0.4,0.4,0.5930416058857267
49,0.4,0.5,0.8683014481964
50,0.4,0.6,0.6767192397146915
51,0.4,0.7,0.6943892130819713
52,0.4,0.8,0.5643397069688976
53,0.4,0.9,0.5406341075411224
54,0.4,0.99,0.6229728729841257
55,0.5,0.01,0.5388022562279772
56,0.5,0.1,0.6583687203553436
57,0.5,0.2,0.604890027627397
58,0.5,0.3,0.6243424623524259
59,0.5,0.4,0.6663728166323792
60,0.5,0.5,0.5886061990483259
61,0.5,0.6,0.7355093843755549
62,0.5,0.7,0.5663680085138385
63,0.5,0.8,0.6126122511551092
64,0.5,0.9,0.6906443576606464
65,0.5,0.99,0.5717736504326807
66,0.6,0.01,0.6061464191840746
67,0.6,0.1,0.6006659551173685
68,0.6,0.2,0.5790914232410245
69,0.6,0.3,0.6677243887046863
70,0.6,0.4,0.635185626336105
71,0.6,0.5,0.6200371994555506
72,0.6,0.6,0.5872427767004381
73,0.6,0.7,0.5669737408584329
74,0.6,0.8,0.5225455355393258
75,0.6,0.9,0.6252167100095036
76,0.6,0.99,0.6074806145209506
77,0.7,0.01,0.6741315166107094
78,0.7,0.1,0.5095630803518171
79,0.7,0.2,0.6882219409534966
80,0.7,0.3,0.5703733684728441
81,0.7,0.4,0.6518256558193185
82,0.7,0.5,0.6182414783288595
83,0.7,0.6,0.5616078530146028
84,0.7,0.7,0.5726471395358264
85,0.7,0.8,0.5888703448777733
86,0.7,0.9,0.6131656232445166
87,0.7,0.99,0.7076715970275798
88,0.8,0.01,0.669108995742136
89,0.8,0.1,0.6917841955733905
90,0.8,0.2,0.6388303588070237
91,0.8,0.3,0.6620585316877434
92,0.8,0.4,0.68950985495591
93,0.8,0.5,0.6614614525156194
94,0.8,0.6,0.6775878898515764
95,0.8,0.7,0.6253679824808712
96,0.8,0.8,0.5919863851861118
97,0.8,0.9,0.6645483524957714
98,0.8,0.99,0.5902901009645151
99,0.9,0.01,0.6779399596830218
100,0.9,0.1,0.5854710624545947
101,0.9,0.2,0.7192259035370021
102,0.9,0.3,0.7223509964734443
103,0.9,0.4,0.791209117970217
104,0.9,0.5,0.6701607820543423
105,0.9,0.6,0.6344525634400723
106,0.9,0.7,0.6449713355639914
107,0.9,0.8,0.6992399200063268
108,0.9,0.9,0.7800082210789411
109,0.9,0.99,0.6936099953430462
110,0.99,0.01,0.7442107619297077
111,0.99,0.1,0.7172861703483003
112,0.99,0.2,0.5740125577394034
113,0.99,0.3,0.6330327655957311
114,0.99,0.4,0.6356857652836362
115,0.99,0.5,0.6109407687157754
116,0.99,0.6,0.6120508330435455
117,0.99,0.7,0.5353534794114215
118,0.99,0.8,0.6510072271722533
119,0.99,0.9,0.6358897915363698
120,0.99,0.99,0.6569598176921849
