,P,cost,value
0,0.01,0.01,0.674791713094028
1,0.01,0.1,0.7019126610875993
2,0.01,0.2,0.6595213773896684
3,0.01,0.3,0.6237739856663814
4,0.01,0.4,0.729063325270034
5,0.01,0.5,0.6221167072222621
6,0.01,0.6,0.6599301252859946
7,0.01,0.7,0.6727106500379396
8,0.01,0.8,0.7266238785792931
9,0.01,0.9,0.7651130199025725
10,0.01,0.99,2.102857415853
11,0.1,0.01,0.7197682005344751
12,0.1,0.1,0.8358040876181192
13,0.1,0.2,0.7754493872423678
14,0.1,0.3,0.8002108997994775
15,0.1,0.4,0.7888330753231549
16,0.1,0.5,0.7894321363001326
17,0.1,0.6,0.7203309657181678
18,0.1,0.7,0.7494754859617886
19,0.1,0.8,0.9055496822308606
20,0.1,0.9,0.9812051051203391
21,0.1,0.99,0.6709866385075531
22,0.2,0.01,0.7376889140301589
23,0.2,0.1,0.8450338108019706
24,0.2,0.2,0.808768802048736
25,0.2,0.3,0.7976066219508039
26,0.2,0.4,0.8372749809895028
27,0.2,0.5,0.7925418833850248
28,0.2,0.6,0.7449802075017798
29,0.2,0.7,0.9292691945970867
30,0.2,0.8,0.8531192358280809
31,0.2,0.9,0.7276710458941138
32,0.2,0.99,0.7796125914327963
33,0.3,0.01,0.7367475849761282
34,0.3,0.1,0.8781551797281563
35,0.3,0.2,0.6910367985887476
36,0.3,0.3,0.6870004480919557
37,0.3,0.4,0.7710671539985036
38,0.3,0.5,0.8474630128700462
39,0.3,0.6,0.8967098495261072
40,0.3,0.7,0.846502438312819
41,0.3,0.8,0.7279924817185063
42,0.3,0.9,0.6986611543844635
43,0.3,0.99,0.6973764130666322
44,0.4,0.01,0.7577170520444464
45,0.4,0.1,0.7807418876551395
46,0.4,0.2,0.7195970407651895
47,0.4,0.3,0.7653833835168561
48,0.4,0.4,0.7345273040490901
49,0.4,0.5,0.9653871451099407
50,0.4,0.6,0.7796256464699953
51,0.4,0.7,0.7421441868606662
52,0.4,0.8,0.7108570237508973
53,0.4,0.9,0.7378807334905271
54,0.4,0.99,0.7985407406727034
55,0.5,0.01,0.6878598004751124
56,0.5,0.1,0.8578642100686147
57,0.5,0.2,0.8394721886686152
58,0.5,0.3,0.775889511739386
59,0.5,0.4,0.7852418286581592
60,0.5,0.5,0.6511815462951465
61,0.5,0.6,0.8223944091865464
62,0.5,0.7,0.7219181826373133
63,0.5,0.8,0.8125381266235159
64,0.5,0.9,0.857312556219434
65,0.5,0.99,0.7396805599937923
66,0.6,0.01,0.8327607360947691
67,0.6,0.1,0.745547735299736
68,0.6,0.2,0.7175253625127425
69,0.6,0.3,0.7401254673875806
70,0.6,0.4,0.6884422957015959
71,0.6,0.5,0.7294517133491227
72,0.6,0.6,0.7944572452527257
73,0.6,0.7,0.7651671142847167
74,0.6,0.8,0.6745086874434845
75,0.6,0.9,0.8002607018039429
76,0.6,0.99,0.8374008480492289
77,0.7,0.01,0.8531668497237682
78,0.7,0.1,0.632893314369428
79,0.7,0.2,0.8021920792416302
80,0.7,0.3,0.5338183767840701
81,0.7,0.4,0.7120543532215005
82,0.7,0.5,0.7413477414030456
83,0.7,0.6,0.6315227128313896
84,0.7,0.7,0.7227516615341831
85,0.7,0.8,0.6985254293278742
86,0.7,0.9,0.7722621980250035
87,0.7,0.99,0.9458986062384525
88,0.8,0.01,0.7668961268283678
89,0.8,0.1,0.7370360528504266
90,0.8,0.2,0.605212492543386
91,0.8,0.3,0.7437472023636466
92,0.8,0.4,0.7550791047001876
93,0.8,0.5,0.8516777175830325
94,0.8,0.6,0.7757030774847422
95,0.8,0.7,0.7187980417379167
96,0.8,0.8,0.7438099952330992
97,0.8,0.9,0.7850843355275758
98,0.8,0.99,0.7312238593093054
99,0.9,0.01,0.7276347267291043
100,0.9,0.1,0.5458731929286772
101,0.9,0.2,0.7590768402496378
102,0.9,0.3,0.8462756801447368
103,0.9,0.4,0.8373041698334839
104,0.9,0.5,0.7324323272758064
105,0.9,0.6,0.7740916217996667
106,0.9,0.7,0.7311723436647938
107,0.9,0.8,0.6662171421389402
108,0.9,0.9,0.8072687230119285
109,0.9,0.99,0.728063125157792
110,0.99,0.01,0.7506138892532506
111,0.99,0.1,0.7178208329416559
112,0.99,0.2,0.6613881813130331
113,0.99,0.3,0.6745158092175265
114,0.99,0.4,0.7328628164291913
115,0.99,0.5,0.6430499593196702
116,0.99,0.6,0.6579382590729238
117,0.99,0.7,0.5701898989291116
118,0.99,0.8,0.6935133800596553
119,0.99,0.9,0.6520416615068623
120,0.99,0.99,0.6594134380637978
