,P,cost,value
0,0.01,0.01,0.782666565828229
1,0.01,0.1,0.7378851235671304
2,0.01,0.2,0.6514776669465925
3,0.01,0.3,0.6317151750032146
4,0.01,0.4,0.7070821142576038
5,0.01,0.5,0.6853615908117882
6,0.01,0.6,0.6572921938566927
7,0.01,0.7,0.705821934655325
8,0.01,0.8,0.7465912405675283
9,0.01,0.9,0.7367886303077685
10,0.01,0.99,2.3978587579252224
11,0.1,0.01,0.7368416233680525
12,0.1,0.1,0.8587177695136403
13,0.1,0.2,0.7579422688226957
14,0.1,0.3,0.8119511292780952
15,0.1,0.4,0.7760266151580754
16,0.1,0.5,0.7117555406650311
17,0.1,0.6,0.8672593255472284
18,0.1,0.7,0.782408034062255
19,0.1,0.8,0.9308826010393422
20,0.1,0.9,0.8694661176007594
21,0.1,0.99,0.7059469019175396
22,0.2,0.01,0.803612768713411
23,0.2,0.1,0.8536131002405257
24,0.2,0.2,0.8500224711740971
25,0.2,0.3,0.7442495377640844
26,0.2,0.4,0.7968282774354807
27,0.2,0.5,0.7817351245716431
28,0.2,0.6,0.7921557489873864
29,0.2,0.7,0.948114278833006
30,0.2,0.8,0.7684887925626637
31,0.2,0.9,0.6473209361768245
32,0.2,0.99,0.7973938989439187
33,0.3,0.01,0.7066356590228352
34,0.3,0.1,0.8397788978075477
35,0.3,0.2,0.7883893690685653
36,0.3,0.3,0.7167108265851692
37,0.3,0.4,0.7997425385370206
38,0.3,0.5,0.8421953150851019
39,0.3,0.6,0.8718161338306014
40,0.3,0.7,0.8532428030623341
41,0.3,0.8,0.7577298234564347
42,0.3,0.9,0.6384879852427299
43,0.3,0.99,0.7700043268732522
44,0.4,0.01,0.9041478857320848
45,0.4,0.1,0.7255632014798616
46,0.4,0.2,0.8346783717070689
47,0.4,0.3,0.7813552164797752
48,0.4,0.4,0.7781497349281421
49,0.4,0.5,0.8303996119237772
50,0.4,0.6,0.7623285955571334
51,0.4,0.7,0.7390144066962836
52,0.4,0.8,0.775464101962633
53,0.4,0.9,0.7439999771469531
54,0.4,0.99,0.7521208472305245
55,0.5,0.01,0.6703643198912492
56,0.5,0.1,0.908129666145314
57,0.5,0.2,0.8074535464066672
58,0.5,0.3,0.7207141438301312
59,0.5,0.4,0.7347670285969585
60,0.5,0.5,0.6241126178567934
61,0.5,0.6,0.8746136614420088
62,0.5,0.7,0.8054175805055201
63,0.5,0.8,0.7400157960348969
64,0.5,0.9,0.8151799399835766
65,0.5,0.99,0.7495784817518708
66,0.6,0.01,0.7526215127027046
67,0.6,0.1,0.7660657261330771
68,0.6,0.2,0.8230783834646471
69,0.6,0.3,0.8397556760133867
70,0.6,0.4,0.6555679206209374
71,0.6,0.5,0.7991662264668075
72,0.6,0.6,0.8107130809966114
73,0.6,0.7,0.8020851013911667
74,0.6,0.8,0.7221407687883828
75,0.6,0.9,0.8785959385839734
76,0.6,0.99,0.8333989215114879
77,0.7,0.01,0.9211727661516739
78,0.7,0.1,0.694300793417561
79,0.7,0.2,0.8758120177095121
80,0.7,0.3,0.5485131411792874
81,0.7,0.4,0.7725600990643743
82,0.7,0.5,0.7619476775186182
83,0.7,0.6,0.6898941901937086
84,0.7,0.7,0.755580228047041
85,0.7,0.8,0.7499709045784628
86,0.7,0.9,0.8533146587956163
87,0.7,0.99,0.941512414615635
88,0.8,0.01,0.7845805577329855
89,0.8,0.1,0.7321471472896418
90,0.8,0.2,0.5817800670533145
91,0.8,0.3,0.7844147746756216
92,0.8,0.4,0.7589033086775503
93,0.8,0.5,0.8634995345605643
94,0.8,0.6,0.8743349164701792
95,0.8,0.7,0.723343299812033
96,0.8,0.8,0.8463557126595374
97,0.8,0.9,0.7517404639381097
98,0.8,0.99,0.8019215740513204
99,0.9,0.01,0.7626061662074363
100,0.9,0.1,0.6075349893542885
101,0.9,0.2,0.794011921191269
102,0.9,0.3,0.8671407537366822
103,0.9,0.4,0.7429246444386239
104,0.9,0.5,0.72320305498486
105,0.9,0.6,0.791853196925506
106,0.9,0.7,0.7763880388449547
107,0.9,0.8,0.7322612953546157
108,0.9,0.9,0.8366581955841119
109,0.9,0.99,0.8040612451330348
110,0.99,0.01,0.7316448734736822
111,0.99,0.1,0.7095851094509595
112,0.99,0.2,0.6438519089112196
113,0.99,0.3,0.6349844114721381
114,0.99,0.4,0.6328676835728815
115,0.99,0.5,0.5785265498080862
116,0.99,0.6,0.6051800828910704
117,0.99,0.7,0.60540790553138
118,0.99,0.8,0.6532891325936137
119,0.99,0.9,0.5935722823895431
120,0.99,0.99,0.6280342873264043
