,P,cost,value
0,0.01,0.01,0.33688788071908793
1,0.01,0.1,0.3353220801750048
2,0.01,0.2,0.3291780015992195
3,0.01,0.3,0.3061557855708685
4,0.01,0.4,0.3609799283298626
5,0.01,0.5,0.32620111255955964
6,0.01,0.6,0.3144654197129264
7,0.01,0.7,0.37083355398347495
8,0.01,0.8,0.38086464920232854
9,0.01,0.9,0.46416946676236553
10,0.01,0.99,3.629762448471778
11,0.1,0.01,0.05719537560309209
12,0.1,0.1,0.06710419861128515
13,0.1,0.2,0.055951220545016875
14,0.1,0.3,0.059082471265761174
15,0.1,0.4,0.07752760379089102
16,0.1,0.5,0.07636695978699064
17,0.1,0.6,0.09350151536150511
18,0.1,0.7,0.13614183944373817
19,0.1,0.8,0.3442629144203846
20,0.1,0.9,3.144623866528228
21,0.1,0.99,0.046906565422057456
22,0.2,0.01,0.03567098072092674
23,0.2,0.1,0.033186516265497366
24,0.2,0.2,0.041898284357919514
25,0.2,0.3,0.04542488861171835
26,0.2,0.4,0.04968940763454783
27,0.2,0.5,0.07590732767610647
28,0.2,0.6,0.12800145814799152
29,0.2,0.7,0.4063551737595218
30,0.2,0.8,2.9358762840745345
31,0.2,0.9,0.10620413179013047
32,0.2,0.99,0.012808391599410066
33,0.3,0.01,0.028527712844981193
34,0.3,0.1,0.02933651935038176
35,0.3,0.2,0.03484882514436609
36,0.3,0.3,0.04814598591091036
37,0.3,0.4,0.0710322899041914
38,0.3,0.5,0.1277499464196051
39,0.3,0.6,0.3906780966426031
40,0.3,0.7,3.0663443850913135
41,0.3,0.8,0.1968141534324922
42,0.3,0.9,0.029608840586899415
43,0.3,0.99,0.008067837876520581
44,0.4,0.01,0.022614093365708052
45,0.4,0.1,0.032405167437756836
46,0.4,0.2,0.042382233313677256
47,0.4,0.3,0.06628856333229192
48,0.4,0.4,0.10341140700719406
49,0.4,0.5,0.45249561020158696
50,0.4,0.6,2.7569215971027323
51,0.4,0.7,0.34621104108664913
52,0.4,0.8,0.0383283458692981
53,0.4,0.9,0.010904093583849805
54,0.4,0.99,0.0045672771314542405
55,0.5,0.01,0.026659961038260283
56,0.5,0.1,0.03529206475563745
57,0.5,0.2,0.06132396568174999
58,0.5,0.3,0.1025107314924126
59,0.5,0.4,0.4325920501279552
60,0.5,0.5,2.957086306554531
61,0.5,0.6,0.40416809311419605
62,0.5,0.7,0.043525384695804324
63,0.5,0.8,0.012695488127615239
64,0.5,0.9,0.005881189501279071
65,0.5,0.99,0.003961747885483493
66,0.6,0.01,0.029866131878704197
67,0.6,0.1,0.042834208564230064
68,0.6,0.2,0.10955170948982793
69,0.6,0.3,0.3669515253253986
70,0.6,0.4,2.5943433226408437
71,0.6,0.5,0.4121500439538908
72,0.6,0.6,0.05808279112982921
73,0.6,0.7,0.016503464898346913
74,0.6,0.8,0.008267526559688364
75,0.6,0.9,0.0038799733226715038
76,0.6,0.99,0.0029518845911154015
77,0.7,0.01,0.04535079171472878
78,0.7,0.1,0.08645331006111091
79,0.7,0.2,0.29125765560921363
80,0.7,0.3,2.3970194521871404
81,0.7,0.4,0.4388166565450844
82,0.7,0.5,0.07925847613264438
83,0.7,0.6,0.020948740684394247
84,0.7,0.7,0.009296863589695859
85,0.7,0.8,0.0050907712358331855
86,0.7,0.9,0.00313246231056237
87,0.7,0.99,0.002749716798710157
88,0.8,0.01,0.0663659789334085
89,0.8,0.1,0.26360238340022213
90,0.8,0.2,2.2419581482383917
91,0.8,0.3,0.37898258309446825
92,0.8,0.4,0.06463225958904169
93,0.8,0.5,0.021601139239311305
94,0.8,0.6,0.008858194197384555
95,0.8,0.7,0.005764450350933089
96,0.8,0.8,0.003934052835331709
97,0.8,0.9,0.002813875562186175
98,0.8,0.99,0.002285451408357944
99,0.9,0.01,0.22670965888666075
100,0.9,0.1,1.6413565873783136
101,0.9,0.2,0.3095606184758375
102,0.9,0.3,0.045197261454882835
103,0.9,0.4,0.019314163468842405
104,0.9,0.5,0.009437693588894597
105,0.9,0.6,0.006110381915910798
106,0.9,0.7,0.0037256122347583943
107,0.9,0.8,0.0030266257777847097
108,0.9,0.9,0.001936146731810489
109,0.9,0.99,0.0017354962240412847
110,0.99,0.01,0.7513172508688065
111,0.99,0.1,0.18780375800042604
112,0.99,0.2,0.03966732213321099
113,0.99,0.3,0.015904951159905353
114,0.99,0.4,0.008641004968040147
115,0.99,0.5,0.004639388708136285
116,0.99,0.6,0.0035184546650635948
117,0.99,0.7,0.0028671430250676823
118,0.99,0.8,0.0021784220308936064
119,0.99,0.9,0.0016667497313593708
120,0.99,0.99,0.0014381975967810265
