,P,cost,value
0,0.01,0.01,6.88500257495678e-05
1,0.01,0.1,8.776895687243348e-05
2,0.01,0.2,0.0003053581464351022
3,0.01,0.3,0.00045871044154000766
4,0.01,0.4,0.0005226444410213006
5,0.01,0.5,0.0008993293248326139
6,0.01,0.6,0.0018919644975293063
7,0.01,0.7,0.00310810265984415
8,0.01,0.8,0.008464549083749759
9,0.01,0.9,0.04076583282260866
10,0.01,0.99,3.792475387791947
11,0.1,0.01,0.0004036352622808115
12,0.1,0.1,0.0005693076182032544
13,0.1,0.2,0.0009110860398998944
14,0.1,0.3,0.0017742078787056242
15,0.1,0.4,0.0028895710259096864
16,0.1,0.5,0.004905632786733035
17,0.1,0.6,0.009669047001384875
18,0.1,0.7,0.02961962851209005
19,0.1,0.8,0.1599529539923304
20,0.1,0.9,3.1418925574636765
21,0.1,0.99,0.1064271294667912
22,0.2,0.01,0.0008164812241870931
23,0.2,0.1,0.001039145033794938
24,0.2,0.2,0.0015076024141889538
25,0.2,0.3,0.003521934474227789
26,0.2,0.4,0.00696168612483275
27,0.2,0.5,0.014505281723494886
28,0.2,0.6,0.044673517298657706
29,0.2,0.7,0.24142771759166862
30,0.2,0.8,2.915515885562885
31,0.2,0.9,0.16350814638488442
32,0.2,0.99,0.03853406037685864
33,0.3,0.01,0.0011884931748367242
34,0.3,0.1,0.0018333186224738954
35,0.3,0.2,0.0037635705025033652
36,0.3,0.3,0.007845200299085555
37,0.3,0.4,0.020214638804193604
38,0.3,0.5,0.055411009631586745
39,0.3,0.6,0.26473744605231087
40,0.3,0.7,3.016912690502541
41,0.3,0.8,0.28355564833491465
42,0.3,0.9,0.06871636382484167
43,0.3,0.99,0.027253810259565477
44,0.4,0.01,0.002354785404849161
45,0.4,0.1,0.003436942705012277
46,0.4,0.2,0.007613882395400007
47,0.4,0.3,0.01854043064848381
48,0.4,0.4,0.04599114642364558
49,0.4,0.5,0.31097584188103167
50,0.4,0.6,2.6835592685488123
51,0.4,0.7,0.4717544490039665
52,0.4,0.8,0.08431317658598192
53,0.4,0.9,0.0387336786588939
54,0.4,0.99,0.02541599847087861
55,0.5,0.01,0.003340360889785249
56,0.5,0.1,0.006373833682545529
57,0.5,0.2,0.01638203846787902
58,0.5,0.3,0.0547350299267901
59,0.5,0.4,0.31789074598327166
60,0.5,0.5,2.891355625487119
61,0.5,0.6,0.5164045756722537
62,0.5,0.7,0.09085729604544729
63,0.5,0.8,0.040952126168600944
64,0.5,0.9,0.027783603889746045
65,0.5,0.99,0.024454177007025547
66,0.6,0.01,0.006488217298929412
67,0.6,0.1,0.011869079631833122
68,0.6,0.2,0.04792632630959477
69,0.6,0.3,0.26564356924161375
70,0.6,0.4,2.5199338478618865
71,0.6,0.5,0.5091180249867585
72,0.6,0.6,0.11399721253256759
73,0.6,0.7,0.05262555737941079
74,0.6,0.8,0.039310964950820045
75,0.6,0.9,0.03191607704749315
76,0.6,0.99,0.027574444217933165
77,0.7,0.01,0.012687259980098555
78,0.7,0.1,0.035652729738462174
79,0.7,0.2,0.20130189625935346
80,0.7,0.3,2.3287867967917433
81,0.7,0.4,0.5282714472374452
82,0.7,0.5,0.14554043561337898
83,0.7,0.6,0.06393666747652924
84,0.7,0.7,0.046244665369756875
85,0.7,0.8,0.03673824668596738
86,0.7,0.9,0.029142377336583196
87,0.7,0.99,0.025302503776552906
88,0.8,0.01,0.02900867053102501
89,0.8,0.1,0.1656681241617777
90,0.8,0.2,2.1175062809429686
91,0.8,0.3,0.4883214552445654
92,0.8,0.4,0.13092725360851054
93,0.8,0.5,0.07813334255538532
94,0.8,0.6,0.05284859322500283
95,0.8,0.7,0.042956423020822705
96,0.8,0.8,0.04263096782984157
97,0.8,0.9,0.03869763588988329
98,0.8,0.99,0.03498773235769083
99,0.9,0.01,0.1478397325372683
100,0.9,0.1,1.5038437057652796
101,0.9,0.2,0.4092099076496716
102,0.9,0.3,0.14165129211935104
103,0.9,0.4,0.08715508016824888
104,0.9,0.5,0.08278506598838808
105,0.9,0.6,0.064810825889923
106,0.9,0.7,0.05872783338976384
107,0.9,0.8,0.05312431344913676
108,0.9,0.9,0.06615782483611304
109,0.9,0.99,0.0598727227600737
110,0.99,0.01,0.7174813365989176
111,0.99,0.1,0.4666983058719736
112,0.99,0.2,0.33303319448028657
113,0.99,0.3,0.3584095665837711
114,0.99,0.4,0.3823442451456056
115,0.99,0.5,0.31815155441617293
116,0.99,0.6,0.32682264759608665
117,0.99,0.7,0.2717917212914982
118,0.99,0.8,0.35825100040546737
119,0.99,0.9,0.309899290154876
120,0.99,0.99,0.3107834848120594
