,P,cost,value
0,0.01,0.01,9.999999939875948
1,0.01,0.1,9.99999993335095
2,0.01,0.2,9.99999992686072
3,0.01,0.3,9.99999992834718
4,0.01,0.4,9.999999930062632
5,0.01,0.5,9.99999985222177
6,0.01,0.6,9.999998810119354
7,0.01,0.7,9.999998440304257
8,0.01,0.8,9.999987065358155
9,0.01,0.9,9.99925322241507
10,0.01,0.99,9.059094743120493
11,0.1,0.01,9.999992617263132
12,0.1,0.1,9.999994439420309
13,0.1,0.2,9.999993805600122
14,0.1,0.3,9.999992766064082
15,0.1,0.4,9.999991275873455
16,0.1,0.5,9.999977933186903
17,0.1,0.6,9.999897480782318
18,0.1,0.7,9.999397789111505
19,0.1,0.8,9.9707439167728
20,0.1,0.9,5.950273884250978
21,0.1,0.99,-2.788077355717513
22,0.2,0.01,9.999842213485048
23,0.2,0.1,9.999933929655045
24,0.2,0.2,9.999921082954891
25,0.2,0.3,9.999939167955832
26,0.2,0.4,9.999906695379524
27,0.2,0.5,9.999800698456546
28,0.2,0.6,9.998353942030882
29,0.2,0.7,9.934091893387118
30,0.2,0.8,6.081137059288643
31,0.2,0.9,-1.7733805681778825
32,0.2,0.99,-2.7254990220162196
33,0.3,0.01,9.998378541237521
34,0.3,0.1,9.999074607304326
35,0.3,0.2,9.999397198219043
36,0.3,0.3,9.999628180375138
37,0.3,0.4,9.999318826485931
38,0.3,0.5,9.997176027585358
39,0.3,0.6,9.93965396936302
40,0.3,0.7,7.008103747942407
41,0.3,0.8,1.0608018448128411
42,0.3,0.9,1.366385486788288
43,0.3,0.99,1.023548171968037
44,0.4,0.01,9.977372856814673
45,0.4,0.1,9.989951722655906
46,0.4,0.2,9.991631103420282
47,0.4,0.3,9.992614100674045
48,0.4,0.4,9.990497865400252
49,0.4,0.5,9.946867389450702
50,0.4,0.6,8.594073188904833
51,0.4,0.7,6.608207165928494
52,0.4,0.8,7.243453891530871
53,0.4,0.9,8.098382157595402
54,0.4,0.99,6.8027241025436
55,0.5,0.01,9.617543330642425
56,0.5,0.1,9.827951107793698
57,0.5,0.2,9.8499470335483
58,0.5,0.3,9.794240486268727
59,0.5,0.4,9.526470108538543
60,0.5,0.5,9.36785856312479
61,0.5,0.6,9.65567719880604
62,0.5,0.7,9.819782193130418
63,0.5,0.8,9.882313747425396
64,0.5,0.9,9.830832972150805
65,0.5,0.99,9.634950346681393
66,0.6,0.01,6.655173091683498
67,0.6,0.1,7.790008244135242
68,0.6,0.2,7.218921802707955
69,0.6,0.3,5.208527639671928
70,0.6,0.4,6.447128051473725
71,0.6,0.5,9.821990616903069
72,0.6,0.6,9.983186026974328
73,0.6,0.7,9.994384286841129
74,0.6,0.8,9.994470336798438
75,0.6,0.9,9.990871459879267
76,0.6,0.99,9.97631994203767
77,0.7,0.01,0.9973906007878336
78,0.7,0.1,1.5187933959688495
79,0.7,0.2,0.13281587998160757
80,0.7,0.3,3.575419069984039
81,0.7,0.4,9.412640562037456
82,0.7,0.5,9.979365257443938
83,0.7,0.6,9.998110999958277
84,0.7,0.7,9.99917925462327
85,0.7,0.8,9.99936460829664
86,0.7,0.9,9.998868896570134
87,0.7,0.99,9.997945842009582
88,0.8,0.01,-2.3432009164224703
89,0.8,0.1,-2.538012931672351
90,0.8,0.2,1.5052807309727783
91,0.8,0.3,9.221997822981816
92,0.8,0.4,9.963879021501235
93,0.8,0.5,9.997017033988627
94,0.8,0.6,9.999385174898276
95,0.8,0.7,9.999734581897124
96,0.8,0.8,9.999820244816203
97,0.8,0.9,9.999850100619529
98,0.8,0.99,9.999796456306974
99,0.9,0.01,-1.6704644687941916
100,0.9,0.1,0.13583125103768523
101,0.9,0.2,8.952484016006888
102,0.9,0.3,9.954248696520473
103,0.9,0.4,9.996567892354971
104,0.9,0.5,9.999302372951542
105,0.9,0.6,9.999737761648579
106,0.9,0.7,9.999876335617646
107,0.9,0.8,9.999927235593924
108,0.9,0.9,9.999958193132963
109,0.9,0.99,9.999966501567988
110,0.99,0.01,-1.2283714600039448
111,0.99,0.1,8.22784154481237
112,0.99,0.2,9.948181527458528
113,0.99,0.3,9.995955212871358
114,0.99,0.4,9.999157894824126
115,0.99,0.5,9.999705352891748
116,0.99,0.6,9.999865465061779
117,0.99,0.7,9.99994197557697
118,0.99,0.8,9.999963874418308
119,0.99,0.9,9.99997822256741
120,0.99,0.99,9.999986359985854
