,P,cost,value
0,0.01,0.01,-4.660023025483078
1,0.01,0.1,-4.797580725117583
2,0.01,0.2,-4.709888398505894
3,0.01,0.3,-4.421263891464705
4,0.01,0.4,-4.521173138645943
5,0.01,0.5,-4.445687895762298
6,0.01,0.6,-4.277004691413975
7,0.01,0.7,-3.745017269927071
8,0.01,0.8,-3.654525435443798
9,0.01,0.9,-0.8376964677298439
10,0.01,0.99,8.331253867796157
11,0.1,0.01,-9.71905523656066
12,0.1,0.1,-9.720315810454522
13,0.1,0.2,-9.702379949799763
14,0.1,0.3,-9.687661220039573
15,0.1,0.4,-9.648934647107211
16,0.1,0.5,-9.632060462958089
17,0.1,0.6,-9.561229568578822
18,0.1,0.7,-9.321786115406226
19,0.1,0.8,-8.199819684563296
20,0.1,0.9,1.5439138116562732
21,0.1,0.99,9.982308089282238
22,0.2,0.01,-9.817484157304499
23,0.2,0.1,-9.806517978708566
24,0.2,0.2,-9.794095793768816
25,0.2,0.3,-9.754538935993722
26,0.2,0.4,-9.725966282003057
27,0.2,0.5,-9.657659600617244
28,0.2,0.6,-9.42256711343663
29,0.2,0.7,-8.262776199315615
30,0.2,0.8,0.6116180802585638
31,0.2,0.9,9.940919813532771
32,0.2,0.99,9.879647215288301
33,0.3,0.01,-9.821828185074969
34,0.3,0.1,-9.807381796215507
35,0.3,0.2,-9.787361823944158
36,0.3,0.3,-9.75547491852709
37,0.3,0.4,-9.646222485892803
38,0.3,0.5,-9.444087312370538
39,0.3,0.6,-8.13954235135834
40,0.3,0.7,-0.531270809766689
41,0.3,0.8,9.805501947892813
42,0.3,0.9,9.875219594915896
43,0.3,0.99,9.684224850700861
44,0.4,0.01,-9.822696444434136
45,0.4,0.1,-9.793439897657363
46,0.4,0.2,-9.753513424264568
47,0.4,0.3,-9.667514604902037
48,0.4,0.4,-9.411676255814863
49,0.4,0.5,-8.191626912867674
50,0.4,0.6,-0.04930787425959756
51,0.4,0.7,9.598157093283113
52,0.4,0.8,9.87573756354729
53,0.4,0.9,9.738340424507259
54,0.4,0.99,9.633801217531948
55,0.5,0.01,-9.81002289876162
56,0.5,0.1,-9.758788695576147
57,0.5,0.2,-9.6785469842543
58,0.5,0.3,-9.461849673734822
59,0.5,0.4,-8.2078140646739
60,0.5,0.5,-0.6347098864405997
61,0.5,0.6,9.623810246500346
62,0.5,0.7,9.87193734079408
63,0.5,0.8,9.725732561065966
64,0.5,0.9,9.591201361763087
65,0.5,0.99,9.504634735738076
66,0.6,0.01,-9.779694691939769
67,0.6,0.1,-9.728273560192871
68,0.6,0.2,-9.40145805787601
69,0.6,0.3,-8.34818688836618
70,0.6,0.4,-1.257789394786946
71,0.6,0.5,9.352777666239328
72,0.6,0.6,9.878598254242142
73,0.6,0.7,9.779815388706727
74,0.6,0.8,9.683010414548322
75,0.6,0.9,9.612364863945782
76,0.6,0.99,9.4963743880102
77,0.7,0.01,-9.733687058937097
78,0.7,0.1,-9.520492448958676
79,0.7,0.2,-8.566748798183871
80,0.7,0.3,-1.4537857898492168
81,0.7,0.4,9.171339753947379
82,0.7,0.5,9.89724007339722
83,0.7,0.6,9.777756062283919
84,0.7,0.7,9.76226331784404
85,0.7,0.8,9.707269375428575
86,0.7,0.9,9.633452649262919
87,0.7,0.99,9.616025739772425
88,0.8,0.01,-9.602836516992749
89,0.8,0.1,-8.937243777997669
90,0.8,0.2,-2.352489846352459
91,0.8,0.3,9.069520968309225
92,0.8,0.4,9.908882528872047
93,0.8,0.5,9.874125542458952
94,0.8,0.6,9.848349598217611
95,0.8,0.7,9.850548586093987
96,0.8,0.8,9.84950689093171
97,0.8,0.9,9.820862817445244
98,0.8,0.99,9.819365966770523
99,0.9,0.01,-9.085481974060682
100,0.9,0.1,-3.5403639533663913
101,0.9,0.2,8.92874555896795
102,0.9,0.3,9.936198430036372
103,0.9,0.4,9.967054498458657
104,0.9,0.5,9.962112815816045
105,0.9,0.6,9.956563645690915
106,0.9,0.7,9.958035074193576
107,0.9,0.8,9.961734672458437
108,0.9,0.9,9.957278841195711
109,0.9,0.99,9.954017536361699
110,0.99,0.01,-5.393428562725372
111,0.99,0.1,8.083728933902522
112,0.99,0.2,9.936770140878416
113,0.99,0.3,9.99029247893559
114,0.99,0.4,9.996577904220022
115,0.99,0.5,9.997401100859832
116,0.99,0.6,9.997695586908087
117,0.99,0.7,9.998469602124466
118,0.99,0.8,9.998310251706876
119,0.99,0.9,9.998772036862844
120,0.99,0.99,9.998730818451582
