,P,cost,value
0,0.01,0.01,9.99999931380059
1,0.01,0.1,9.999999362507051
2,0.01,0.2,9.999999503762622
3,0.01,0.3,9.999999563395571
4,0.01,0.4,9.99999959083365
5,0.01,0.5,9.999999506034085
6,0.01,0.6,9.999999234469023
7,0.01,0.7,9.999997437994502
8,0.01,0.8,9.999968662999434
9,0.01,0.9,9.996347318984958
10,0.01,0.99,1.8601703889946253
11,0.1,0.01,9.999949669420033
12,0.1,0.1,9.999952771284576
13,0.1,0.2,9.999959892312432
14,0.1,0.3,9.999961956568772
15,0.1,0.4,9.9999630579871
16,0.1,0.5,9.99994131416765
17,0.1,0.6,9.999826780679923
18,0.1,0.7,9.998152749708773
19,0.1,0.8,9.850986717058143
20,0.1,0.9,-0.38994815364831487
21,0.1,0.99,-9.480467734288162
22,0.2,0.01,9.998996944670214
23,0.2,0.1,9.9990837551202
24,0.2,0.2,9.999117162073905
25,0.2,0.3,9.999181132112945
26,0.2,0.4,9.99912759174298
27,0.2,0.5,9.998542248418886
28,0.2,0.6,9.991011628309938
29,0.2,0.7,9.696608090172582
30,0.2,0.8,-0.14828613221322517
31,0.2,0.9,-8.747043101171228
32,0.2,0.99,-8.834896235064358
33,0.3,0.01,9.986978298445939
34,0.3,0.1,9.987177591133037
35,0.3,0.2,9.987376782427988
36,0.3,0.3,9.987298061073611
37,0.3,0.4,9.98553939454004
38,0.3,0.5,9.967091451386132
39,0.3,0.6,9.493478482483935
40,0.3,0.7,0.5087949793645904
41,0.3,0.8,-7.414313604831716
42,0.3,0.9,-7.048245896419055
43,0.3,0.99,-7.011637474484972
44,0.4,0.01,9.845626396449397
45,0.4,0.1,9.846917291762454
46,0.4,0.2,9.84779947811561
47,0.4,0.3,9.845215942095992
48,0.4,0.4,9.80491582702333
49,0.4,0.5,9.096176205635864
50,0.4,0.6,0.01650190581760325
51,0.4,0.7,-4.631214208604309
52,0.4,0.8,-2.8845480322115735
53,0.4,0.9,-2.4603264865678884
54,0.4,0.99,-2.37546673083155
55,0.5,0.01,6.0759880357542535
56,0.5,0.1,6.0642964316900425
57,0.5,0.2,6.304994077209415
58,0.5,0.3,5.597840498030429
59,0.5,0.4,3.7179466721140026
60,0.5,0.5,-0.8410332291132618
61,0.5,0.6,3.5648832088376787
62,0.5,0.7,5.679270113349856
63,0.5,0.8,6.010018948882253
64,0.5,0.9,6.123876631487927
65,0.5,0.99,6.1423478787400265
66,0.6,0.01,-2.6024364723951803
67,0.6,0.1,-2.5811458835691026
68,0.6,0.2,-3.040166715660842
69,0.6,0.3,-4.31606656022045
70,0.6,0.4,-3.030710592343665
71,0.6,0.5,8.346772324738192
72,0.6,0.6,9.765922192905004
73,0.6,0.7,9.842162590009782
74,0.6,0.8,9.846045897085455
75,0.6,0.9,9.847814038397875
76,0.6,0.99,9.848233752099667
77,0.7,0.01,-7.093115381648997
78,0.7,0.1,-7.201235401033037
79,0.7,0.2,-7.403984472036099
80,0.7,0.3,-3.1424481001363596
81,0.7,0.4,8.507222904525712
82,0.7,0.5,9.926919759825092
83,0.7,0.6,9.977604012093774
84,0.7,0.7,9.98550750931546
85,0.7,0.8,9.98662894577807
86,0.7,0.9,9.986420668709002
87,0.7,0.99,9.98659199448882
88,0.8,0.01,-8.931719805001817
89,0.8,0.1,-8.850746579475208
90,0.8,0.2,-3.778092139844608
91,0.8,0.3,8.551678406703578
92,0.8,0.4,9.943161071029449
93,0.8,0.5,9.994815203216524
94,0.8,0.6,9.99779872676301
95,0.8,0.7,9.99858446279519
96,0.8,0.8,9.998801690092517
97,0.8,0.9,9.998878265428491
98,0.8,0.99,9.998860649990458
99,0.9,0.01,-9.273643028264864
100,0.9,0.1,-4.852856948600534
101,0.9,0.2,8.53417891006426
102,0.9,0.3,9.939030197614827
103,0.9,0.4,9.995801646207571
104,0.9,0.5,9.998952390334976
105,0.9,0.6,9.999630844663962
106,0.9,0.7,9.999776710498221
107,0.9,0.8,9.999852223367549
108,0.9,0.9,9.999875160356499
109,0.9,0.99,9.999882866644063
110,0.99,0.01,-5.852486109603906
111,0.99,0.1,8.044093762865923
112,0.99,0.2,9.942531012978897
113,0.99,0.3,9.995404898596485
114,0.99,0.4,9.999093651275563
115,0.99,0.5,9.999691578278014
116,0.99,0.6,9.999866933152152
117,0.99,0.7,9.999931675829629
118,0.99,0.8,9.99996250007123
119,0.99,0.9,9.999975493415336
120,0.99,0.99,9.999982615297712
