,P,cost,value
0,0.01,0.01,9.999999943524626
1,0.01,0.1,9.999999946337677
2,0.01,0.2,9.999999946231728
3,0.01,0.3,9.9999999264139
4,0.01,0.4,9.99999989270513
5,0.01,0.5,9.999999558965541
6,0.01,0.6,9.99999941286206
7,0.01,0.7,9.999998731759565
8,0.01,0.8,9.99999350273267
9,0.01,0.9,9.998750862024883
10,0.01,0.99,9.655396500860503
11,0.1,0.01,9.999998641807421
12,0.1,0.1,9.999998149332155
13,0.1,0.2,9.999997947620441
14,0.1,0.3,9.999995575077019
15,0.1,0.4,9.999991346314513
16,0.1,0.5,9.999979612156743
17,0.1,0.6,9.999927436071811
18,0.1,0.7,9.999569957925274
19,0.1,0.8,9.987024668547232
20,0.1,0.9,9.274225465922424
21,0.1,0.99,9.99876724165132
22,0.2,0.01,9.999993637799902
23,0.2,0.1,9.999992031756864
24,0.2,0.2,9.999986408026556
25,0.2,0.3,9.999975343210906
26,0.2,0.4,9.999947265340639
27,0.2,0.5,9.999796821476176
28,0.2,0.6,9.998908851623856
29,0.2,0.7,9.970461393661253
30,0.2,0.8,9.446480847230191
31,0.2,0.9,9.978747169308896
32,0.2,0.99,9.999602607186782
33,0.3,0.01,9.99998070876742
34,0.3,0.1,9.999975657483258
35,0.3,0.2,9.999954832502905
36,0.3,0.3,9.999875507173302
37,0.3,0.4,9.999549636042982
38,0.3,0.5,9.99682488690976
39,0.3,0.6,9.956883536100689
40,0.3,0.7,9.403308884419406
41,0.3,0.8,9.947016337358855
42,0.3,0.9,9.998543147030574
43,0.3,0.99,9.99974952454478
44,0.4,0.01,9.999948856560346
45,0.4,0.1,9.999902561798766
46,0.4,0.2,9.99975404004989
47,0.4,0.3,9.999214775137213
48,0.4,0.4,9.9934603633983
49,0.4,0.5,9.922358170316715
50,0.4,0.6,9.421194360018399
51,0.4,0.7,9.883581831999491
52,0.4,0.8,9.996274315031037
53,0.4,0.9,9.99963071024178
54,0.4,0.99,9.9998684090641
55,0.5,0.01,9.999836640509997
56,0.5,0.1,9.999638119060418
57,0.5,0.2,9.998928642850181
58,0.5,0.3,9.992065184130347
59,0.5,0.4,9.92129575975963
60,0.5,0.5,9.31213840443678
61,0.5,0.6,9.89543421182564
62,0.5,0.7,9.993864274743867
63,0.5,0.8,9.99920431481674
64,0.5,0.9,9.999794417838444
65,0.5,0.99,9.999913236880424
66,0.6,0.01,9.999448687589789
67,0.6,0.1,9.998651185329502
68,0.6,0.2,9.99126548890069
69,0.6,0.3,9.87749158286895
70,0.6,0.4,9.161864907906034
71,0.6,0.5,9.818521397242625
72,0.6,0.6,9.989333366478263
73,0.6,0.7,9.998870816773147
74,0.6,0.8,9.999692087689427
75,0.6,0.9,9.999887258751128
76,0.6,0.99,9.999937159932044
77,0.7,0.01,9.996900416808298
78,0.7,0.1,9.988713486860833
79,0.7,0.2,9.768865149335408
80,0.7,0.3,8.799943783084977
81,0.7,0.4,9.667577498111935
82,0.7,0.5,9.985494768283662
83,0.7,0.6,9.99753318956689
84,0.7,0.7,9.999554890276778
85,0.7,0.8,9.999844983864417
86,0.7,0.9,9.9999177585996
87,0.7,0.99,9.99995681397204
88,0.8,0.01,9.965603128406888
89,0.8,0.1,9.727061557830526
90,0.8,0.2,7.458885376613767
91,0.8,0.3,9.513997541067207
92,0.8,0.4,9.976666441169408
93,0.8,0.5,9.9978834444623
94,0.8,0.6,9.999348815871102
95,0.8,0.7,9.999788917404132
96,0.8,0.8,9.999909212510827
97,0.8,0.9,9.99995310515338
98,0.8,0.99,9.999966808329322
99,0.9,0.01,9.191371772723391
100,0.9,0.1,6.095433011353581
101,0.9,0.2,8.574575913185395
102,0.9,0.3,9.964052990875118
103,0.9,0.4,9.99679674372074
104,0.9,0.5,9.999145916662354
105,0.9,0.6,9.9997385405271
106,0.9,0.7,9.999875179286779
107,0.9,0.8,9.999943035399422
108,0.9,0.9,9.999964701946917
109,0.9,0.99,9.999975023515312
110,0.99,0.01,0.9643910583402711
111,0.99,0.1,6.481658172956916
112,0.99,0.2,9.926638691053643
113,0.99,0.3,9.995284192078271
114,0.99,0.4,9.999102721726187
115,0.99,0.5,9.999694139996924
116,0.99,0.6,9.999873074625153
117,0.99,0.7,9.999936767374379
118,0.99,0.8,9.99996722799101
119,0.99,0.9,9.999979540464754
120,0.99,0.99,9.999986413178345
