,P,cost,value
0,0.01,0.01,-2.36089977308455
1,0.01,0.1,-2.4624639291191195
2,0.01,0.2,-2.3659249077261975
3,0.01,0.3,-2.210316558714042
4,0.01,0.4,-2.343783609732129
5,0.01,0.5,-2.326697659596968
6,0.01,0.6,-2.3102167340132875
7,0.01,0.7,-1.8708664565894089
8,0.01,0.8,-1.7947022954417313
9,0.01,0.9,0.07423558434922431
10,0.01,0.99,8.330065959163285
11,0.1,0.01,-8.670566818955924
12,0.1,0.1,-8.633649801240624
13,0.1,0.2,-8.604213025496005
14,0.1,0.3,-8.589607503968086
15,0.1,0.4,-8.436974248484589
16,0.1,0.5,-8.369625091891063
17,0.1,0.6,-8.17287127524635
18,0.1,0.7,-7.580053554262399
19,0.1,0.8,-5.402697504840824
20,0.1,0.9,3.742376864806542
21,0.1,0.99,9.906066379361278
22,0.2,0.01,-9.504197662641165
23,0.2,0.1,-9.487610676718676
24,0.2,0.2,-9.442596621773019
25,0.2,0.3,-9.36366591808329
26,0.2,0.4,-9.245851835332308
27,0.2,0.5,-9.156986376549641
28,0.2,0.6,-8.692189505852049
29,0.2,0.7,-6.990300283380079
30,0.2,0.8,0.9430970592592142
31,0.2,0.9,9.948610002495185
32,0.2,0.99,9.991390231868532
33,0.3,0.01,-9.746518655152673
34,0.3,0.1,-9.712009614692711
35,0.3,0.2,-9.69278075495825
36,0.3,0.3,-9.634635431041952
37,0.3,0.4,-9.453872536831572
38,0.3,0.5,-9.168233487729523
39,0.3,0.6,-7.809585960907332
40,0.3,0.7,-1.2860176648815402
41,0.3,0.8,9.677012193510828
42,0.3,0.9,9.996989457820472
43,0.3,0.99,9.99851235879445
44,0.4,0.01,-9.832912240660338
45,0.4,0.1,-9.815004461403278
46,0.4,0.2,-9.760979421980716
47,0.4,0.3,-9.659758164629228
48,0.4,0.4,-9.40569770997216
49,0.4,0.5,-8.257440924854135
50,0.4,0.6,-1.5322341082012816
51,0.4,0.7,9.181910542193497
52,0.4,0.8,9.98938230236169
53,0.4,0.9,9.999370043321091
54,0.4,0.99,9.999570134135972
55,0.5,0.01,-9.874893108724766
56,0.5,0.1,-9.840186961628612
57,0.5,0.2,-9.765101229869034
58,0.5,0.3,-9.553485000046992
59,0.5,0.4,-8.473653707926541
60,0.5,0.5,-2.4830857371687456
61,0.5,0.6,9.096214548680525
62,0.5,0.7,9.9746816379681
63,0.5,0.8,9.998720595554417
64,0.5,0.9,9.999718326125592
65,0.5,0.99,9.999815058316322
66,0.6,0.01,-9.878822833311805
67,0.6,0.1,-9.83024347170334
68,0.6,0.2,-9.594793472426524
69,0.6,0.3,-8.733594417006428
70,0.6,0.4,-3.3565671069278764
71,0.6,0.5,8.578688578444954
72,0.6,0.6,9.953943005925291
73,0.6,0.7,9.997974529384642
74,0.6,0.8,9.999619212771474
75,0.6,0.9,9.999858771367622
76,0.6,0.99,9.999901160601635
77,0.7,0.01,-9.8592188800872
78,0.7,0.1,-9.704432902354775
79,0.7,0.2,-8.957305497187907
80,0.7,0.3,-3.689972543363887
81,0.7,0.4,8.255774327195443
82,0.7,0.5,9.936082724698185
83,0.7,0.6,9.994091644177285
84,0.7,0.7,9.999307740351625
85,0.7,0.8,9.999827155509331
86,0.7,0.9,9.999904034498101
87,0.7,0.99,9.999944052225413
88,0.8,0.01,-9.785284679356687
89,0.8,0.1,-9.274950439913747
90,0.8,0.2,-4.3197089915813685
91,0.8,0.3,8.281589067058764
92,0.8,0.4,9.925409610188536
93,0.8,0.5,9.995521146405345
94,0.8,0.6,9.999082956618926
95,0.8,0.7,9.999764091544685
96,0.8,0.8,9.99990285608369
97,0.8,0.9,9.99994848927307
98,0.8,0.99,9.999961694980078
99,0.9,0.01,-9.350714753359322
100,0.9,0.1,-5.120703194652876
101,0.9,0.2,8.390890891385066
102,0.9,0.3,9.924340643861395
103,0.9,0.4,9.994416680333927
104,0.9,0.5,9.998899771558236
105,0.9,0.6,9.999715023296732
106,0.9,0.7,9.999870344791418
107,0.9,0.8,9.999941394060484
108,0.9,0.9,9.999963614095293
109,0.9,0.99,9.99997348438177
110,0.99,0.01,-5.8790750357082295
111,0.99,0.1,8.020219291058627
112,0.99,0.2,9.940766549020534
113,0.99,0.3,9.995233110564621
114,0.99,0.4,9.99907744624879
115,0.99,0.5,9.999694131894795
116,0.99,0.6,9.999872668699398
117,0.99,0.7,9.999936741403477
118,0.99,0.8,9.999967189745709
119,0.99,0.9,9.99997952903411
120,0.99,0.99,9.999986308899423
