,P,cost,value
0,0.01,0.01,4.835114665320597
1,0.01,0.1,4.848190909177329
2,0.01,0.2,4.865393665984465
3,0.01,0.3,4.8574807539872324
4,0.01,0.4,4.841800058814632
5,0.01,0.5,4.845261435552303
6,0.01,0.6,4.826274570810146
7,0.01,0.7,4.8325006845721425
8,0.01,0.8,4.7626964828279466
9,0.01,0.9,4.565007473137691
10,0.01,0.99,7.980436794320274
11,0.1,0.01,5.430794307752588
12,0.1,0.1,5.488023543035288
13,0.1,0.2,5.469606546201364
14,0.1,0.3,5.475996718641067
15,0.1,0.4,5.4821710727850075
16,0.1,0.5,5.432902969514542
17,0.1,0.6,5.4137910100171
18,0.1,0.7,5.198401201718566
19,0.1,0.8,3.6561157239812014
20,0.1,0.9,1.1857201933247807
21,0.1,0.99,7.97952127717763
22,0.2,0.01,5.664534292929634
23,0.2,0.1,5.678921191382407
24,0.2,0.2,5.71072804506827
25,0.2,0.3,5.723888881172501
26,0.2,0.4,5.5912488112111784
27,0.2,0.5,5.529871188624611
28,0.2,0.6,5.130911789742225
29,0.2,0.7,3.1970639423314933
30,0.2,0.8,-0.6064118377461027
31,0.2,0.9,6.366428617785632
32,0.2,0.99,7.215361299504383
33,0.3,0.01,6.000386390494503
34,0.3,0.1,5.902061829362455
35,0.3,0.2,5.8765751379828215
36,0.3,0.3,5.842296820678076
37,0.3,0.4,5.719117454051396
38,0.3,0.5,5.296269859691012
39,0.3,0.6,3.167361218191062
40,0.3,0.7,-1.3661125117100845
41,0.3,0.8,4.712467958593194
42,0.3,0.9,6.626085606999829
43,0.3,0.99,6.672687403840399
44,0.4,0.01,6.160320756013974
45,0.4,0.1,6.121626340871896
46,0.4,0.2,6.061583983399343
47,0.4,0.3,5.869792104151891
48,0.4,0.4,5.432059987594345
49,0.4,0.5,3.377232901298858
50,0.4,0.6,-1.315399777787032
51,0.4,0.7,3.591986175301956
52,0.4,0.8,6.080775350137785
53,0.4,0.9,6.475971233473306
54,0.4,0.99,6.455945873759936
55,0.5,0.01,6.226916593677695
56,0.5,0.1,6.217117384411463
57,0.5,0.2,6.249638468199395
58,0.5,0.3,5.6194991051680105
59,0.5,0.4,3.590830347688997
60,0.5,0.5,-1.386195797176484
61,0.5,0.6,3.3454314772257843
62,0.5,0.7,5.566875681199829
63,0.5,0.8,6.103884737294552
64,0.5,0.9,6.247268744218211
65,0.5,0.99,6.271221536719707
66,0.6,0.01,6.429928545845724
67,0.6,0.1,6.335864502548279
68,0.6,0.2,5.960347027956946
69,0.6,0.3,4.108443881520779
70,0.6,0.4,-0.9008723754954334
71,0.6,0.5,2.476007009628946
72,0.6,0.6,5.1553313625400214
73,0.6,0.7,5.911255477363353
74,0.6,0.8,6.050292363503502
75,0.6,0.9,6.122042339906332
76,0.6,0.99,6.140858413426975
77,0.7,0.01,6.55322290700033
78,0.7,0.1,6.259607295449436
79,0.7,0.2,4.659290309970841
80,0.7,0.3,-0.7650886629122284
81,0.7,0.4,1.8900600708979363
82,0.7,0.5,4.8124678681353705
83,0.7,0.6,5.526441966777616
84,0.7,0.7,5.846456520432803
85,0.7,0.8,5.876418996797699
86,0.7,0.9,5.862916943610841
87,0.7,0.99,5.951243662059216
88,0.8,0.01,6.764352384971027
89,0.8,0.1,5.595286257235906
90,0.8,0.2,0.11713591183006214
91,0.8,0.3,1.598702142201065
92,0.8,0.4,4.425676955079181
93,0.8,0.5,5.328144626692963
94,0.8,0.6,5.541238994760082
95,0.8,0.7,5.682480770738657
96,0.8,0.8,5.660622398602011
97,0.8,0.9,5.705913930031307
98,0.8,0.99,5.668199847244861
99,0.9,0.01,6.532404629706479
100,0.9,0.1,1.4856364078507864
101,0.9,0.2,1.2422653695641666
102,0.9,0.3,4.143451679233244
103,0.9,0.4,5.0579758496182805
104,0.9,0.5,5.276538704234581
105,0.9,0.6,5.402595967244376
106,0.9,0.7,5.428126937834705
107,0.9,0.8,5.454627319311656
108,0.9,0.9,5.444017124275567
109,0.9,0.99,5.448041221807088
110,0.99,0.01,4.81871824065273
111,0.99,0.1,1.7473422485729582
112,0.99,0.2,2.8848864300618753
113,0.99,0.3,3.953506327480058
114,0.99,0.4,4.30861365607608
115,0.99,0.5,4.579957277466898
116,0.99,0.6,4.590817578262732
117,0.99,0.7,4.8335563249753655
118,0.99,0.8,4.833243729408342
119,0.99,0.9,4.828916129123156
120,0.99,0.99,4.873951978210748
