,P,cost,value
0,0.01,0.01,9.999999943524626
1,0.01,0.1,9.999999946337677
2,0.01,0.2,9.999999946231728
3,0.01,0.3,9.999999931629848
4,0.01,0.4,9.99999989270513
5,0.01,0.5,9.999999700630092
6,0.01,0.6,9.99999942418006
7,0.01,0.7,9.999998838745515
8,0.01,0.8,9.999992911089763
9,0.01,0.9,9.999811432168038
10,0.01,0.99,9.765901514829435
11,0.1,0.01,9.99999866662171
12,0.1,0.1,9.9999982300135
13,0.1,0.2,9.999997961498032
14,0.1,0.3,9.99999587474749
15,0.1,0.4,9.999991645170486
16,0.1,0.5,9.999979234756196
17,0.1,0.6,9.999937228703034
18,0.1,0.7,9.999632210538747
19,0.1,0.8,9.9914466308548
20,0.1,0.9,9.726963767608376
21,0.1,0.99,9.998767831828362
22,0.2,0.01,9.999993886512598
23,0.2,0.1,9.999992340768841
24,0.2,0.2,9.999986606697277
25,0.2,0.3,9.999975461224198
26,0.2,0.4,9.99994780090107
27,0.2,0.5,9.999802065294492
28,0.2,0.6,9.999023817050475
29,0.2,0.7,9.976917497542027
30,0.2,0.8,9.702292623476602
31,0.2,0.9,9.981033161602198
32,0.2,0.99,9.999602607186782
33,0.3,0.01,9.999981209219168
34,0.3,0.1,9.999977825285791
35,0.3,0.2,9.999955158988065
36,0.3,0.3,9.999878441372921
37,0.3,0.4,9.999555629842256
38,0.3,0.5,9.997145361957703
39,0.3,0.6,9.95958173616355
40,0.3,0.7,9.605538279057447
41,0.3,0.8,9.957622022077036
42,0.3,0.9,9.99859919728216
43,0.3,0.99,9.99974952454478
44,0.4,0.01,9.999950375768126
45,0.4,0.1,9.999914996177692
46,0.4,0.2,9.99975393423323
47,0.4,0.3,9.999205549454295
48,0.4,0.4,9.993417185188434
49,0.4,0.5,9.924936012124139
50,0.4,0.6,9.50008124135538
51,0.4,0.7,9.891021570546918
52,0.4,0.8,9.996448920583815
53,0.4,0.9,9.999631787050111
54,0.4,0.99,9.9998684090641
55,0.5,0.01,9.999836640509997
56,0.5,0.1,9.999638119060418
57,0.5,0.2,9.998928642850181
58,0.5,0.3,9.992065184130347
59,0.5,0.4,9.92129575975963
60,0.5,0.5,9.319864974619328
61,0.5,0.6,9.895324308704843
62,0.5,0.7,9.993864274743867
63,0.5,0.8,9.99920431481674
64,0.5,0.9,9.999794417838444
65,0.5,0.99,9.999913236880424
66,0.6,0.01,9.999412920839156
67,0.6,0.1,9.998533568550954
68,0.6,0.2,9.991250029787032
69,0.6,0.3,9.86710936067906
70,0.6,0.4,9.000842831490019
71,0.6,0.5,9.807829898215935
72,0.6,0.6,9.989249682514158
73,0.6,0.7,9.998870890128607
74,0.6,0.8,9.999692087689427
75,0.6,0.9,9.999887258751128
76,0.6,0.99,9.999937159932044
77,0.7,0.01,9.996476395266843
78,0.7,0.1,9.987780732632952
79,0.7,0.2,9.773445508492605
80,0.7,0.3,8.728040754079911
81,0.7,0.4,9.641987396289682
82,0.7,0.5,9.98479619517499
83,0.7,0.6,9.997490911103995
84,0.7,0.7,9.999554959703165
85,0.7,0.8,9.999844983864417
86,0.7,0.9,9.9999177585996
87,0.7,0.99,9.99995681397204
88,0.8,0.01,9.941288633308998
89,0.8,0.1,9.510174717127132
90,0.8,0.2,7.913997054183194
91,0.8,0.3,9.517557462249771
92,0.8,0.4,9.975209931523356
93,0.8,0.5,9.997887532495499
94,0.8,0.6,9.999335768347828
95,0.8,0.7,9.999789095483525
96,0.8,0.8,9.999909212510827
97,0.8,0.9,9.99995310515338
98,0.8,0.99,9.999966808329322
99,0.9,0.01,4.912701950087993
100,0.9,0.1,3.294850682519597
101,0.9,0.2,9.208554372147194
102,0.9,0.3,9.962672431937628
103,0.9,0.4,9.996752244407215
104,0.9,0.5,9.999153753511472
105,0.9,0.6,9.999739706676486
106,0.9,0.7,9.999875172165781
107,0.9,0.8,9.999943035399422
108,0.9,0.9,9.999964701946917
109,0.9,0.99,9.999975023515312
110,0.99,0.01,-4.900186290022425
111,0.99,0.1,8.146550591444274
112,0.99,0.2,9.945143925382236
113,0.99,0.3,9.995390476995759
114,0.99,0.4,9.99910183100966
115,0.99,0.5,9.999696910164044
116,0.99,0.6,9.999873074625153
117,0.99,0.7,9.999936767374379
118,0.99,0.8,9.99996722799101
119,0.99,0.9,9.999979540464754
120,0.99,0.99,9.999986413178345
