,P,cost,value
0,0.01,0.01,9.999999664234448
1,0.01,0.1,9.999999690811611
2,0.01,0.2,9.999999816302687
3,0.01,0.3,9.999999711935857
4,0.01,0.4,9.999999850597463
5,0.01,0.5,9.999999648443996
6,0.01,0.6,9.99999929828492
7,0.01,0.7,9.999996585204837
8,0.01,0.8,9.999959539054604
9,0.01,0.9,9.99583016878776
10,0.01,0.99,1.829351475753137
11,0.1,0.01,9.999977063048025
12,0.1,0.1,9.999978547907292
13,0.1,0.2,9.99998467383488
14,0.1,0.3,9.99998594444923
15,0.1,0.4,9.99999029034213
16,0.1,0.5,9.999979671445177
17,0.1,0.6,9.99990651433829
18,0.1,0.7,9.998540845784012
19,0.1,0.8,9.858266812878643
20,0.1,0.9,-0.23905877548253307
21,0.1,0.99,-9.605875053058197
22,0.2,0.01,9.999515912097728
23,0.2,0.1,9.999675143531956
24,0.2,0.2,9.99973787275836
25,0.2,0.3,9.999839292595537
26,0.2,0.4,9.999895793902066
27,0.2,0.5,9.999808794351642
28,0.2,0.6,9.997174186541328
29,0.2,0.7,9.78254038361223
30,0.2,0.8,0.6094277934985513
31,0.2,0.9,-9.05628216807452
32,0.2,0.99,-9.766326659991073
33,0.3,0.01,9.991058991535692
34,0.3,0.1,9.99057892897033
35,0.3,0.2,9.99440480565756
36,0.3,0.3,9.996213601238141
37,0.3,0.4,9.997660892678754
38,0.3,0.5,9.996951977229552
39,0.3,0.6,9.818260425133058
40,0.3,0.7,2.895316551977026
41,0.3,0.8,-7.829552019505823
42,0.3,0.9,-9.400654807418007
43,0.3,0.99,-9.665146177457428
44,0.4,0.01,9.52248968668236
45,0.4,0.1,9.609926354836292
46,0.4,0.2,9.68460005347112
47,0.4,0.3,9.802918905151001
48,0.4,0.4,9.908417132065077
49,0.4,0.5,9.927961704935953
50,0.4,0.6,6.044839832630241
51,0.4,0.7,-4.219447596121321
52,0.4,0.8,-7.92611712265864
53,0.4,0.9,-8.679241140270964
54,0.4,0.99,-8.9159110678614
55,0.5,0.01,-1.3373408898147776
56,0.5,0.1,-0.9334812178462654
57,0.5,0.2,0.16927341841324411
58,0.5,0.3,1.7687366524442858
59,0.5,0.4,5.457883129029551
60,0.5,0.5,9.320038218711964
61,0.5,0.6,6.359212252462866
62,0.5,0.7,2.555900181604523
63,0.5,0.8,0.33399959990521577
64,0.5,0.9,-0.5552788271051122
65,0.5,0.99,-1.2485952275558778
66,0.6,0.01,-8.881278243943028
67,0.6,0.1,-8.756959230050658
68,0.6,0.2,-7.877176547358724
69,0.6,0.3,-5.206602669938708
70,0.6,0.4,3.3567013983365763
71,0.6,0.5,9.806407612712986
72,0.6,0.6,9.889729344676471
73,0.6,0.7,9.812135402769536
74,0.6,0.8,9.690992997044376
75,0.6,0.9,9.590572902870948
76,0.6,0.99,9.523445091004984
77,0.7,0.01,-9.679807171616147
78,0.7,0.1,-9.384548994994784
79,0.7,0.2,-8.230209948448188
80,0.7,0.3,-0.9303480291631905
81,0.7,0.4,9.182896957116164
82,0.7,0.5,9.985224952139436
83,0.7,0.6,9.996405542384146
84,0.7,0.7,9.994587911523729
85,0.7,0.8,9.99158010014344
86,0.7,0.9,9.993684646332726
87,0.7,0.99,9.992055408945253
88,0.8,0.01,-9.705106563890396
89,0.8,0.1,-9.083918719906421
90,0.8,0.2,-3.3352878369712387
91,0.8,0.3,8.750907670725018
92,0.8,0.4,9.963012687847272
93,0.8,0.5,9.997859250866606
94,0.8,0.6,9.9991736771385
95,0.8,0.7,9.99949757869347
96,0.8,0.8,9.999618290490071
97,0.8,0.9,9.99961565192746
98,0.8,0.99,9.999506995429543
99,0.9,0.01,-9.29816207433852
100,0.9,0.1,-4.8054013144961205
101,0.9,0.2,8.555515079239607
102,0.9,0.3,9.94262554954246
103,0.9,0.4,9.996262773378472
104,0.9,0.5,9.99913791581595
105,0.9,0.6,9.999729702375017
106,0.9,0.7,9.999851240029333
107,0.9,0.8,9.999912371288794
108,0.9,0.9,9.999919482616006
109,0.9,0.99,9.999928011074124
110,0.99,0.01,-5.852038834955048
111,0.99,0.1,8.037186091987266
112,0.99,0.2,9.941941226312007
113,0.99,0.3,9.995371250049928
114,0.99,0.4,9.999095437744671
115,0.99,0.5,9.999694871419399
116,0.99,0.6,9.999872749907983
117,0.99,0.7,9.999936151232502
118,0.99,0.8,9.999965700370655
119,0.99,0.9,9.999977636974076
120,0.99,0.99,9.999984505022057
