,P,cost,value
0,0.01,0.01,9.999999312196827
1,0.01,0.1,9.999999360572634
2,0.01,0.2,9.99999950202238
3,0.01,0.3,9.999999562492905
4,0.01,0.4,9.999999589666738
5,0.01,0.5,9.999999505282723
6,0.01,0.6,9.999999233182418
7,0.01,0.7,9.999997436615214
8,0.01,0.8,9.999968662189838
9,0.01,0.9,9.996347419669902
10,0.01,0.99,1.8601357010245345
11,0.1,0.01,9.999949704289774
12,0.1,0.1,9.999952799671041
13,0.1,0.2,9.999959928006403
14,0.1,0.3,9.99996198685588
15,0.1,0.4,9.9999630904388
16,0.1,0.5,9.999941386804053
17,0.1,0.6,9.999826893635987
18,0.1,0.7,9.998153035724162
19,0.1,0.8,9.850988819202929
20,0.1,0.9,-0.38995895090407595
21,0.1,0.99,-9.480337882992238
22,0.2,0.01,9.998996493570955
23,0.2,0.1,9.999083319111811
24,0.2,0.2,9.999116577777485
25,0.2,0.3,9.999180652143831
26,0.2,0.4,9.999127107618328
27,0.2,0.5,9.998541667721971
28,0.2,0.6,9.99101166831101
29,0.2,0.7,9.696605682595372
30,0.2,0.8,-0.1482746324531749
31,0.2,0.9,-8.746943856068375
32,0.2,0.99,-8.834688028750769
33,0.3,0.01,9.986981256195838
34,0.3,0.1,9.987180797372229
35,0.3,0.2,9.987379860210837
36,0.3,0.3,9.987302886385438
37,0.3,0.4,9.985542228186358
38,0.3,0.5,9.967132113311356
39,0.3,0.6,9.493538826971717
40,0.3,0.7,0.508778795038049
41,0.3,0.8,-7.414230231740316
42,0.3,0.9,-7.048864551429271
43,0.3,0.99,-7.012519918746378
44,0.4,0.01,9.845656814468258
45,0.4,0.1,9.84698914457235
46,0.4,0.2,9.847788074720707
47,0.4,0.3,9.84524354270054
48,0.4,0.4,9.804953142850927
49,0.4,0.5,9.096049577436036
50,0.4,0.6,0.016557003433819564
51,0.4,0.7,-4.6312262148418295
52,0.4,0.8,-2.884716227824993
53,0.4,0.9,-2.462883154736205
54,0.4,0.99,-2.376233162192769
55,0.5,0.01,6.076000135427987
56,0.5,0.1,6.06430355158047
57,0.5,0.2,6.304998990612165
58,0.5,0.3,5.5977825517698
59,0.5,0.4,3.7178006495832534
60,0.5,0.5,-0.84082830101629
61,0.5,0.6,3.564819875589582
62,0.5,0.7,5.67918363591216
63,0.5,0.8,6.010028003062904
64,0.5,0.9,6.123875417463668
65,0.5,0.99,6.142348540979659
66,0.6,0.01,-2.6026090287261647
67,0.6,0.1,-2.5834175510810637
68,0.6,0.2,-3.0403446032156345
69,0.6,0.3,-4.316290775166005
70,0.6,0.4,-3.0306760091203526
71,0.6,0.5,8.34684233794302
72,0.6,0.6,9.765936956813126
73,0.6,0.7,9.842186831729688
74,0.6,0.8,9.846102364118304
75,0.6,0.9,9.847847551248572
76,0.6,0.99,9.848249024523012
77,0.7,0.01,-7.094532326835051
78,0.7,0.1,-7.201709136450695
79,0.7,0.2,-7.404108954062219
80,0.7,0.3,-3.1424557866637337
81,0.7,0.4,8.507313755293476
82,0.7,0.5,9.926927071028688
83,0.7,0.6,9.977609036775148
84,0.7,0.7,9.985511018392582
85,0.7,0.8,9.986633770977928
86,0.7,0.9,9.986423614943172
87,0.7,0.99,9.986595607605008
88,0.8,0.01,-8.931400184697683
89,0.8,0.1,-8.850724706364426
90,0.8,0.2,-3.778112985453154
91,0.8,0.3,8.55167800062258
92,0.8,0.4,9.943173455501494
93,0.8,0.5,9.994814132936984
94,0.8,0.6,9.997797905439413
95,0.8,0.7,9.998583893399992
96,0.8,0.8,9.998800881856326
97,0.8,0.9,9.99887757866267
98,0.8,0.99,9.998860137961959
99,0.9,0.01,-9.273671493731413
100,0.9,0.1,-4.852976576944023
101,0.9,0.2,8.5341808923544
102,0.9,0.3,9.939032124496999
103,0.9,0.4,9.995802045567974
104,0.9,0.5,9.998952676923704
105,0.9,0.6,9.999630927071488
106,0.9,0.7,9.999776786684006
107,0.9,0.8,9.99985228077954
108,0.9,0.9,9.999875220329809
109,0.9,0.99,9.999882936458565
110,0.99,0.01,-5.8525262376024365
111,0.99,0.1,8.044093819944205
112,0.99,0.2,9.942531047467323
113,0.99,0.3,9.995404815201317
114,0.99,0.4,9.999093615523915
115,0.99,0.5,9.999691540644031
116,0.99,0.6,9.99986691010672
117,0.99,0.7,9.999931661064243
118,0.99,0.8,9.999962487812692
119,0.99,0.9,9.999975483396163
120,0.99,0.99,9.999982606712916
