,P,cost,value
0,0.01,0.01,1.664252349712738
1,0.01,0.1,1.5619321635062111
2,0.01,0.2,1.621344312721171
3,0.01,0.3,1.80625252113314
4,0.01,0.4,1.751205313607618
5,0.01,0.5,1.6812120490117766
6,0.01,0.6,1.9763572415610875
7,0.01,0.7,2.388701948113581
8,0.01,0.8,2.134917220636056
9,0.01,0.9,4.220659994569332
10,0.01,0.99,9.587047935231386
11,0.1,0.01,0.5873055116594971
12,0.1,0.1,1.165660990753122
13,0.1,0.2,0.8891711839019363
14,0.1,0.3,0.9932932787498723
15,0.1,0.4,1.6816154732659996
16,0.1,0.5,1.5835630427992862
17,0.1,0.6,2.216797392594862
18,0.1,0.7,3.731469202809638
19,0.1,0.8,5.708007159451802
20,0.1,0.9,9.414756267569132
21,0.1,0.99,4.148359297355287
22,0.2,0.01,0.8033848084116425
23,0.2,0.1,1.0206666373750504
24,0.2,0.2,1.3259732727186402
25,0.2,0.3,1.7622935359114034
26,0.2,0.4,2.3765183693557312
27,0.2,0.5,2.343339108883262
28,0.2,0.6,3.9461066764003006
29,0.2,0.7,6.260289815188607
30,0.2,0.8,9.343220652344685
31,0.2,0.9,5.004784934059745
32,0.2,0.99,3.0419586752354677
33,0.3,0.01,1.1472469949738564
34,0.3,0.1,1.0949719665914857
35,0.3,0.2,1.6367062931950307
36,0.3,0.3,2.1684558780720473
37,0.3,0.4,3.000227239163155
38,0.3,0.5,4.277072485461467
39,0.3,0.6,6.264316094607485
40,0.3,0.7,9.340039706668591
41,0.3,0.8,5.948897144688433
42,0.3,0.9,3.5945541186454477
43,0.3,0.99,2.178273922385853
44,0.4,0.01,1.4785624263702026
45,0.4,0.1,1.6059544745437968
46,0.4,0.2,2.235973680197839
47,0.4,0.3,2.7543634284858225
48,0.4,0.4,4.041001851735281
49,0.4,0.5,6.212988044546738
50,0.4,0.6,9.171489715725302
51,0.4,0.7,6.487953405785808
52,0.4,0.8,4.010005868614327
53,0.4,0.9,2.627907780712687
54,0.4,0.99,2.0114327661942926
55,0.5,0.01,1.3316357982625626
56,0.5,0.1,1.6747227754473648
57,0.5,0.2,2.9188035251659854
58,0.5,0.3,3.742017161819049
59,0.5,0.4,5.870866101881704
60,0.5,0.5,8.960289878851395
61,0.5,0.6,6.470977945476766
62,0.5,0.7,4.325781348166602
63,0.5,0.8,2.56683648735868
64,0.5,0.9,2.1777060922312965
65,0.5,0.99,1.5255695312767186
66,0.6,0.01,1.8228578745618862
67,0.6,0.1,2.1835859168720466
68,0.6,0.2,3.4651663212839567
69,0.6,0.3,5.492533437327349
70,0.6,0.4,8.584685199028247
71,0.6,0.5,6.5489611232159275
72,0.6,0.6,4.008020899033988
73,0.6,0.7,3.035185687939386
74,0.6,0.8,2.199192617302633
75,0.6,0.9,1.627535930953795
76,0.6,0.99,1.3800686662300001
77,0.7,0.01,2.094754257430858
78,0.7,0.1,2.824651454482416
79,0.7,0.2,4.815518232294751
80,0.7,0.3,8.269019050139164
81,0.7,0.4,6.449858156680524
82,0.7,0.5,4.324368595695703
83,0.7,0.6,2.7163624418044554
84,0.7,0.7,2.4634929400327152
85,0.7,0.8,1.5939127971585065
86,0.7,0.9,1.2544493448542782
87,0.7,0.99,1.241175990285221
88,0.8,0.01,2.211063783263551
89,0.8,0.1,3.979000164081638
90,0.8,0.2,7.290338195252154
91,0.8,0.3,6.15676244274669
92,0.8,0.4,3.9390441231325317
93,0.8,0.5,2.6620341339769134
94,0.8,0.6,2.4942323846585444
95,0.8,0.7,1.755232669803874
96,0.8,0.8,1.6695224302800973
97,0.8,0.9,0.9690278137846642
98,0.8,0.99,0.9514368883815656
99,0.9,0.01,2.361992978439594
100,0.9,0.1,5.54344806166995
101,0.9,0.2,5.181088997326395
102,0.9,0.3,3.827101309772065
103,0.9,0.4,2.7963190477611417
104,0.9,0.5,2.2368136485460024
105,0.9,0.6,1.8505135696030663
106,0.9,0.7,1.0248636091858134
107,0.9,0.8,1.571254032033753
108,0.9,0.9,1.3254437976134248
109,0.9,0.99,0.7519179387578792
110,0.99,0.01,1.263624478305668
111,0.99,0.1,3.4772544295061
112,0.99,0.2,2.503249922476277
113,0.99,0.3,2.0009331344211114
114,0.99,0.4,2.2892775152604834
115,0.99,0.5,1.9192687498791627
116,0.99,0.6,1.899237140469424
117,0.99,0.7,1.5000981498181345
118,0.99,0.8,1.528486213458177
119,0.99,0.9,1.5325696820672592
120,0.99,0.99,2.2584851001299286
