,P,cost,value
0,0.01,0.01,5.248771512970447
1,0.01,0.1,5.21064572268099
2,0.01,0.2,5.2251425420736695
3,0.01,0.3,5.303718233221822
4,0.01,0.4,5.284180107039883
5,0.01,0.5,5.297548037918868
6,0.01,0.6,5.383228501763662
7,0.01,0.7,5.535447185283968
8,0.01,0.8,5.543267513166471
9,0.01,0.9,6.34951473046436
10,0.01,0.99,8.08414546518231
11,0.1,0.01,5.845247515709344
12,0.1,0.1,5.9578073063151935
13,0.1,0.2,5.880195441136399
14,0.1,0.3,6.027624581909605
15,0.1,0.4,6.212416722626185
16,0.1,0.5,6.205697882772339
17,0.1,0.6,6.631092097574193
18,0.1,0.7,7.151544047913844
19,0.1,0.8,8.152542241481468
20,0.1,0.9,6.469270050519055
21,0.1,0.99,-4.035454441403724
22,0.2,0.01,6.441735405854346
23,0.2,0.1,6.424647839079359
24,0.2,0.2,6.4451792610690966
25,0.2,0.3,6.743736697589156
26,0.2,0.4,6.970718835408746
27,0.2,0.5,6.995691386868209
28,0.2,0.6,7.7133179560922125
29,0.2,0.7,8.71296989367784
30,0.2,0.8,6.204865700517442
31,0.2,0.9,-3.2297391478008706
32,0.2,0.99,-5.808584256848029
33,0.3,0.01,6.786621627952819
34,0.3,0.1,6.667568522413467
35,0.3,0.2,6.94986840501505
36,0.3,0.3,7.197760349017832
37,0.3,0.4,7.529927777391197
38,0.3,0.5,8.104941958284833
39,0.3,0.6,8.88279472903
40,0.3,0.7,6.475442553874271
41,0.3,0.8,-2.418584633869408
42,0.3,0.9,-5.6537387529109715
43,0.3,0.99,-6.670509342033972
44,0.4,0.01,7.097190103827424
45,0.4,0.1,7.053226107547356
46,0.4,0.2,7.401933742708749
47,0.4,0.3,7.731339517980507
48,0.4,0.4,8.156676964234409
49,0.4,0.5,8.939675411169741
50,0.4,0.6,6.084529036813216
51,0.4,0.7,-1.879779771931788
52,0.4,0.8,-5.427838870098846
53,0.4,0.9,-6.55418396925413
54,0.4,0.99,-7.010085173677588
55,0.5,0.01,7.227818644099222
56,0.5,0.1,7.4466127601328544
57,0.5,0.2,7.841364603329462
58,0.5,0.3,8.248501882403353
59,0.5,0.4,8.944574972040126
60,0.5,0.5,6.099122718031314
61,0.5,0.6,-1.752943242640594
62,0.5,0.7,-4.779970119850336
63,0.5,0.8,-6.444226511487239
64,0.5,0.9,-6.901287197580607
65,0.5,0.99,-7.15325767258093
66,0.6,0.01,7.551312640992992
67,0.6,0.1,7.767551302786295
68,0.6,0.2,8.303497033427226
69,0.6,0.3,8.763799933807983
70,0.6,0.4,6.363725068633897
71,0.6,0.5,-1.6241143680422012
72,0.6,0.6,-4.940807510638501
73,0.6,0.7,-6.385452747614581
74,0.6,0.8,-6.8295469261948325
75,0.6,0.9,-7.238588329201234
76,0.6,0.99,-7.320635792377336
77,0.7,0.01,7.7377993445436966
78,0.7,0.1,8.141709133797937
79,0.7,0.2,8.658949598611667
80,0.7,0.3,6.077457682242211
81,0.7,0.4,-1.7992435274259408
82,0.7,0.5,-4.856545790532274
83,0.7,0.6,-6.365319430402252
84,0.7,0.7,-6.743201040263806
85,0.7,0.8,-7.202946516674786
86,0.7,0.9,-7.378277103971385
87,0.7,0.99,-7.367901759842629
88,0.8,0.01,8.026858207088154
89,0.8,0.1,8.377059078891222
90,0.8,0.2,5.886853409278641
91,0.8,0.3,-1.9029591378060369
92,0.8,0.4,-5.010287767224878
93,0.8,0.5,-6.318416118991294
94,0.8,0.6,-6.7329135740738
95,0.8,0.7,-7.154975485285391
96,0.8,0.8,-7.243234243135386
97,0.8,0.9,-7.4545180138066875
98,0.8,0.99,-7.399778276288057
99,0.9,0.01,7.971227478377663
100,0.9,0.1,5.540011025004211
101,0.9,0.2,-2.108685660919633
102,0.9,0.3,-4.721091085537906
103,0.9,0.4,-5.950070018779118
104,0.9,0.5,-6.623557307265067
105,0.9,0.6,-6.9824574461018285
106,0.9,0.7,-7.050657187261149
107,0.9,0.8,-7.036806236511751
108,0.9,0.9,-7.1832432749578174
109,0.9,0.99,-7.196768330028346
110,0.99,0.01,5.161929942812323
111,0.99,0.1,1.113483922738992
112,0.99,0.2,-0.9966438820377966
113,0.99,0.3,-1.9280357594422313
114,0.99,0.4,-1.9855500306920604
115,0.99,0.5,-2.0421110083540124
116,0.99,0.6,-2.2019204648248385
117,0.99,0.7,-2.1867121539033025
118,0.99,0.8,-2.3887438289528453
119,0.99,0.9,-2.322414484697335
120,0.99,0.99,-2.054680002722554
